,title,company,location,salary,summary
0,"UX Researcher, Wearables, Fitbit",Fitbit,"San Francisco, CA 94105 (Financial District/South Beach area)+4 locations",,"Support project team members in transforming research findings and insights into innovative design solutions, often through multiple design cycles."
1,User Experience Researcher,Electronic Arts,"Redwood City, CA 94065 (Dolphin area)+1 location",,You have 2+ years industry experience in research design and conducting user research studies across platforms.You can write and present influential reports.
2,"newSr Growth Researcher, Lightroom",Adobe,"San Francisco, CA+2 locations",,"Can collaborate well across all project roles (design, research, product management, engineering, etc.We engage with different roles and product teams to…"
3,Data Researcher (Project Bound),NextEra Energy,"San Francisco, CA",,Assists with process design and modification for continuous business improvement.Technical and economic characteristics of EV/EV chargers on the market through…
4,newResearch Data Analyst,University of California San Francisco,"San Francisco, CA 94143 (Inner Sunset area)+1 location",,"Working skills in statistical analysis, systems programming, database design and data security measures.This individual will work under the direct supervision…"
5,Artist,"Disney Parks, Experiences and Products","San Francisco, CA+5 locations",,Create concept designs and sketches for characters and worlds.Effective researcher that understands how to navigate through search engines to discover the best…
6,UX RESEARCHER,Visa,"San Francisco, CA+3 locations",,"Familiarity with inclusive design principles and practices.Plan, facilitate and produce deliverables from design thinking workshops."
7,"Photo Curator & Researcher, Global Trends and Foresight, Dev...",Amazon.com Services LLC,"San Francisco, CA",,"Support designers requests for inspirational imagery to be used for internal design presentations, trend forecasting newsletters and other design development…"
8,"newIndustrial Designer, Fitbit",Fitbit,"San Francisco, CA 94105 (Financial District/South Beach area)",,"Experience with user-centered design methods.Experience with all phases of the design process (e.g., trend research, design strategy, concept development, and…"
9,"newStaff Experience Researcher, Creative Cloud",Adobe,"San Francisco, CA",,Interest in growing into a leadership role and mentoring contractors and Jr researchers as the team grows.Can collaborate effectively across all project roles …
10,Senior UX Researcher – Inclusive Design - Reimagine Tomorrow,Disney Streaming,"San Francisco, CA",,"An expert in participatory design & research methods, including co-design and trauma-informed design.Spearhead inclusive design practices through developing…"
11,"newSenior Motion Designer, Search",Google,"San Francisco, CA",,"Motion design experience related to physics, patterns, and visual design elements.2 years of experience leading design projects."
12,"UX Researcher, Mixed Methods",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)+15 locations",,"Generate insights that both fuel ideation and evaluate designs.Work cross-functionally with design, product management, content strategy, engineering and…"
13,UX Researcher,Plaid,"San Francisco, CA",,"A design culture where talking to customers sits at the forefront of every project.An avid story-teller, skilled in effectively communicating their process to…"
14,"newLead Org Researcher, People Analytics & Reporting, Talent As...",Deloitte,"Foster City, CA",,Assists in the conceptualization of analytical projects to ensure research is rigorous and based on up-to-date experimental design principles in behavioral…
15,Sr Scientific Researcher,Genentech,"San Francisco, CA (Mission Bay area)",,"Independently design, execute, analyze and present results to various forums within the department and project teams."
16,UX RESEARCHER,Visa,"San Francisco, CA+3 locations",,"Familiarity with inclusive design principles and practices.Plan, facilitate and produce deliverables from design thinking workshops."
17,"UX Researcher, Mixed Methods",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)+15 locations",,"Generate insights that both fuel ideation and evaluate designs.Work cross-functionally with design, product management, content strategy, engineering and…"
18,UX Researcher,Plaid,"San Francisco, CA",,"A design culture where talking to customers sits at the forefront of every project.An avid story-teller, skilled in effectively communicating their process to…"
19,newHR Technology Service Designer,Meta,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations",,"Advocate for the user through human centered design methodologies (such as: design research, service blueprinting, collaborative work session design and…"
20,Senior Market Researcher,Expedia.com,"San Francisco, CA",,"Able to moderate or field research studies, analyze data, report on research, and design research studies independently."
21,Senior UX Researcher – Inclusive Design - Reimagine Tomorrow,Disney Streaming,"San Francisco, CA",,"An expert in participatory design & research methods, including co-design and trauma-informed design.Spearhead inclusive design practices through developing…"
22,UX Researcher,Upwork,"Remote in San Francisco, CA+2 locations",,"You will bring the power of insights to design and business decisions.Advocate research findings to diverse audiences through written reports, in-person…"
23,"Photo Curator & Researcher, Global Trends and Foresight, Dev...",Amazon.com Services LLC,"San Francisco, CA",,"Support designers requests for inspirational imagery to be used for internal design presentations, trend forecasting newsletters and other design development…"
24,"newLead Org Researcher, People Analytics & Reporting, Talent As...",Deloitte,"Foster City, CA",,Assists in the conceptualization of analytical projects to ensure research is rigorous and based on up-to-date experimental design principles in behavioral…
25,"newExperience Designer, Creative Cloud Express",Adobe,"San Francisco, CA+2 locations",,"College degree or 2+ years of practical experience in design with an emphasis on graphic design, HCI, or related design field."
