,title,company,location,salary,summary
0,Health Services Researcher,,"Washington, DC 20024 (Southwest Federal Center area)",,"Collaborate with senior staff to design rigorous methods for evaluating programs and policies, conduct analyses, draft reports, present findings to policy and…"
1,newBehavioral Health Senior Researcher,,"Washington, DC 20001 (Swampoodle area)",,The researcher will oversee interdisciplinary teams focused on both analytics and technical assistance related to behavioral health.
2,newUX Designer / Researcher,,"Remote in Washington, DC",,"Understands human centered design, interaction design fundamentals, and UI design best practices, including accessibility."
3,Survey Researcher,,"Washington, DC 20024 (Southwest Federal Center area)+2 locations",,"Survey researchers usually work on more than one project at a time.Present findings and disseminate information to policy, practitioner, and researcher…"
4,Researcher / Researcher Senior - Job Family,,"Washington, DC",,"Supports research activities for health outcomes projects in the following areas: research designs, methodologies, analysis, and presentation/reporting (with…"
5,"Mixed Methods Researcher, People Research Team",,"Washington, DC 20004 (Penn Quarter area)",,"Collaborate cross-functionally with quantitative researchers, program managers and HR business partners to align on priorities."
6,Director of Communications,,"Temporarily Remote in Washington, DC 20036",,"Promote communications excellence and participation among researchers and other senior staff, including by providing media training to new staff members."
7,newRedesign Student Experience Coach XQ,,"Washington, DC 20002 (NoMa area)",,"Experience with human-centered design process preferred.Leverages pilot learning and research of best practice to recommend key design decisions, including…"
8,Senior Postsecondary Education Researcher and Project Leader,,"Washington, DC 20024 (Southwest Federal Center area)",,"The senior researcher will join our large and growing interdisciplinary staff of researchers in education measurement and policy, child development, sociology,…"
9,"Specialist, Early Childhood Instruction",,"Washington, DC 20002 (NoMa area)",,Helps teachers see themselves as researchers in the classroom needing to be constantly curious about their students’ development.
10,"Qualitative Researcher, Health",,"Washington, DC 20007 (Georgetown area)",,"AIR is currently seeking a confident, self-motivated, and creative Qualitative Researcher with experience in qualitative research skills (including developing…"
11,Editorial Director,,"Remote in Washington, DC 20036",,"Review and implement manuscript and design revisions, counseling clients and colleagues as appropriate.Work closely with researchers, fact-checkers, writers…"
12,"Quantitative UX Researcher, University Grad",,"Washington, DC+3 locations",,"Work closely with product teams, as well as other researchers, to identify important research questions.Work cross-functionally with design, product management…"
13,Editorial Assistant,,"Washington, DC 20002 (NoMa area)",,Familiarity with PowerPoint or similar design programs;Work closely with researchers and communications professionals to translate technical research into…
14,Researcher,,"Washington, DC",,This individual also works closely with other researchers on various assigned tasks and internal technical activities.
15,"Senior Researcher, Education and Employment Division",,"Washington, DC 20024 (Southwest Federal Center area)+3 locations",,"The senior researcher will join our growing interdisciplinary staff of researchers in education measurement and policy, child development, sociology, economics,…"
16,Graduate Studies Program-Cyber Operations and Mission Enable...,,"Washington, DC 20505 (Foggy Bottom area)",,"Cyber Operations and Mission Enablement Graduate Interns support intelligence missions through the design, development, and deployment of global information…"
17,Research Program Coordinator,,"Washington, DC 20036 (Downtown area)",,Guide program design to achieve outcomes by incorporating the best available evidence.The Research and Innovation Department (Airbel Impact Lab) supports the…
18,"Analyst, School Mental Health",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
19,Research Analyst,,"Washington, DC 20024 (Southwest Federal Center area)",,Research Analysts partner with researchers and other staff to design and execute user-focused evaluations and other measurement and learning efforts that help…
20,Senior Early Childhood Researcher,,"Washington, DC 20024 (Southwest Federal Center area)",,"Senior researchers will contribute to continuing growth in the CYF division by directing projects, identifying and obtaining new opportunities, and mentoring…"
21,Qualitative Researcher,,"Washington, DC 20036 (Downtown area)",,The Qualitative Researcher works with Bain’s consultants and other expert groups (e.g. product design and digital marketing teams) to provide high quality…
22,newProduct Designer,,"Washington, DC 20004 (Penn Quarter area)",,"Experience showcasing your end-to-end design process across multiple projects, that include interaction and visual design artifacts, multiple iterations, and…"
23,IT Help Desk Technician,,"Washington, DC 20003 (Southwest Federal Center area)",,"Support our staff across the country to solve their most pressing technical needs.Updating and curating documentation to ensure our policies, workflows and…"
24,Creative Director,,"Washington, DC 20036 (Dupont Circle area)",,Write and/or design unique and well-crafted content as necessary.Collaborate with design and production teams to move projects from concept to completion.
25,Research Analyst,,"Washington, DC 20037 (Foggy Bottom area)",,Strong attention to detail (including ability to proofread and design high-quality slide decks).Strong understanding of both primary and secondary data…
26,"newEconomist, Monetary & Financial Market Analysis - MA",,"Washington, DC (Foggy Bottom area)",,"The Board also hosts a Federal Statistical Research Data Center, which allows researchers with approved projects to access restricted-use microdata from the…"
27,Sr. UX Researcher,,"Washington, DC 20002 (Capitol Hill area)",,Foster and grow user research and a data driven product design culture.Analyze existing data and product designs to generate hypotheses and plans for high…
28,"Analyst, IMPACT Operations",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
29,Research Analyst,,"Washington, DC 20001 (Penn Quarter area)",,"Help to conceptualize study designs, investigate new methods to answer questions.Must be able to clearly communicate ideas and results of analyses with…"
30,newIT Specialist (INFOSEC/NETWORK),,"Washington, DC",,"Perform comparable functions within the scope of the Network Services and Information Security parenthetical, will plan, design, develop, implement, and manage…"
31,Design Program Manager,,"Washington, DC 20004 (Penn Quarter area)+1 location",,"Experience working directly with product designers, UX researchers, and content strategists.Finally, you'll utilize a full range of organizational and…"
32,Senior Service Design Researcher - Remote Opportunity,,"Remote in Washington, DC",,"6+ years of experience in a related field along with a portfolio of past service design (design thinking, human-centered design) research that highlights your…"
33,"Associate Director, Research Discovery & Design",,"Washington, DC 20036 (Downtown area)",,"Market-sizing, testing calls and product design analysis for new research investigation.Coach junior-level researcher staff by developing critical skills,…"
