,title,company,location,salary,summary
0,Web Design Technologist,Avenues: The World School,"New York, NY",,Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally including sketch and Adobe Creative Suite).
1,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
2,Design Technologist,RISIRISA,"New York, NY",,"Experience with UI/UX design.You have a solid design and data visualization portfolio.As a member of RISIRISA’s design team, you will be joining an…"
3,Sr. Design Technologist (Interaction/AppFlow),Amazon.com Services LLC,"New York, NY+4 locations",,"An online portfolio/github or samples of work demonstrating experience in user-centered design solutions, development, and product design innovation."
4,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Collaborate with clients, design teams and other technologists on projects across multiple industries.You understand visual design, but are a developer at…"
5,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
6,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Knowledge of Agile design principles, design workflow, standards and UX best practices.Experience with design system engineering is a big plus."
7,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
8,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
9,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,Helped designers or product managers work through technical feasibility of design-choices during pre-development stages.Led technology on a project team.
10,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"In collaboration with our curriculum team, you will utilize your creativity and expertise in technology to design an unforgettable STEM project that inspires…"
11,Web Design Technologist,Avenues: The World School,"New York, NY",,Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally including sketch and Adobe Creative Suite).
12,Capgemini Invent- Design Technologist II,Capgemini Invent,"New York, NY",,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
13,Design Technologist,RISIRISA,"New York, NY",,"Experience with UI/UX design.You have a solid design and data visualization portfolio.As a member of RISIRISA’s design team, you will be joining an…"
14,Sr. Design Technologist (Interaction/AppFlow),Amazon.com Services LLC,"New York, NY+4 locations",,"An online portfolio/github or samples of work demonstrating experience in user-centered design solutions, development, and product design innovation."
15,Creative Technologist - Digital Experience Design - Senior,Gensler,"New York, NY 10020 (Midtown area)",,"Collaborate with clients, design teams and other technologists on projects across multiple industries.You understand visual design, but are a developer at…"
16,"Creative Technologist, Creative Shop Labs",Meta,"New York, NY",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
17,newDigital Senior Creative Technologist,Protiviti,"New York, NY",,"Knowledge of Agile design principles, design workflow, standards and UX best practices.Experience with design system engineering is a big plus."
18,Senior Design Technologist,frog,"New York, NY+1 location",,"As a Senior Design Technologist, you'll use the latest tools and techniques to take projects from idea to reality."
19,Senior Design Technologist (Front End Developer),frog,"New York, NY",,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
20,Senior Design Technologist (Full Stack Developer),frog,"New York, NY",,Helped designers or product managers work through technical feasibility of design-choices during pre-development stages.Led technology on a project team.
21,"Design Technologist (STEM, Maker Education)",NORY,"New York, NY 10018 (Garment District area)",,"In collaboration with our curriculum team, you will utilize your creativity and expertise in technology to design an unforgettable STEM project that inspires…"
