,title,company,location,salary,summary
0,Instructional Support Specialist,New York University,"New York, NY 10012 (Greenwich Village area)",,"Primarily provides on-site and remote consultation, training, and professional development for teachers, therapists, and administrators working in ASD Nest…"
1,newGlobal Cleanliness Learning Facilitator II (JFK),Delta,"New York, NY",,"Degree or experience with instructional design methodology, adult learning theory/education, and learning industry best practices."
2,"Program Manager, Learning and Development, Engineering Leade...",Google,"New York, NY (Chelsea area)",,"Understanding of instructional design methodologies, tools, and techniques.Master's degree in organization development, psychology, instructional design, adult…"
3,"Program Manager, Learning and Development, Google Play Partn...",Google,"New York, NY (Chelsea area)",,"Align talent objectives and business strategies with curriculum development and instructional design.Collaborate with the team on instructional design,…"
4,newLearning Experience Designer Lead (Remote),Anthem,"Remote in Syracuse, NY",,"The Learning Experience Designer Lead is responsible for analyzing, designing, building, and implementing business-aligned, integrated learning solutions using…"
5,Senior Meetings Services Assistant,United Nations,"New York, NY",,"As lead Meetings Services Assistant, ensures that all logistic arrangements, required services (including accessible services), and personnel are available for…"
6,Program Facilitator/Training Lead,Federal Reserve Bank of New York,"Hybrid remote in New York, NY",,"Act as lead facilitator for a variety of bank-wide learning programs.Proficiency in instructional design methods (ADDIE, HPI), eLearning applications."
7,newManager II Learning (Remote),Anthem,"Remote in Syracuse, NY",,"Oversees the formulation of teaching outlines, instructional methods, and/or teaching aids.The Manager II Learning is responsible for ensuring successful…"
8,Educational Technologist,New York University,"New York, NY 10012 (Greenwich Village area)",,The selected candidate must have a bachelor's degree and 3 years of relevant experience designing and implementing interactive experiences for hybrid and/or…
9,"K-2 Literacy Educational Consultant, FULL TIME (10-month)","Teaching Matters, Inc.","New York, NY 10115 (Morningside Heights area)",,Prepare early literacy team leaders to ultimately lead continuous improvement efforts by using data that leads to deep analysis and identification of…
10,Part-Time Virtual Social-Emotional Learning Teacher,Together Education,"New York, NY",,"We're looking for a Part-Time Virtual Social-Emotional Learning Teacher who will lead student, educator, and professional sessions helping individuals identify…"
