,title,company,location,salary,summary
0,new1840 Junior Management Assistant (School-Term): County Satel...,San Francisco Unified School District,"San Francisco, CA 94102 (Downtown area)",,Knowledge of San Francisco’s public schools/urban public schools and a passionate belief in SFUSD’s commitment to instructional leadership as a lever toward…
1,Training and Development Lead (Development & Engagement),Affirm,"Remote in San Francisco, CA 94126",,Partner with Instructional Design to ensure instructional materials meet company standards and learner needs.You also thrive as a mentor and line of support to…
2,newInstructional Designer Manager,University of California San Francisco,"Hybrid remote in San Francisco, CA 94143",,"Unlike other instructional designers on campus, the Manager for.Minimum 10 years' directly related experience as an instructional designer."
3,Education Manager,Children's Creativity Museum,"Hybrid remote in San Francisco, CA 94103",,"Maintain and deepen CCM’s efforts in statewide and national communities of practice around content and instructional practices around making, playful learning,…"
4,Elementary Co-Lead (Grades 1-4),Cathedral School for Boys,"San Francisco, CA 94108 (Nob Hill area)",,The co-lead teacher is responsible for planning and teaching instructional lessons and curriculum and assessing students in the core subject areas at the…
5,Learning & Development Senior Instructional Designer,Discord,"Remote in San Francisco, CA 94107",,"Deep knowledge of learning theories and instructional design models.Visual design skills with Articulate Rise, Storyline and instructional videos using Vyond."
6,Regional Data Enablement Lead- US/Canada,Levi Strauss & Co.,"Remote in San Francisco, CA",,"Help create and maintain workflows, instructional documents, program templates and tools.Map and communicate current state of data landscape, catalog existing…"
7,"Partner, School Design Service -- Early Childhood Focus (K-2...",Transcend,"Remote in San Francisco, CA 94103",,"You are a former or current school leadership team member with deep instructional knowledge in early childhood (K-2); and a master facilitator, instructional…"
8,"CMF Designer, Fitbit",Fitbit,"San Francisco, CA 94105 (Financial District/South Beach area)",,"You will be a lead designer on roadmap programs and you will develop fashionable and innovative accessories.Ability to develop innovative color, material, and…"
9,"newLearning Experience Designer - Onboarding (Remote, US) - 239...",Splunk,"San Francisco, CA 94107 (Financial District/South Beach area)",,Apply effective instructional design strategies to create experiences that focus on different ways to deliver and deploy learning in alignment with defined…
