,title,company,salary,summary
0,newZoHo Consultant,Techvaria Solutions Pvt Ltd,"₹3,00,000 - ₹7,00,000 a year","Work closely with other developers, designers, support representatives to manage and enhance the applications.Write well designed, testable, efficient code."
1,Game Designer,GreedyGame Media Private Limited,"₹4,18,372 - ₹15,00,000 a year","Design features aligned with the creative and game directions (e.g., gameplay rules, progression systems, combat systems, weapon attributes, artificial…"
2,PCB Designer (New College Graduate),Micron,,"You will be mentored by senior designers to learn the planning, design, construction, implementation, and evaluation of the PCB designs which are used on the…"
3,newDesigner: User Experience Design,IBM,,"As an Associate Design Director, you lead a group of designers through a proposed solution phase.Hands on designer adept in user empathy, research, analytics,…"
4,newMTS Logic Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…"
5,Senior Product Analyst,Laerdal,"₹7,00,000 - ₹17,00,000 a year",A. Brief the requirements to UX/UI designers.C. Identify solutions to business requirements/problems and validate with technical teams/designers.
6,Applications for DTP Operator,Jain Group of institutions(JGI),"₹20,000 - ₹25,000 a month",Ø Responsible for translating the work of art directors and graphic designers into digital files ready to go to print or be placed online.
7,Web Designer/ Developer,McAfee Enterprise,,The Marketing Web Technologist is part of McAfee’s Web Marketing team and is responsible for performing daily web production tasks across 5+ different web…
8,OBIEE-OBIA Consultant,Deloitte,,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
9,Senior Graphic Designer,Hubilo Technologies,,"As a Graphic Designer, you will be responsible for understanding requirements, visualizing, and creating graphics including illustrations, logos, layouts, and…"
10,MTS Analog Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…"
11,Instructional Designer,IBM,,"Maintain a good working relationship with SMEs, graphic designers, reviewers and other stakeholders to create effective instructor-led and Web-based…"
12,Senior Process Designer 1,PhonePe,,A process designer’s role is at the core laying the foundation for the exceptional experience each of those customers have while interacting with the support…
13,Data Scientist I,Delhivery,,"Strong at algorithms, classic artificial intelligence (not machine learning) and heuristics.We need crazy (no exaggeration) algorithm designers to “perform…"
