,title,company,salary,summary
0,Learning Designer - Hybrid Schedule (Office of Public Health...,Boston Public Health Commission,,"OPHP envisions a resilient Boston through healthy, informed, and connected communities that are supported every day and during emergencies by strong, integrated…"
1,newSr. UX Designer,Amazon.com Services LLC,,"5+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
2,Junior UI/UX Designer ›,GROUPVISUAL.IO,,Excellent interpersonal skills and high emotional intelligence (EQ).This is a great position for a detail-oriented designer who is passionate about creating…
3,"Amazon Robotics - Texture Artist Co-op - July-December 2022,...",Amazon.com Services LLC,,"1+ years of design experience.Enrolled in a degree program in Computer Science, Visual Effects, Graphic Art, Animation, or related field with a graduation date…"
4,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams."
5,newConversational AI Lead,Deloitte,,"Work with engagement leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow consultants to…"
6,newMarketing Graphic Designer,Overjet,,Our cutting-edge artificial intelligence technology encodes dentist-level training and analysis into scalable software tools.
7,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…"
8,"Senior Product Designer, Data Intelligence",Klaviyo,,Ability to mentor junior designers and to give creative direction to bring out their best work.The designers in the Intelligence pillar craft products and…
9,newSmart Factory Experience Design and Delivery Consultant Nati...,Deloitte,,"For the purposes of the Deloitte Smart Factory experience, technologies may include robotics, analytics, and artificial intelligence, user interface design,…"
10,"Deloitte Consulting - Designer, Sales Excellence, Hybrid Bus...",Deloitte,,"In this role, this individual will develop presentation and interactive deliverables in support of Hybrid Business GTM sales and pursuit collateral."
11,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…"
12,Automation Software Engineer-Location Open,Deloitte,,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…"
13,"Associate, Data Engineer",Pfizer,,Contribute to conversations with User Experience (UX) designers to align visualizations to complex product data.Travel Requirements are project based.
14,new2022 Graduates - Career Development Program,Jerry,,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…"
15,new2022 Graduates - Career Development Program,Jerry,,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…"
