,title,company,location,salary,summary
0,"Software Developer (Austin TX, Chicago IL, Las Vegas NV, Ren...",Everi Games Inc,"Chicago, IL",,"Work closely with Mathematicians, Artists, Audio Engineers, Designers, and Producers to create slot machine games that are delivered to the casino floor."
1,Lead UX Designer,Caterpillar,"Chicago, IL 60622 (West Town area)",,"Desirable is a results driven self-starter with a unique combination of technical knowledge, business acumen and strong general and emotional intelligence."
2,new2022 Graduates - Career Development Program,Jerry,"Chicago, IL 60641 (Old Irving Park area)+1 location",,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…"
3,Backend Engineer (Remote),ReviewTrackers,"Remote in Chicago, IL",,"Cutting-edge products that involve natural language processing and business intelligence analysis.An Engineering organization of 16 engineers, and on a team of…"
4,Vice President of Product,Rheaply,"Remote in Chicago, IL",,"Lead, manage and grow a team of high agency product managers and designers.This is a highly collaborative role that will lead cross-functional teams and…"
5,Lead UX/UI Designer,Caterpillar,"Chicago, IL 60622 (West Town area)",,"Desirable is a results driven self-starter with a unique combination of technical knowledge, business acumen and strong general and emotional intelligence."
6,UX DESIGNER,InspiHER Tech,"Hybrid remote in Chicago, IL",,Proven experience working with business intelligence platforms (Power BI) and web design technologies.4+ years of experience as a UX designer conducting…
7,Front End Application Developer (MID-LEVEL),Cook County Sheriff’s Office,"Chicago, IL",,"Reporting to the Director of Business Intelligence and Applications/Designee, the Front-End Web Designer/Developer will apply front-end web expertise to develop…"
8,Instructional Designer,Ontra,"Hybrid remote in Chicago, IL",,"They will have freedom to craft systems from the ground up and achieve high impact results.Combining people skills with technical business acumen, the right…"
9,Data Analyst - Program Management,AECOM,"Hybrid remote in Chicago, IL 60684",,"+ Leverage machine learning and artificial intelligence to design, create, evaluate, or deploy models to production, monitor, and logging of the decisions, and…"
10,newAdjunct Faculty in Game Programming,DePaul University,"Chicago, IL 60604 (The Loop area)",,"Throughout the program, students collaborate on interdisciplinary teams with programmers, artists, game designers, producers, writers, and audio designers."
11,Arity - Sr Geospatial Data Scientist,Allstate,"Remote in Northbrook, IL",,"You will collaborate with product owners, data & software engineers, and designers to develop and deploy robust, scalable services that enhance our…"
12,newAI Manager,National University,"Chicago, IL",,5 years’ experience designing and enhancing bots or other customer facing automated intelligence/machine learning and self-service experiences required.
13,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,"Chicago, IL 60606 (The Loop area)",,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams."
14,Industrial Designer,Motorola Solutions,"Chicago, IL",,And in everyday moments — when a package arrives just in time for the holiday or when a child doesn’t miss the school bus home.Generous Paid Time Off Packages.
15,Senior Editor/Motion Designer,Edelman,"Hybrid remote in Chicago, IL",,"We are looking for a Senior Editor/Motion Designer with 5 years of experience.Work closely with Creative Directors, Copywriters and a broader creative team to…"
16,newConversational AI Lead,Deloitte,"Chicago, IL 60606 (The Loop area)",,"Work with engagement leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow consultants to…"
17,"Business Analyst, AWS",Amazon.com Services LLC,"Chicago, IL",,"Bachelor’s degree in Business, Statistics, Mathematics, Computer Science, Engineering, Operations, Finance, or related field or 5+ years of experience as…"
18,User Interface Designer,ZS,"Evanston, IL 60201 (Downtown area)",,Ensure all visual UI definition and development is consistent with usability standards and best practices set by the senior UX designer on the project team.
19,Graphic Designer to our Product Marketing team,Tacton,"Chicago, IL 60654 (Near North area)",,"We are looking for designers with experience aiding digital marketing campaigns in Email, Social, Landing pages and Website Banner ads."
20,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,"Chicago, IL 60606 (The Loop area)",,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…"
21,newSmart Factory Experience Design and Delivery Consultant Nati...,Deloitte,"Chicago, IL 60606 (The Loop area)+3 locations",,"For the purposes of the Deloitte Smart Factory experience, technologies may include robotics, analytics, and artificial intelligence, user interface design,…"
22,newSenior User Experience Researcher,ZS Associates,"Evanston, IL 60201 (Downtown area)",,"Excellent interpersonal skills, with the ability to listen to and build rapport with study participants, designers, project teams and executives."
23,"Software Engineer, Backend",iRhythm Technologies,"Remote in Chicago, IL",,Develop server-side components/services for Zio Service platform.Implement RESTful web services for both internal and third-party integrations.
24,Frontend Engineer (D3JS),NielsenIQ,"Chicago, IL",,Experience with business intelligence tools and data visualization.You're proud to be a nerdy analyst designer - Your portfolio shows that you know how to…
25,Remote Pilot Operator - ORD,SAIC,"Chicago, IL 60666",,Clearance Level Must Be Able to Obtain: Public Trust.The Federal Aviation Administration (FAA) is responsible for ensuring that air traffic control specialists…
26,User Experience Designer,ZS,"Evanston, IL 60201 (Downtown area)",,"Good interpersonal skills, with the ability to listen to, and collaborate with, senior UX designers, researchers and project teams."
27,Product Consultant,Kin + Carta,"Chicago, IL",,"Comfortable working closely with cross-functional development teams of engineers, designers, researchers, strategists, and Scrum Masters."
28,Senior Product UX Researcher,DataRobot,"Chicago, IL",,"Work collaboratively and partner with customer teams, product managers, designers and engineers to present customer findings."
29,Senior UI Designer,Perkins+Will,"Chicago, IL 60611 (Near North area)",,An unrelenting focus on user experience and delight.A data-driven approach fueled by curiosity and imagination.Strong understanding of HCI/Interaction design.
30,Sr. Business Consultant,Yash Technologies,"Chicago, IL",,"In this track , you will also work with technology experts, from data scientists and researchers to software and app designers in delivering impact to the…"
31,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,"Chicago, IL 60606 (The Loop area)",,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…"
32,Arity Principal Content Designer (Home based worker),Allstate,"Remote in Northbrook, IL",,Experience mentoring other content or experience designers.Build a content tool chest for content designers to leverage.
33,Product Owner,"Digital Diagnostics, Inc.","Remote in Chicago, IL",,"Strong collaboration with product managers, engineers, and designers to deliver high-quality product in a timely fashion.Highly organized and detail-oriented."
34,User Experience Designer,Deloitte,"Chicago, IL 60606 (The Loop area)",,"As a User Experience Designer in Deloitte's Strategy & Analytics Hybrid Solutions & Incubation (HS&I) practice, you will play a critical role in designing the…"
35,API designer,Capgemini,"Chicago, IL 60606 (West Loop Gate area)",,Deliver API schemas that are easy to understand and use.Produce API design and technical implementation documents for innovative applications that will…
