,title,company,location,salary,summary
0,Designer,KANTAR,London,,5+ years of experience in a similar role either as an in-house designer or agency.Line manage and mentor junior team member and collaborate with other…
1,Junior Product Designer - QuantumBlack Labs,McKinsey & Company,London,,... work alongside senior designers to create products and experiences that shape and define how advanced analytics leads to real-world impact on a massive…
2,Junior Designer,KANTAR,London,,"You’ll ideally be someone with a passion to elevate design and creative insights in client reports, videos, presentations, proposals, workshop and marketing…"
3,Product Designer - UK (Remote),Echobox,Remote in London,,You will work closely with our Product team and Software Engineers to understand our users and design beautiful experiences for Echobox products.
4,Midweight Designer,Zeno Group,London,,"Career development of junior designer members.Every skill set and specialism that adds value, insight and impact to clients, beyond classic ‘account management…"
5,Exhibitions Designer,WRG,London,,"Designing engaging exhibition stands and environments both for the physical and virtual worlds.Working alongside other creatives, client teams, internal and…"
6,newPackaging Designer,The Body Shop International Limited,Hybrid remote in London SE1,,"Experience as a mid-weight packaging designer, conceiving and crafting impactful packaging designs.Some outputs will involve supporting the senior packaging…"
7,newIntern,Dow Jones,London,,"Creative Intern - interest or relevant academic experience in a creative field, with a focus on design in advertising and branded content."
8,Designer,OLIVER,London,,You will be responsible for designing and concepting pitch campaigns for our new business and growth opportunities.WHAT SKILLS WILL HELP YOU BE SUCCESSFUL.
9,Year ONE Programme,WRG,Remote in London,,"In the Year ONE programme you will rotate through WRG's specialisms, spending time in each of our teams; Environments, Events, and Delegate Experience."
10,Product Designer,Clifford Chance LLP,London,,"Ability to critically analyse secondary source market intelligence research and conduct user based primary research through client interviews, discovery…"
11,newJunior Digital Designer,OLIVER,London,,"Working in partnership with our client, the Digital Designer supports client briefs through creating powerful, creative and impactful digital content and…"
12,Crypto-asset Analytical Framework Designer,Moody's,Remote in London,,"Experience in market or competitive intelligence, business operations, data visualization tools and/or data warehouse development."
13,Graphic Designer,KANTAR,London,,We are looking for a talented and experienced Designer (3+ years’ experience) to join our high-profile team.You’ll ideally be someone with a passion to elevate…
14,Venture Designer,Founders Factory,Hybrid remote in London,,"To put it another way, if Founders Factory made TV shows, the Venture Design team would be responsible for the pilot episode.We encourage risk taking here."
15,Senior Content Designer,Outreach,Remote in London,,"Partnering with a strong, fast-moving product team of designers, researchers, product managers, engineers, and others (based mainly out of Prague)."
16,Midweight Presentation Designer,OLIVER,London,,"Working in partnership with our client, the Mid-weight Presentation Designer will encourage creative ideas and innovation to add value for bankers to engage…"
17,Product Designer - London,Echobox,London,,You will work closely with our Product team and Software Engineers to understand our users and design beautiful experiences for Echobox products.
18,Lead Game Designer,Ubisoft,Temporarily Remote in London,,Used data and business intelligence to push live operations by making the smartest queries and asking the most appropriate questions about player behaviors.
19,Product Designer - Contract,OakNorth Bank,London,,"As a product-led organisation, design and user experience are at the forefront of every decision that we make.Strong interaction and visual design skills."
20,newSenior Content Designer,IBM,London,,"At IBM, design is practiced on an unprecedented scale and depth—and no other company addresses the designer experience with the same level of intent."
21,Query Language Designer,Neo4j,London,,Our engineers regularly work with peers in field engineering and experience the full lifecycle of the systems they build.
22,Senior Designer (Conceptual),OLIVER,London,,"Working in partnership with our client Adidas, we are looking for an experienced and multi-skilled Senior Designer, to work primarily on digital projects across…"
23,"Researcher, Health Experience",Twitter,Hybrid remote in London,,"In this role, you will perform foundational and tactical research to build deep understanding and emotional intelligence around user needs, stated and unstated,…"
24,Electronics Designer - Mechatronics,Ocado Group,Hybrid remote in Welwyn Garden City,,"From the design and manufacture of the most state-of-the-art products in the business, to their delivery into our multi-million pound Customer Fulfilment…"
25,Social Creative - Part time,OLIVER,Remote in London,,"Oversee the creative execution of the designers.Working with our client, the Social Creative is responsible for coming up with brilliant, culturally relevant…"
26,"newResearch Scientist, Audio Intelligence",Spotify,Temporarily Remote in London,,"You will be a valued member of an autonomous, cross-functional team working in collaboration with other scientists, engineers, product managers, designers, user…"
27,newBusiness Analyst,Binance,London,,"Master degree in computer science, business intelligence, statistics, mathematics or an equivalent education and/or relevant practical experience."
28,newDirector - Content Creator/Editor,ZM Financial Systems,London,,Liaises with designers and digital colleagues to deliver innovative content formats.Moody’s Analytics provides financial intelligence and analytical tools…
29,"Creative UI & Visual Design Manager, Deloitte Digital, Consu...",Deloitte,London,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…"
30,Senior Product Designer,cxpartners,Temporarily Remote in London,"£46,000 - £58,000 a year","Emotional intelligence and an understanding of how to build strong, collaborative relationships.You’ll work collaboratively in a cross-functional team with…"
31,UX Designer - Ecommerce,Ocado Group,Hatfield,,"We are developing a set of B2B tools, products and services which require UXD input.As a UX Designer for the Platform department your main focus will be on…"
32,Director of Data Science,Monzo,Remote in London,,"You're familiar with using a variety of Data Science tools (from business intelligence, experimentation and causal inference through to machine learning), and…"
33,Analytics & Report Designer,GSK,Brentford,,"Are you looking for a role that allows you to have a particular focus on project management, resource/budget demand, allocation, and capacity ?"
34,Crypto-asset Analytical Framework Designer,ZM Financial Systems,Remote in London,,"Experience in market or competitive intelligence, business operations, data visualization tools and/or data warehouse development."
35,UX/UI Designer,Third Bridge,London,,"We are looking for a user-experience (UX) and user interface (UI) designer with a strong foundation in user experience, interaction design, as well as graphic…"
36,"Office, Engagement and Wellbeing Co-Ordinator",Black Swan Data Ltd,Remote in London,,"The Office, Engagement and Wellbeing Co-Ordinator will be responsible for building and maintaining a strong sense of community and belonging across our cross…"
37,EY Seren - Design Operations Lead,EY,Hybrid remote in London E14,,"Working with our practice directors around design opps (e.g. ensuring our designers have the tooling and environment they need to do their best work), community…"
38,Product Designer,Oxford Medical Simulation,Remote in London SE1,,"Role: Helping solve tough problems and making the complex simple for our users.You will be responsible for solving complex design problems with beautiful,…"
39,newIBM Technology - Designer,IBM,London,,"Deep experience in a client facing role, including workshop facilitation where you've guided non-designers through new ways of working, anticipated client needs…"
40,Graduate Cost Intelligence / Data Analytics & Visualisation...,AECOM,London,,"Integrated Decision Analytics specialises by providing support to our clients gain a deeper understanding of their project data available, advising on various…"
41,UX Designer - Ecommerce,Internal Job Board,Hatfield,,"We are developing a set of B2B tools, products and services which require UXD input.As a UX Designer for the Platform department your main focus will be on…"
42,"UI Designer, Assessment Solutions",Aon Corporation,Hybrid remote in London EC3V,,As a UI Designer you will deliver a human-centered approach to crafting copy and designing user interfaces for B2B Human Resource products that specialize in…
43,Junior Solution Architect/Solution Designer,CAPCO,London,,"Knowledge of emergent technologies (e.g. any of the following are currently popular in our industry: artificial intelligence, machine learning, robotic process…"
