,title,company,salary,summary
0,newInstructional Designer,Dow Jones,,The Customer Service team works to support our Consumer and PIB businesses in delivering best-in-class customer experience.Ability and willingness to travel.
1,newGraphic Designer for OCHA PB Publications,United Nations,,"The graphic designer will be engaged ""on retainer"" and will work remotely, receiving files electronically for formatting from the Policy Team."
2,"newAssociate, Communications Design",IPG Mediabrands,,"Help compile POV reports and intelligence on current best practice planning approaches and outcomes for client, brand, and category."
3,Senior Creative Designer,Dow Jones,,Experience of managing other designers and small teams.We are looking for a Freelance Senior Creative Designer to provide paternity coverage on a temporary…
4,"Digital Designer, WSJ. Magazine",Dow Jones,,"WSJ. Magazine is looking for an enthusiastic and experienced Digital Designer to help brainstorm, design and execute innovative multi-platform digital assets…"
5,Product Designer,Runway AI,,"And unlocking a new wave of storytelling.This is a full-time role.Experience designing flows, prototypes and high-fidelity UI's for web products."
6,"User Experience Researcher, Growth",Hinge,,"Work collaboratively with other researchers and product team members (i.e., product managers and designers) to identify key research questions and prioritize…"
7,"Senior Manager, Innovation and Market Intelligence",Spotify,,"Lead end-to-end market intelligence work, including ethnographic, desk, and data-driven research, to generate polished trend reports and insights to articulate…"
8,"Senior Product Manager, Learning and Education Intelligence",Google,,Bachelor's degree or equivalent practical experience.4 years of product management experience with technical products.Experience in education or edtech.
9,"Special Projects Manager, Card Intelligence",Capital One - US,,"Products such as CreditWise and Capital One Shopping, both free to anyone, are extensions of our commitment to helping people find the best deal, manage their…"
10,newData Analytics Consultant,Deloitte,,"Perform day-to-day quantitative risk analysis including the development, maintenance, and operations of a suite of advanced analytical, econometric, and AI…"
11,Senior Visual Designer,"Logical Design Solutions, Inc.",,"Is a natural leader, who can advocate for good design outcomes and manage junior designers in supporting design research and execution."
12,Data Analyst,Dow Jones,,"As a member of Dow Jones’ data unit, you will work closely with editors, product managers, engineers, designers, data scientists, and more in a lively,…"
13,Visual Designer,Edelman,,"You will support Design leads and design directors to develop high-quality visual solutions for a diverse set of clients across tech, healthcare, lifestyle, and…"
14,newCommunications Designer,IPG Mediabrands,,"You are responsible for helping to strategize, produce and make sense of the key media, consumer and market intelligence required to your clients’ connections…"
15,Customer Adaptation Designer,Volvo Group,,Serve as a designer in one or more technical areas with limited responsibility and ownership.Perform routine and less complex engineering support tasks that…
16,newGraphic Designer for OCHA PB Publications,United Nations,,"The graphic designer will be engaged ""on retainer"" and will work remotely, receiving files electronically for formatting from the Policy Team."
17,newData Analytics Consultant,Deloitte,,"Perform day-to-day quantitative risk analysis including the development, maintenance, and operations of a suite of advanced analytical, econometric, and AI…"
18,"Product Manager, Intelligence and Machine Learning, Coding T...",Google,,Bachelor's degree or equivalent practical experience.4 years of experience in product management with technical products.
19,Senior Visual Designer,Droit,,"Using your passion for design and user empathy to create exceptional, best-in-class UX designs from concept to final implementation for our internal and…"
20,Creative Content Graphic Designer,Moody's,,"Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’ growth, efficiency and risk management objectives."
21,Senior Product Designer,Waybridge,,"As designers, we work closely with product and engineering to ensure the scope of what we design is flexible, powerful, easy to use, and shippable."
22,Presentation Designer,KANTAR,,"Working primarily in PowerPoint, the designer will create client-ready, visually impactful reports, proposals, capabilities, and other deliverables in…"
23,"Manager, Business Intelligence, Strategic Initiatives",Amazon.com Services LLC,,"You will work alongside a dynamic group of business owners, Product Managers, UX designers, engineering where agility, teamwork, and creative thinking are…"
24,Brand Designer Manager,Augury,,"As a Brand Designer Manager, your primary role is to act as the design lead, owning projects while delivering work with brilliant creative ideas, exceptional…"
25,Sr. User Experience Designer,IBM,,"User experience designers create human-centered experiences by designing the structural, informational and feature foundation for products, services, and…"
26,Year ONE Program,WRG,,"In the Year ONE program you will rotate through WRG's specialisms, spending time in each of our teams; Environments, Events, and Delegate Experience."
27,Senior Creative Designer,Dow Jones,,Experience of managing other designers and small teams.We are looking for a Freelance Senior Creative Designer to provide paternity coverage on a temporary…
28,Oliver Wyman – Organizational Effectiveness – Associate (mul...,Oliver Wyman Group,,"High emotional intelligence and empathy for human behavior and organizational psychology.Using techniques such as co-creation, design thinking, advanced…"
29,Product User Experience Designer,NANOTRONICS IMAGING INC,,"Interest in physics, microscopy, hardware design, automation, artificial intelligence, and robotics a plus.The Nanotronics Product User Experience Designer is…"
30,Senior Product Designer,Waybridge,,"As designers, we work closely with product and engineering to ensure the scope of what we design is flexible, powerful, easy to use, and shippable."
31,UI Designer,"Analytic Partners, Inc.",,The mission of the Product department is to build business intelligence applications to solve practical marketing analytics problems.
32,Visual UI Designer,"Amazon Dev Center U.S., Inc.",,"6+ years of professional experience as a UI designer or interaction designer, visual designer, creative director, art director, or similar role."
33,Creative Director,ClickDone,,High emotional intelligence and stress tolerance.Formal full-time UI/UX designer or developer experience.We’re looking for a seasoned creative director in New…
34,User Experience Designer,Deloitte,,"As a User Experience Designer in Deloitte's Strategy & Analytics Hybrid Solutions & Incubation (HS&I) practice, you will play a critical role in designing the…"
35,Product Designer (Remote),Corporate Headquarters,,"As a member of a collaborative, cross-functional team, you will help define the concrete, tangible aspects of a product, from look-and-feel to discrete…"
36,Graphic Designer,Medidata Solutions,,"In this creative, hands-on Graphic Designer role, you will work closely with the Director, Design & Branding as well as the Global Marketing Campaigns, Events,…"
37,Program and Portfolio Strategist,Federal Reserve Bank of New York,,This position will offer workplace flexibility e.g. working remotely or on site as needed/ desired during the week.Experience with digital product management.
38,Learning Experience Designer,Lemonade Insurance Company,,"3+ years professional experience in designing and developing learning experiences as an instructional designer, learning experience designer, learning architect…"
39,Lead Product Designer - Medical Guidance,Buoy Health,,"As Lead Product Designer on our Medical Guidance team, you will own the design thinking and execution for how Buoy will take in care seeker inputs like symptoms…"
40,Graphic Designer (Trim/Packaging) - Corp (Aeropostale/Lucky...,"SPARC Group, LLC",,Use trend intelligence and understanding of the current and historical business to design and execute specific categories.
41,Motion Graphics Designer Quantum (NYC area or Remote),IBM,,We are looking for a motion graphics designer who can create animations explaining complex concepts that help users comprehend quantum computing basics.
42,Instructional Designer,Ontra,,"They will have freedom to craft systems from the ground up and achieve high impact results.Combining people skills with technical business acumen, the right…"
43,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams."
44,newAsst Dir – Product Designer (Greater NYC Preferred),Moody's,,5+ years of experience as a designer of mobile & web interfaces.Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’…
45,"SVP, Group Creative Director (Beauty Brands)",Edelman,,"Ability to build and lead a team of art directors, copywriters and designers, while also effectively collaborating with other internal and external teams."
46,Frontend Engineer,Temboo,,"Temboo has been adopted as a teaching tool by over 150 universities worldwide, in courses ranging from traditional CS and engineering, to digital art and urban…"
47,Sr. User Experience Designer,IBM,,"User experience designers create human-centered experiences by designing the structural, informational and feature foundation for products, services, and…"
48,"Sr. Associate, Product Management, Card Intelligence",Capital One - US,,"You’ll collaborate with designers, technologists, data scientists and subject-matter experts to build cutting edge solutions to help customers."
49,UX Designer,Siemens,,You care about our customers’ experience and have high emotional intelligence.You are a sophisticated UX Designer who can make 3D Simulation accessible to our…
50,newConversational AI Lead,Deloitte,,"Work with engagement leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow consultants to…"
51,Year ONE Program,WRG,,"In the Year ONE program you will rotate through WRG's specialisms, spending time in each of our teams; Environments, Events, and Delegate Experience."
52,"Social Media and Blog Designer, AI Creative Design",Facebook App,,"The candidate will work closely with the creative director, producer, communications and marketing teams, product designers, and researchers at one of the world…"
53,newSmart Factory Experience Design and Delivery Consultant Nati...,Deloitte,,"For the purposes of the Deloitte Smart Factory experience, technologies may include robotics, analytics, and artificial intelligence, user interface design,…"
54,Technical Communications Designer,NBCUniversal,,Must be able to demonstrate emotional intelligence and judgment in complex and sensitive situations.The Technical Communications Designer is responsible for…
55,Senior Visual Designer,"Logical Design Solutions, Inc.",,"Is a natural leader, who can advocate for good design outcomes and manage junior designers in supporting design research and execution."
