,title,company,salary,summary
0,"Product Designer, Intelligence and Defense",C3 AI,,"We are looking for experienced Product Designers with exemplary research, visual, and service design skills to help drive our digital transformation mission in…"
1,newAssistant Designer,Gap,,Strong aesthetic intelligence with a passion for style and fashion that illustrates a balanced understanding of Gap and Yeezy brands.
2,newSenior Designer,SafelyYou,,"This creative, artistic individual will partner on the concepting and creative execution of SafelyYou’s brand and promotional marketing and other materials in…"
3,Designer - Graphic Artist,WestEd,,The Early Childhood Integrated Systems and Policies team in WestEd’s Division 2 is seeking a talented and creative graphic designer to join their team and apply…
4,"Photoshop Developer, Web",Adobe,,"Is a critical problem solver, who possesses strong analytical skills tempered with empathy and emotional intelligence.Familiarity with Web Assembly a plus."
5,Product Designer,Zignal Labs,,"Collaborate with other designers, product managers, and engineering teams.Zignal’s Narrative Intelligence Cloud analyzes billions of digital stories in real…"
6,Senior Graphic Designer - CA or WA based,RUN Studios,,"RUN Studios and its client partner, a large online retailer headquartered in Seattle, are seeking an enthusiastic Sr."
7,Visual Brand Designer,Gong,,"Mentor a small team of designers.Gong is looking for a passionate Visual Designer to join our creative marketing team, someone with a clean design aesthetic,…"
8,"Senior Product Designer, Internationalization",FullStory,,You have experience mentoring designers.Has 5+ years of experience as a product designer.This role reports to the Lead for Product Design.
9,"newUX Researcher (NY, San Francisco, San Diego, Tempe, Arlingto...",Amazon.com Services LLC,,"Work with designers to define and refine personas, journey maps and blueprints for the organization.Coach or consult designers on how to conduct concept and…"
10,Creative Developer,OpenAI,,"Manage the day-to-day of the openai.com website, which pushes a million monthly unique page views.Maintain and grow a library of UI components used across…"
11,Production Designer,RUN Studios,,"RUN Studios and our client partner, a large online retailer headquartered in Seattle, are seeking an enthusiastic Production Designer to support our Retail and…"
12,Systems Engineer,iRhythm Technologies,,Come join our System Engineering group were you will be responsible of delivering innovating test solutions that improve the quality of our patients.
13,"Sr Experience Designer, AI and Innovation",Adobe,,"Think strategically with foundational expertise in systems design, shaping modern interfaces in the context of the Acrobat ecosystem."
14,"Staff Technical Writer, Data Ingest",Splunk,,General knowledge of business intelligence tools and data analytics.Experience collaborating with user experience designers to build helpful in-product user…
15,newSenior Designer (contract),(add)ventures,,"This designer will be responsible for supporting our art directors, designers and other cross disciplinary team members as needed."
16,Project Manager - Health Design and Construction BCH-Oakland,University of California San Francisco,,"Planners, designers, administrators, contractors, inspectors, and others work together to meet the needs of UCSF clients.Job Code and Payroll Title."
17,Client Engineering - Designer (REMOTE - West Coast),IBM,,"At least 2 years in a Lead Designer role with the ability to articulate the value of design to non-designers, support non-designers in making make their way…"
18,Product Video/Motion Producer Designer,NOKIA,,Nokia Design team leads and maintains our corporate positioning including brand and messaging as well as provides a range of shared services to the rest of the…
19,Assistant Project Manager: BCH-Oakland,University of California San Francisco,,"Planners, designers, administrators, contractors, inspectors, and others work together to meet the needs of UCSF clients.Issue contracts and purchase orders."
20,Facilities Manager,University of California San Francisco,,"Planners, designers, administrators, contractors, inspectors, and others work together to meet the needs of UCSF clients.Job Code and Payroll Title."
21,"Director, User Experience Research, Search Experiences",Google,,"Experience working with designers, product managers, and engineers.In this role, you will apply your passion for insights, market intelligence, and product…"
22,Technical Program Manager,Disney Streaming,,"Work closely with software developers, product managers and UX designers to craft best-of-class data exploration experience."
23,"Sr. Machine Learning Engineer, Behavior Authoring, AI@Unity",Unity Technologies,,Machine Learning Agents - Train and embed intelligent agents using pioneering deep reinforcement learning technology.
24,newVisa Garage Growth Marketer,Visa,,"We are a team of entrepreneurs, designers, engineers, product developers and creators looking to build ambitious new ventures."
25,"newData Analytics Developer, Customer Success - 23850",Splunk,,You will be a designer and implementer of key metrics and analytics for the Customer Success organization.REMOTE INITIALLY BUT WILL MOVE TO HYBRID.
26,Sr Product Designer,Exabeam,,"5+ years work experience as a designer working on shippable products.Mentor and coach other designers, both visual and interactive, to design and evangelize…"
27,new2022 Graduates - Career Development Program,Jerry,,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…"
28,newPrincipal Machine Learning Scientist - Data and AI Platform...,Visa,,"Define an R&D agenda around machine learning, artificial intelligence, and modeling capabilities to ensure we will stay leading edge."
29,Sr. Product Designer,Ripple,,"Mentor designers within Ripple’s centralized design organization.Takes on the detailed aspects of visual design such as icon design and illustration, or can…"
30,Design Lead,Fantasy,,"As a hands-on designer with a meticulous eye for detail, you’ll help oversee the work to ensure it is realized with incredible creativity and expert…"
31,Software Engineering Manager - Platform,Sofar Ocean,,"You will collaborate with a top-notch team of engineers, ocean scientists and product designers to translate user needs into robust infrastructure and systems…"
32,UX Designer — Voice of the Customer Heartbeat,Amazon.com Services LLC,,"4+ years experience as a user experience designer, interaction designer, or similar role.A designer who can create elegant interfaces and visualize data."
33,Product Designer,JLL,,Working with senior designers and product managers to define and prioritize features needed to create great user experiences.
34,"Software Engineer III, iOS, Fitbit",Fitbit,,"Collaborate with clinical team, UX designers and researchers, and project managers to improve medical care and refine the team's products."
35,Customer Success Management Consultant,Accenture,,"Artificial intelligence and front-end digital platforms.Have hands on experience with artificial intelligence, machine learning and conversational design."
36,"Sr. Software Engineer, Behavior Authoring and Training",Unity Technologies,,"Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life."
37,Front-End Engineer,Unity Technologies,,"Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life."
38,newLead Application Developer,Aspiranet,,"Work as a lead in a development team including off-shore team members by assisting other developers, analysts, and designers in conceptualizing and developing…"
39,"Design Manager, Brand Design","Grammarly, Inc.",,"This role will be responsible for building and nurturing a fantastic team of designers, helping us deliver a product vision to solve complex communication…"
40,Project Management Analyst,University of California San Francisco,,"Planners, designers, administrators, contractors, inspectors, and others work together to meet the needs of UCSF clients.Knowledge of Oracle Primavera/Unifier."
41,Principal Product Designer - AI Toolchain,Microsoft,,"Partner with product management, software engineers and other designers to deliver thoughtful design solutions.Prior entrepreneurial experience is a plus."
42,UX Lead,Level Studios,,"Experience working in a highly collaborative environment with strategists, graphic designers and web developers.5+ years in a UX Design role."
43,"Bloomberg Data Engineer, DataSF (1043)",City and County of San Francisco,,"Experience using business intelligence tools (e.g. PowerBI, Tableau) to develop visualizations.The Mayor’s Office of Innovation is a new team working on…"
44,"Sr. Product Manager, Catalog Intelligence",Shipt,,"At Shipt, we are transforming the grocery shopping experience and giving time back to consumers.In a realtime on-demand marketplace, who is strategic in making…"
45,Accessibility Copywriter,WestEd,,"Collaborate with designers, content writers, digital strategist, 508 compliance specialists, and other professionals."
46,Language and Front End Design Engineer,SiFive Inc,,"Write excellent documentation, tutorials and help train experienced hardware designers and verification engineers in new techniques."
47,"newSr. Manager, Insights - Customer Success Operations",Salesforce,,3-yrs experience as a Tableau designer.Oversee the prioritization and delivery of business intelligence solutions to meet the demands of the Customer Success…
48,Content Strategist,SafelyYou,,"You will work to ensure all content created is aligned with SafelyYou’s objectives and applicable target audiences, working closely with both the Marketing team…"
49,Data Analyst,GSN Games,,"You’ll use problem-solving skills, sound logic, and data tools like SQL/Bigquery/Python, in order to identify and evaluate trends, determine real value of team…"
50,Digital Products - Product Manager,PRICE WATERHOUSE COOPERS,,"Managing/coaching small multidisciplinary product teams and collaborating with designers, business users, and developers to innovate and drive product…"
51,SALES/TECHNOLOGY ADVISOR,AUDIOVISIONS,,"Relationship cultivation by developing and nurturing current and potential relationships with architects, builders, designers and clients."
52,VP of Software Engineering,Sofar Ocean,,"You will collaborate with a top-notch team of engineers, ocean scientists and product designers to translate user needs into high-quality software that empowers…"
53,Primary Care Family Medicine Physician Assistant,Circle Medical,,Board-certified in Internal Medicine or Family Medicine and licensed to practice in California.1-2 years post-graduate practice experience required; 3-5 years…
54,Primary Care Family Medicine Nurse Practitioner,Circle Medical,,Board-certified in Internal Medicine or Family Medicine and licensed to practice in California.1-2 post graduate practice experience required; 3-5 years post…
55,Financial Analyst Health Design & Construction,University of California San Francisco,,"Planners, designers, administrators, contractors, inspectors, and others work together to meet the needs of UCSF clients."
