,title,company,salary,summary
0,Associate Designer,AVO,,Transdisciplinary creative (opposed to a hyper-specialized designer).The nature of this work also requires a designer who is a strong writer and thinks…
1,newDesigner 2,Microsoft,,3 – 5 years' experience as an interaction (or User Experience) designer.A working knowledge and or interest in the Machine Learning and Artificial Intelligence…
2,Principal Designer,Microsoft,,"Hands-on interaction designer with attention to detail and craftsmanship.You are someone who excels at partnerships, understands the importance of cooperation,…"
3,Graphic Designer,RUN Studios,,"RUN Studios and its client partner, a large online retailer headquartered in Seattle, are looking for a Graphic Designer to support their largest Retail Event…"
4,Software Development Engineer I,Amazon.com Services LLC,,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design.Proven track record of delivery."
5,"UX Designer, Alexa News & Trust, Sensitive Content Intellige...",Amazon.com Services LLC,,"3+ years of experience as an interaction designer, user interface designer, conversational designer or similar role."
6,Content Designer II,Expedia.com,,At least 2-4 years related professional experience as a content designer or content strategist.You identify user needs and find the right content to meet those…
7,Junior Motion Designer,RUN Studios,,"With deep roots in video production and motion design, RUN Studios creates media across all channels, and serves as a strategic resourcing partner to build…"
8,newLive Producer (Contract),RUN Studios,,"Experience managing a team of creatives including live action crews, editors, animators and motion designers, DP’s, etc."
9,newProduction Artist,Moss Adams,,"Collaborate closely with art directors, designers, copywriters, and developers to provide creative input on ideation, creation, and revision stages."
10,"Sr. Business Intelligence Engg, PeopleInsight",Amazon.com Services LLC,,"Bachelor’s degree in Computer Science, Engineering, Mathematics, or a related field or 5+ years industry experience."
11,Senior Graphic Designer - CA or WA based,RUN Studios,,"RUN Studios and its client partner, a large online retailer headquartered in Seattle, are seeking an enthusiastic Sr."
12,"Staff Technical Writer, Data Ingest",Splunk,,General knowledge of business intelligence tools and data analytics.Experience collaborating with user experience designers to build helpful in-product user…
13,newUX Content Writer (Multiple),Redcloud Consulting,,Working directly with an internal team of content designers to assist on multiple projects from ideation to execution.Tech and/or design experience is a plus.
14,Principal Design Manager,Microsoft,,You have excellent verbal and written communication skills along with a high degree of emotional intelligence.Drive UX best practices across the organization.
15,Project Manager,Edelman,,"Oftentimes at the center of complex initiatives, you will lead the integration of creative components from account, planners, designers, copywriters, producers,…"
16,"Conversational Artificial Designer, Senior Consultant - Appl...",Deloitte,,"As a rigorous language-first UX designer with a creative flair for content and expertise in conversational AI technologies, you'll:"
17,"Brand Manager, Luxury Stores",Amazon.com Services LLC,,"4-6 years professional experience, preferably in high-end designer or luxury Fashion and/or Beauty.Bachelor's Degree or equivalent."
18,Designer 2,Microsoft,,"Partner closely with other designers, researchers, PMs, data scientists and engineers to iteratively produce designs as part of a feature crew."
19,Production Designer,RUN Studios,,"RUN Studios and our client partner, a large online retailer headquartered in Seattle, are seeking an enthusiastic Production Designer to support our Retail and…"
20,Remote Pilot Operator - RPO - ZSE,SAIC,,Clearance Level Must Be Able to Obtain: Public Trust.The Federal Aviation Administration (FAA) is responsible for ensuring that air traffic control specialists…
21,Amazon Games Growth Manager-New World,Amazon.com Services LLC,,"You love data and are comfortable working with designers, engineers, and product managers to get things done.Drive customer acquisition optimization efforts by…"
22,Junior Interior Designer,Dawson Design Associates,,"Understands basic Branding and Positioning concepts.Able to scan and crop images in Photoshop, manipulate, if required, to eliminate adjacent images, remove…"
23,Business Intelligence Engineer,"Amazon Data Services, Inc.",,"2+ years direct experience using business intelligence reporting tools.This role requires an individual with excellent analytical abilities, knowledge of…"
24,Digital Customer Journey Designer,Qualtrics,,"Lead journey design activities, including user workshops, stakeholder interviews, business intelligence gathering, creative brainstorms, visioning, and KPI…"
25,"Head of Product Management, Distribution",Hiya,,"Work with the engineering team, designers, and other product managers to establish quarterly goals, activities, and the key results to measure success."
26,"Engineering Manager, Web/UI",Adobe,,"Partner with designers and business leaders to provide a best-in-class customer experience.Influence design decisions and technical direction for engineers, QE…"
27,Chief of Staff,Microsoft,,"The organization includes researchers, developers, program managers, and designers, who work together in ground-breaking research projects to preserve the…"
28,Senior Graphic Designer,Brighton Jones,,You enjoy mentoring and training junior designers and investing in building relationships internally and externally.Openness to giving and receiving feedback.
29,Instructional Designer (Contract),RUN Studios,,"With deep roots in video production and motion design, RUN Studios creates media across all channels, and serves as a strategic resourcing partner to build…"
30,Instructional Designer (Contract),RUN Studios,,"With deep roots in video production and motion design, RUN Studios creates media across all channels, and serves as a strategic resourcing partner to build…"
31,newSmart Factory Experience Design and Delivery Consultant Nati...,Deloitte,,"For the purposes of the Deloitte Smart Factory experience, technologies may include robotics, analytics, and artificial intelligence, user interface design,…"
