,title,company,location,salary,summary
0,Education and Training Specialist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",,Your work will improve the knowledge and skills of intelligence officers to carry out extraordinary tasks in service to our nation.
1,Graphic Designer,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",,"Graphic Designers conceptualize, design, and produce visual solutions that convey intelligence analysis to U.S. policymakers, law enforcement officials,…"
2,newSenior Producer,The Washington Post,"Washington, DC",,"They should have familiarity with leading or reporting high-impact stories based on video analysis.The ideal candidate has experience running agile, quick-turn…"
3,Graphic Designer,Priorities USA,"Washington, DC",,"A passion for using creative to affect change, high emotional intelligence and a strong equity lens.A designer with 1-2+ years of experience in an ad agency,…"
4,"Assistant Director, Leadership Innovation and Impact",The Aspen Institute,"Washington, DC 20037 (Foggy Bottom area)",,"You will work as a program designer, master of implementation, and packager and communicator of impact and innovation with a keen eye toward scale, increased…"
5,Copy Editor,National Journal,"Washington, DC",,"National Journal takes an analytical, broad-based approach to the news, covering Congress, the White House and administration, foreign policy, and politics and…"
6,UX Designer,Aquicore,"Washington, DC",,"Building owners, managers, and engineers, as well as sustainability teams, rely on Aquicore for the intelligence they need to operate more efficiently and…"
7,User Experience Designer (UI/UX),Planet Technologies,"Washington, DC",,"As the UX Designer for Planet Technologies, you will be responsible for the design, critical thinking, and planning around a user’s experience using our best-in…"
8,Maximo Technical Consultant,Total Resource Management Inc,"Washington, DC",,Support Maximo upgrades and patches; conduct development activities in accordance with the software development lifecycle and customer defined change control…
9,Test Automation Engineer,Cambium Assessment,"Washington, DC",,Our machine scoring methods are driven by artificial intelligence allowing computers to perform such complex operations as grading essays with more accuracy…
10,Instructional Designer II,Serco North America,"Washington, DC 20005 (Logan Circle area)",,"Work with the instructional design team (instructional designers, graphic artists, programmers) and project and program manages to design responsive training…"
11,"Graphic Designer, Mid",Booz Allen Hamilton,"Washington, DC+1 location",,"Knowledge of the DoD and the intelligence community (IC).Use current graphic design technology and computer software packages to produce advertisements, sales…"
12,Real World Evidence Consultant,Deloitte,"Washington, DC",,"Experience with agile business intelligence / analytics tools such as Tableau, Qlik, Spotfire, R Shiny.The ConvergeHEALTH Miner™ suite helps life science…"
13,Chief Technology Officer,FiscalNote,"Temporarily Remote in Washington, DC 20004",,"Coach and mentor a team of engineers, data scientists, product managers, designers and professional services experts to lead their strategic areas successfully."
14,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,"Washington, DC",,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams."
15,SharePoint Developer / Designer,"NAG, Inc","Washington, DC+1 location",,"NAG leverages the latest real-time sharing technology to increase speed, access, accuracy and the overall management of data allowing for better decisions to…"
16,"Graphic Designer, Mid",Booz Allen Hamilton,"Washington, DC+1 location",,"Knowledge of the DoD and the intelligence community (IC).Use current graphic design technology and computer software packages to produce advertisements, sales…"
17,User Experience Designer,Deloitte,"Washington, DC",,"As a User Experience Designer in Deloitte's Strategy & Analytics Hybrid Solutions & Incubation (HS&I) practice, you will play a critical role in designing the…"
18,.Net Developer,Veterans Enterprise Technology Solutions,"Washington, DC 20001 (Shaw area)",,"Application development is a team environment that includes the user community, the database administrators, the web designers, and the systems/network…"
19,Information Security Analyst,The Heritage Foundation,"Washington, DC 20002 (Capitol Hill area)",,"Supervises day-to-date IT log review and event management, adapting to relevant threat intelligence and escalating material issues through established protocols…"
20,SharePoint Designer,Markon Solutions,"Washington, DC 20001 (Shaw area)",,Markon Solutions is seeking a SharePoint Designer to support one of our Intelligence Community customers.This individual will assist senior government clients…
21,S&T Laboratory Planner,CannonDesign,"Washington, DC",,"Provide guidance and advice to other designers and project leaders.Translate planning concepts into comprehensible terms for clients, designers and project…"
22,BI Operations Developer Consultant,Guidehouse,"Remote in Washington, DC 20036+1 location",,3-5 years as a BI Developer.Experience using SAP Business Objects Enterprise and SAP Business Objects Developer Tools including Data Federation Administration…
23,Applications Developer,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",,"Applications Developers analyze, develop and deploy information/software systems to enhance CIA’s capabilities to collect, produce, and disseminate intelligence…"
24,Instructional Designer,"RiverTech, LLC","Washington, DC",,"5 years or more of experience on a team of instructional designers, graphic artists, and programmers in a client-focused consulting environment • Experience in…"
25,Knowledge Manager,Illuminate Mission Solutions,"Washington, DC 20340 (Anacostia Naval Station - Boiling Air Force Base area)",,Illuminate seeks an a highly-qualified candidate to join our engineering team in support of a DIA program providing the full range of international systems IT…
26,Proposal Manager,Technuf,"Washington, DC",,"Managing assigned proposal resources, such as proposal analysts, graphic designers, technical contributors, etc.Exceptional skills in Microsoft Word."
27,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,"Washington, DC",,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams."
28,Regional Counsel - Southeast,Gensler,"Washington, DC 20006 (Downtown area)",,Strong emotional intelligence and relationship building skills.The Southeast Regional Counsel is part of Gensler’s Legal Studio.
29,"Client Partner - Media, Communications, and Technology",3Pillar Global,"Remote in Washington, DC",,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects."
30,Instructional Designer,"RiverTech, LLC","Washington, DC",,"5 years or more of experience on a team of instructional designers, graphic artists, and programmers in a client-focused consulting environment • Experience in…"
31,Audio & Video Producer - TS/SCI with Polygraph Required,Logistics Management Institute,"Washington, DC",,"Collaborating with production teammates (animators, graphic designers, audio engineers, web developers, and other producers) to incorporate multimedia elements…"
32,"Senior Client Partner, Healthcare & Life Sciences",3Pillar Global,"Washington, DC",,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects."
33,S&T Laboratory Planner,CannonDesign,"Washington, DC",,"Provide guidance and advice to other designers and project leaders.Translate planning concepts into comprehensible terms for clients, designers and project…"
34,SharePoint Developer / Designer,"NAG, Inc","Washington, DC+1 location",,"NAG leverages the latest real-time sharing technology to increase speed, access, accuracy and the overall management of data allowing for better decisions to…"
35,Lead Audio Visual Engineer,SAIC,"Washington, DC 20005 (Downtown area)",,"Clearance Level Must Be Able to Obtain: Public Trust.The Lead A/V Engineer is responsible for providing the day-to-day management of the audio/video equipment,…"
36,Knowledge Manager,Illuminate Mission Solutions,"Washington, DC 20340 (Anacostia Naval Station - Boiling Air Force Base area)",,Illuminate seeks an a highly-qualified candidate to join our engineering team in support of a DIA program providing the full range of international systems IT…
37,Graphic Designer,Constellis,"Washington, DC",,"As a leading global provider of risk management, security, humanitarian, training and operational support services to government and commercial customers…"
38,Applications Developer,US Central Intelligence Agency,"Washington, DC",,"Utilizing your education and experience as a Computer Scientist, Software Engineer, or Web Designer and Publisher, you will directly support analysis,…"
39,Media Supervisor,Weber Shandwick,"Washington, DC 20005 (Downtown area)",,"Senior Manager, Paid Planning & Buying (Media Supervisor equivalent).The Media Supervisor would be responsible for overseeing and executing day-to-day digital…"
40,"newManager, UX (Remote)",ICF,"Remote in Washington, DC 20006",,"In addition to leading a project part of the time, the Senior Manager will coordinate 3-5 additional UX/UI designers who work across multiple projects."
41,Proposal Manager,Technuf,"Washington, DC",,"Managing assigned proposal resources, such as proposal analysts, graphic designers, technical contributors, etc.Exceptional skills in Microsoft Word."
42,Dept of Treasury - Salesforce Solutions Architect,"Silotech Group, Inc","Remote in Washington, DC",,"We provide Federal Government and Commercial clients with customized, agile technical solutions focused on data, enterprise platforms, service engagement, and…"
43,Sr. Data Scientist – Sr. Consultant,Guidehouse,"Remote in Washington, DC 20036",,"The Developer will be responsible for managing the complete software development process from conception to deployment, translating designer mock-ups and…"
44,Developer / Designer,"NAG, Inc","Washington, DC",,"Currently, NAG is searching for a full-time Developer / Designer to work in a team environment as a developer/designer building out-of-the-box solutions /…"
45,newPeopleSoft HCM Developer,Peraton,"Remote in Washington, DC 20006",,The candidate will directly interface with our customer providing PeopleSoft development support for their customized Oracle PeopleSoft Enterprise HCM version 9…
46,Business Analyst – Design Labs,Gensler,"Washington, DC 20006 (Downtown area)",,"Candidates should be self-starters, quick learners and have an entrepreneurial spirit.The position requires a creative thinker who enjoys mapping out project…"
47,SHAREPOINT DEVELOPER / ARCHITECT,Procentrix,"Washington, DC",,"Design and develop content management, records management, workflows, business intelligence type of solutions using the SharePoint 2013 platform."
48,Real World Evidence Consultant,Deloitte,"Washington, DC",,"Experience with agile business intelligence / analytics tools such as Tableau, Qlik, Spotfire, R Shiny.The ConvergeHEALTH Miner™ suite helps life science…"
49,Mid-Level Collection Management/Instructional Designer,BRS,"Washington, DC",,Ability to apply all-source intelligence analysis to collection requirements or collection operations.Professional knowledge of a wide range of all-source…
50,Dept of Treasury - Salesforce Solutions Architect,"Silotech Group, Inc","Remote in Washington, DC",,"We provide Federal Government and Commercial clients with customized, agile technical solutions focused on data, enterprise platforms, service engagement, and…"
51,Senior/Lead Data Scientist,Salesforce,"Washington, DC",,"Own the delivery by working with data engineers and business intelligence engineers to turn insights into data products (e.g. data pipelines, algorithms, self…"
52,UI Developer,Leidos,"Washington, DC 20090 (South West area)",,"The UI Developer will work closely with UX Designers, Business Analysts, engineers, developers, and data scientists to learn from the users and produce low-high…"
53,Regional Account Manager- DC,Planar Systems,"Washington, DC",,"Contribute to pricing decisions by providing market intelligence, competitive information, and other market, customer, and partner feedback."
54,"Sr. Manager, Insights - Customer Success Operations",Salesforce,"Washington, DC",,3-yrs experience as a Tableau designer.Oversee the prioritization and delivery of business intelligence solutions to meet the demands of the Customer Success…
55,newPrincipal-Software Engineer,AT&T,"Washington, DC",,Knowledge of enterprise security/threat intelligence/threat detection.Work with UX engineers and graphics designers to create and implement web user interface…
56,Graphic Designer - TS/SCI with Polygraph Required,Logistics Management Institute,"Washington, DC",,"Portfolio often (10) or more samples that demonstrate graphic design expertise showcasing the designer's skills, knowledge, and competencies in design for…"
57,newSharePoint Administrator (Mid-Level),SAIC,"Temporarily Remote in Washington, DC 20006",,"Clearance Level Must Be Able to Obtain: Secret.Occasional offhour, weekend and holiday support may be required during scheduled and un-scheduled events."
58,"Senior Client Partner, Healthcare & Life Sciences",3Pillar Global,"Washington, DC",,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects."
59,UI/UX Developer II,Ironclad Technnology Services,"Washington, DC",,"The UI/UX Developer will work closely with UX Designers, Business Analysts, engineers, developers, and data scientists to learn from the users and produce low…"
60,BI Operations Developer Consultant,Guidehouse,"Remote in Washington, DC 20036+1 location",,"Guidehouse is a leading global provider of consulting services to the public sector and commercial markets, with broad capabilities in management, technology,…"
61,Senior/Lead Data Scientist,Salesforce,"Washington, DC",,"Own the delivery by working with data engineers and business intelligence engineers to turn insights into data products (e.g. data pipelines, algorithms, self…"
62,SharePoint Developer,Planet Technologies,"Washington, DC",,"Planet has significant experience in deploying business intelligence, cloud services, unified communications, and systems management with an emphasis building,…"
63,Machine Learning Engineer,FiscalNote,"Temporarily Remote in Washington, DC 20004",,"FiscalNote is the premier information services company focused on global policy and market intelligence.You’ll work closely with our researchers, designers,…"
64,Senior Data Science Software Engineer,FullStory,"Remote in Washington, DC",,"Founded in 2014 on the belief that everyone benefits from a more perfect digital experience, FullStory's digital experience intelligence (DXI) platform empowers…"
65,Electrical Engineer,"M.C. Dean, Inc.","Washington, DC 20018 (Langdon area)",,"The incumbent has at least zero to two (2) years of experience working as a designer or working in some aspect of engineering, construction, or commission and…"
66,newPeopleSoft HCM Developer,Peraton,"Remote in Washington, DC 20006",,"Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local…"
67,Data Scientist: AI,Change Healthcare,"Remote in Washington, DC",,We’re looking for data scientists with a passion for artificial intelligence to help drive a new generation of data and machine learning enabled services and…
68,Graphic Designer - TS/SCI with Polygraph Required,Logistics Management Institute,"Washington, DC",,"Our clients value our specialized services in logistics, intelligence, homeland security, health care, and energy and environment markets."
69,Data Science Team Lead - Secret Clearance Required,Deloitte,"Washington, DC",,"The team lead will also be the main liaison between the data science team and the rest of the system product team (developers, designers, testers, business…"
70,"Insight-Led Strategy Manager, Media & Audience",Deloitte,"Washington, DC+2 locations",,Experience analyzing CX data and working with CX platforms to fuel business intelligence; attrition propensity modeling is a plus.Open to travel as needed.
71,Interactive Designer,US Central Intelligence Agency,"Washington, DC",,"As an Interactive Designer, you will create a wide variety of products that convey intelligence analysis to the President of the United States, U.S.…"
72,Sr. Data Engineer – Sr. Consultant,Guidehouse,"Washington, DC 20036 (Dupont Circle area)+1 location",,"Guidehouse is a leading global provider of consulting services to the public sector and commercial markets, with broad capabilities in management, technology,…"
73,Digital Products - Product Manager,PRICE WATERHOUSE COOPERS,"Remote in Washington, DC+2 locations",,"Managing/coaching small multidisciplinary product teams and collaborating with designers, business users, and developers to innovate and drive product…"
74,UI/UX Developer II,Ironclad Technnology Services,"Washington, DC",,"We’re hiring a UI/UX Developer in Reston, VA to support development of mission critical applications involving AI/ML capabilities for intelligence mission."
75,Knowledge Manager,Markon Solutions,"Washington, DC 20001 (Shaw area)",,"Support designers, engineers, project managers and facilities personnel with existing documents, data and drawings for project design."
76,Senior Data Analytics Consultant,Guidehouse,"Washington, DC 20036 (Dupont Circle area)",,Experience creating interactive data visualizations that leverage designer defined parameters that allow end users to manipulate and change dashboard values.
77,Senior Product Manager,Morning Consult,"Washington, DC 20005 (Downtown area)",,Morning Consult is looking for a Senior Product Manager to join our fast-growing team overseeing the growth of our B2B Data Intelligence products spanning…
78,newSr. Principal FPGA/ASIC Design Engineer,Raytheon Missiles & Defense,"Washington, DC 20011 (Catholic University-Brookland area)",,"Designers work with circuit card designers and systems engineers to develop requirements, architect new parts, collaborative modeling of algorithms, partition…"
79,Application Architect Manager,Deloitte,"Washington, DC",,Our work is critical to support leadership strategic decision-making and enable excellent client service and growth of our Audit and Assurance practice.
80,Senior SharePoint Engineer,True Tandem,"Washington, DC+1 location",,Design and develop SharePoint websites using SharePoint designer or web UI developing tools;Customer is currently on 2016 and starting the migration for…
81,Regional Account Manager- DC,Planar Systems,"Washington, DC",,"Contribute to pricing decisions by providing market intelligence, competitive information, and other market, customer, and partner feedback."
82,Pursuit Manager-Government & Public Services,Deloitte,"Washington, DC",,"Provide oversight and guidance to assigned Pursuit COE team members - designers (graphics + formatting), writers/editors, and compliance/quality reviewers."
83,UI/UX Design Lead,Deloitte,"Washington, DC",,"Provides clear feedback to other designers, recognizing different talents and areas of growth.Our team is a diverse array of business strategists, operations…"
84,Technical Architect - Salesforce,IBM,"Washington, DC 20001 (Swampoodle area)",,"To think along with clients and sell.In this capacity, this person is expected to provide various options to meet the clients state requirements that blends…"
85,Azure Cloud Architect- Senior Manager,PRICE WATERHOUSE COOPERS,"Remote in Washington, DC",,Collaborating with analysts and designers in the development and establishment of new cloud programs and applications;
86,Application Developer - Salesforce,IBM,"Washington, DC 20001 (Swampoodle area)",,The Salesforce Integration Developer is responsible for designing and implementing critical data integration solutions within the Force.com platform.
87,Senior Technical Product Manager Call Center Technologies,SiriusXM,"Washington, DC 20001 (Shaw area)",,"The right candidate would be technically strong with data, analytics, business intelligence and cognitive technologies, along with an understanding of software…"
88,Junior Graphics Developer/ Designer - JCS J2,Prescient Edge Federal,"Washington, DC 20032 (Anacostia area)",,Ensures the format and aesthetic presentation of intelligence products and pages conform to J2’s design standards and branding guidelines.
89,"Senior Client Partner, Retail",3Pillar Global,"Washington, DC",,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects."
90,Mid Graphics Developer/ Designer - JCS J2,Prescient Edge Federal,"Washington, DC 20032 (Anacostia area)+1 location",,Ensures the format and aesthetic presentation of intelligence products and pages conform to J2’s design standards and branding guidelines.
91,SharePoint Web Developer,G2 Global Solutions,"Remote in Washington, DC 20001",,"LOCATION: Telework with onsite customer meetings monthly.G2 Global Solutions, LLC. is seeking an experienced SharePoint Web Developer to support a program with…"
92,Lead Software Engineer (Incubator) - Remote,New Relic,"Remote in Washington, DC 20001",,"High level of emotional intelligence with collaboration and listening skills that encourage customer-focus, diverse perspectives, and creative solutions."
93,"IBM Quantum Product Manager (Ykt Heights, NY or remote)",IBM,"Remote in Washington, DC 20001",,"Collaborate and coordinate with designers, developers, researchers and product managers.IBM Quantum is an industry first initiative to build universal quantum…"
94,Digital Products - Associate Product Manager,PRICE WATERHOUSE COOPERS,"Remote in Washington, DC+2 locations",,"Actively contributing on multidisciplinary product teams and collaborating with designers, business users, and developers to innovate and drive product…"
95,CI&E Product Manager - Manager,PRICE WATERHOUSE COOPERS,"Remote in Washington, DC",,"Collaborating with small multidisciplinary product teams and collaborating with designers, business users and developers to innovate and drive product…"
96,Senior Client Partner - Financial Services,3Pillar Global,"Remote in Washington, DC",,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects."
97,Business Intelligence Engineer,Recruiting From Scratch,"Remote in Washington, DC 20057",,"As a business intelligence engineer you will help design, source and build foundational data sets to power deep product analytics, experimentation, and business…"
98,Senior Instructional Designer,Greenleaf Integrative,"Washington, DC 20004 (Downtown area)",,"Skilled listener with high levels of emotional intelligence to understand the needs of stakeholders and adapt messages for greater impact, support, and…"
99,Business Intelligence Developer,Arlluk Technology Solutions,"Washington, DC",,"Arullk Technology Solutions, a Koinag Government Services company, is seeking an experienced Business Intelligence Developer with a Public Trust Clearance to…"
100,Part-Time/Freelance Junior Designer/Production Assistant,Foundation for Defense of Democracies,"Washington, DC 20036 (Downtown area)",,"FDD conducts actionable research, prepared by experts and scholars from a variety of backgrounds - including government, intelligence, military, private sector,…"
101,Service Designer,Rebellion Defense,"Remote in Washington, DC",,"The Senior Service Design role will be based out of our Washington, D.C. office and will work on Rebellion's intelligence or autonomy product lines."
102,Applications Developer (Business Intelligence),"Changing Technologies, Inc.","Washington, DC 20002 (Truxton Circle area)",,"Senior Application Developer with professional experience in the design, development, delivery and enhancement of Client-Server/Web-Based/Cloud-Based software…"
103,Software Engineer II - Enterprise,Indeed,"Remote in Washington, DC 20006",,"Collaborate with designers, product managers, subject matter experts, and other engineers across Indeed.Build a distributed, scalable employer jobs platform in…"
104,Data Warehouse and Business Intelligence Architect,Strut Learning,"Temporarily Remote in Washington, DC 20036",,"The Data Warehouse and BI Architect will be working in an Agile SCRUM team along with other team members including UX designers, developers, Product Managers…"
105,Applications Developer (Business Intelligence),Carson Solutions LLC,"Washington, DC 20002 (Truxton Circle area)",,"Extensive experience in the Microsoft Power Platform – MS PowerApps, MS Flow and PowerBI.Experience in the analysis, design, development, testing and…"
106,Enterprise Software Developer,Information Unlimited Inc,"Washington, DC 20001 (Mount Vernon Square area)",,"Software Engineer responsibilities include gathering user requirements, defining system functionality and writing code in various languages, like Java, Ruby on…"
107,SharePoint Developer,IT Concepts,"Washington, DC",,"The SharePoint Developer will be responsible for the creating, implementing, and maintenance of SharePoint team sites, SharePoint collaboration sites, Microsoft…"
108,Frontend Software Engineer - Hiring Insights - Enterprise,Indeed,"Remote in Washington, DC 20006",,This will include re-platforming the user experience; building interactive data visualizations; and implementing customer-facing webapp features.
109,SharePoint Developer,"Clear Resolution Consulting, LLC","Washington, DC",,Employment is contingent upon successful completion of a security background investigation and polygraph.Current DoD security clearance required.
110,SharePoint and Microsoft Power Platform Developer,SBG Technology Solutions,"Remote in Washington, DC",,"The SharePoint and Microsoft Power Platform Developer will support the Veterans Health Administration, Office of Healthcare Transformation."
111,Practice Innovation Analyst,Crowell & Moring,"Washington, DC 20004 (Penn Quarter area)",,"Familiarity with legal technology concepts such as document assembly, robotic process automation, artificial intelligence, machine learning, and predictive…"
112,Transportation Systems Engineer,IBI Group,"Washington, DC 20005 (Downtown area)",,"Proactively support public agency clients in the planning, design, procurement and implementation of technology systems utilized by transit agencies and DOTs…"
113,"Product Manager, Analytics and AI",Sorcero,"Remote in Washington, DC",,"You will partner closely with designers, engineers, our external partners, and other stakeholders to develop a deep understanding of our market and our…"
114,Senior Interior Designer,A Prentice Ray & Associates LLC,"Washington, DC 20001 (Shaw area)",,The Sr. Interior Design requires a degree in Interior Design or related discipline from an accredited institution and.
115,Sr. Technical Writer,Eagle Harbor Solutions,"Washington, DC 20547 (South West area)",,"Study security product samples and communicate with security requirements designers and developers.Eagle Harbor Solutions, a Koniag Government Services company…"
116,National Federal Proposal Manager,DLR Group,"Remote in Washington, DC 20004",,"Inspire a multi-disciplinary pursuit team (designers, project managers, client leaders, and creative services) to leverage business development intelligence,…"
117,Senior PeopleSoft Developer,Eagle Harbor Solutions,"Washington, DC 20024 (Southwest Waterfront area)",,"This is a direct, full-time position with our company, working at our customer’s site in Washington DC.Must possess a Secret clearance to qualify for this…"
118,Technical Recruiter,Cloudbeds,"Remote in Washington, DC 20001",,"Collaborate with engineering recruiting teams to share competitive intelligence, prospective candidate leads, and placement of multiple technical roles."
119,Senior Product Designer (REMOTE),Optimity Advisors,"Remote in Washington, DC 20006",,"Mentor and provide feedback to other designers, with a focus on delivering high quality solutions.Our ideal candidate understands how people think, operate,…"
120,newSenior Digital Product Designer,"Contact Government Services, LLC","Washington, DC 20005 (Logan Circle area)",,"We are looking for a candidate who is a great team player and feels comfortable working with designers, developers, data analysts and product managers to create…"
121,newSenior Graphic Designer - TS/SCI,"Essential Network Solutions, LLC","Washington, DC 20032 (Anacostia area)",,"*FREE* Health, Dental, and Vision Insurance with premiums fully paid for by ENS.Short Term Disability and Long Term Disability.Job Types: Full-time, Contract."
