,title,company,location,salary,summary
0,Conversational AI Designer,Uniphore,"Bengaluru, Karnataka",,"Analyze transcripts of user interactions and document their personas and language in order to create grammars and interaction models (intents, utterances, slots…"
1,UX Interaction Designer,Algonomy,"Remote in Bengaluru, Karnataka",,"Collaborate with a team of designers, researchers, engineers, and product managers.Algonomy is made up of multi-disciplinary teams of UX designers, front and…"
2,Designer 2,Microsoft,"Bengaluru, Karnataka",,"Experience working on a multi-disciplinary team of designers, PMs, and developers.As a designer on our team, you’ll be responsible for delivering design and…"
3,System Designer,Philips,"Hybrid remote in Bengaluru, Karnataka",,"Supporting definition and execution of our roadmap in relation to clinical applications, Windows and Cloud based platforms, serviceability, remote interaction…"
4,newAssociate Product Designer,Gainsight,"Bengaluru, Karnataka",,Gainsight is looking for passionate product designers with 3+ years of interaction design experience.Your role will include both interaction and visual design.
5,Staff UX Interaction Designer,GE Digital,"Bengaluru, Karnataka",,"Responsible for the creation of useful and desirable software product and service experiences for physical-digital technology programs such as inspection, deep…"
6,Product Designer,cloudsek,"Remote in Bengaluru, Karnataka",,"Ability to innovate and develop out-of-the-box solutions to complex user interaction problems.XVigil - Our SaaS-based product XVigil, helps clients assess…"
7,Website Designer,Tekion,"Bengaluru, Karnataka",,"Identify and create micro interactions/transitions/gestures for each product for website you're designing.Create wireframes, storyboards, user flows, process…"
8,Visual Designer,IBM,"Bengaluru, Karnataka",,Work closely with user experience designers to create stunning visual designs.You will be responsible for bringing wireframes and interaction designs alive…
9,newUrgent Hiring For Social Media Marketing Specialist-Bengalur...,Gnani.ai,"Bengaluru, Karnataka",,"*Work with copywriters and designers to ensure content is informative and appealing*.*Collects customer data and analyses interactions and visits, plus uses…"
10,DX/UX Researcher,Intel,"Bengaluru, Karnataka",,"The candidate will also collaborate closely with internal and external teams of UX designers, solution architects, and product owners to establish conceptual…"
11,UX Researcher,BeingUser,"Bengaluru, Karnataka",,"Pursuit of relevant college degree (branches of experimental psychology, human computer interaction, human factors, or related field)."
12,UX Designer II,Microsoft,"Bengaluru, Karnataka",,"You’ll work in a focused team collaborating with fellow designer, content designers, interaction designers, visual and motion designers, qualitative researchers…"
13,Head of UI/UX Design,Wells Fargo,"Bengaluru, Karnataka",,"Directly managing a team of interaction designers, visual designers, content strategists/editors, UX researchers and design delivery producers."
14,Senior Designer,Microsoft,"Bengaluru, Karnataka",,"Fluent in current interaction design tools (Figma, Adobe CC, etc.).In this role, you’ll design experiences for customer support agents, their managers, and…"
15,Senior Product Designer,Gainsight,"Bengaluru, Karnataka",,Gainsight is looking for passionate product designers with 3+ years of interaction design experience.Your role will include both interaction and visual design.
16,User Experience Designer (Bengaluru / Hyderabad / Chennai /...,Tiger Analytics,"Remote in Bengaluru, Karnataka",,"Collaborate and review designs with other designers to ensure a consistent, integrated brand perception for better user experience."
17,PAS WFA Learning- Graphic Designer,EY GDS,"Bengaluru, Karnataka",,The individual should be prepared to work in a dynamic and flexible environment and changing requirements with frequent client interactions.
18,Social Media Lead,AIMLEAP - Outsource Bigdata,"Remote in Bengaluru, Karnataka",,"A demonstrated ability to engage developers, designers, and entrepreneurs is a plus.While ensuring real-time interaction with mentions, news, and social media…"
19,Ethernet Technology Solutions Engineer,Intel,"Hybrid remote in Bengaluru, Karnataka",,BS with 10 to 14 years of experience or MS with 8 to 12 years of experience in Computer Science Electrical Engineering or related field - 3 years of team growth…
20,UX Designer,Drishti,"Bengaluru, Karnataka",,Drishti is a leading computer vision (AI) company that uses video analytics to provide business insights.You are expected to develop an understanding of the…
21,Product Manager,Khoros,"Bengaluru, Karnataka",,"Proven ability to engage with engineers, designers, and company leaders in a constructive and collaborative relationship."
22,Client Technology - Experience Designer,EY,"Bengaluru, Karnataka",,"Guides the design of new digital user experiences and improvements to existing digital experiences, leading project results and serving as the key day-to-day…"
23,Senior System Designer - IGT Systems,Philips,"Bengaluru, Karnataka",,Support definition and execution of our roadmap in relation to serviceability and remote interaction and data gathering.
24,newUX-UI developer,IBM,"Bengaluru, Karnataka",,"Work closely with user experience designers to create stunning UI designs.Experience in solving complex user problems through user interface design, creating…"
25,Visual Designer,Synctactic AI,"JP Nagar, Bengaluru, Karnataka",,"Experience collaborating with multidisciplinary UX and/or product teams (motion, interaction, UX research, engineering, content strategy) on technical…"
26,Product Designer,sybill,"Remote in Bengaluru, Karnataka",,"You will be handling interaction design and be collaborating with a cross-functional team of engineers, data scientists, product managers, and salespeople to…"
27,Social Media Executive,Gnani Innovations,"Bengaluru, Karnataka",,"Work with copywriters and designers to ensure content is informative and appealing.Collects customer data and analyses interactions and visits, plus uses this…"
28,Test Analyst,Cardinal Health,"Bengaluru, Karnataka",,Ability working within a customer organization leveraging strong interpersonal skills to enable interaction with and gathering requirements from various…
29,newCN - Strategy - MC - Comms & Media - Non Networks - 09,Accenture,"Bengaluru, Karnataka",,"Knowledge of Telco BSS/OSS stack, its various components, and interactions / flows.Practice: Comms & Media, Industry Consulting, Capability Network I Areas of…"
30,Lead Product Designer,MoEngage Inc,"Temporarily Remote in Bengaluru, Karnataka",,"A designer who can understand the needs of the customer and translate them into actionable design.Has a bachelors or masters degree in design, human-computer…"
31,Senior UI Designer,Carrier,"Bengaluru, Karnataka",,Create overall concepts for the user experience within a mobile app and webpage ensuring all interactions are intuitive and easy for customers.
32,Software Developer Trainee - Node.js,Enterprise Bot,"Bengaluru, Karnataka",,"Liaise with developers, designers, and system administrators to identify new features.Participate in the entire application lifecycle, focusing on coding and…"
33,Team Lead/Consultant-Data Science,Accenture,"Bengaluru, Karnataka",,"Your primary upward interactions are with your direct supervisor.Years of Experience: 7-11 years.You will be required to utilize the existing frameworks,…"
34,User Experience Developer 3-ProdDev,Oracle,"Bengaluru, Karnataka",,"May develop user profiles, with emphasis on human error control, display issues, visual interaction, physical manipulation and task and objective analyses."
35,Design Lead - Samya.ai,Fractal.ai,"Bengaluru, Karnataka",,May have started their career in research & strategy or in interaction/information design but have graduated to leading projects end-to-end for the last 2-3…
36,UX design Lead,IBM,"Bengaluru, Karnataka",,Experienced UX designer to work on IBM Storage offerings.Portfolio of previous work must be presented incorporating UI designs and/or sketches that demonstrate…
37,UI/UX Designers,Fractal.ai,"Bengaluru, Karnataka",,"Work closely with business consultants, data engineers and designers to conceptualize intuitive, delightful, pixel-perfect interfaces and visual design…"
38,Lead UX Designer,cloudsek,"Remote in Bengaluru, Karnataka",,Familiarity with interaction design and information architecture.Work with UI designers to implement attractive designs.Conducting user research and testing.
39,SDE IV - UI,Glance,"Bengaluru, Karnataka",,"You will own the front-end development for one or more of our products and collaborate with visual/interaction designers, other engineers, and product managers…"
40,DigitalBCG | Platinion Engineer,Boston Consulting Group,"Bengaluru, Karnataka",,"Leadership potential to transform the consulting industry in particular around interaction with designers, architects and product owners."
41,ASIC Design Specialist/Lead (Wireless R&D),Qcom,"Bengaluru, Karnataka",,"Lead a team of RTL designers, DV engineers to define and execute complex subsystems.Cross-site and Cross-functional interaction with teams is needed on a daily…"
42,BFS_APAC_Europe | Senior UX Designer,Accolite Software India,"Bengaluru, Karnataka",,UX Research & Analysis - User Segmentation and Profiling - Persona Creation - User Interviews - Focus Group - Heuristic Evaluation - Usability Analysis - User…
43,Product Manager,Entropik Tech,"Bengaluru, Karnataka",,"You will report to the Chief Product Officer and will work closely with the User Experience designer, stakeholders from the Insights Team and a variety of…"
44,User Researcher,IBM,"Bengaluru, Karnataka",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
45,Director of Product Design,MoEngage Inc,"Temporarily Remote in Bengaluru, Karnataka",,"Drive UX reviews and feedback sessions with UX designers and guide them with structure, process and solutions.You will be reporting to the SVP of Product."
46,Sr UI Developer,Cliksource,"Remote in Bengaluru, Karnataka",,"Expertise as UI designer (5 years +).Experience in mentoring UI developers/designers (2 years +).Proficiency in visual design, micro-interaction, and…"
47,Senior Staff Engineer - Validation,Infineon Technologies,"Bengaluru, Karnataka",,"Work with Application & Concept Engineers, IP designers, Verification, Validation and Software teams to collect requirements on validation, prepare the…"
48,UX Manager,Zycus,"Bengaluru, Karnataka","₹30,00,000 - ₹40,00,000 a year","Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
49,Senior Product Designer,MoEngage Inc,"Temporarily Remote in Bengaluru, Karnataka",,"A designer who can understand the needs of the customer and translate them into the actionable design.Has a bachelors or masters degree in design, human…"
50,Product Design Lead,Zycus,"Bengaluru, Karnataka","₹30,00,000 - ₹40,00,000 a year","Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
51,Senior UI Designer,Zycus,"Bengaluru, Karnataka","₹20,00,000 - ₹30,00,000 a year","Will manage the interaction designers and visual designers in the team.3-8 years of relevant experience as a Interaction/ UX designer, information architect,…"
52,Senior Engineer -CPU System IP Verification,Arm,"Bengaluru, Karnataka",,"Being a part of our team, you will push Arm CPUs and system IP components to their functional limits – targeting the IP’s internal microarchitecture, as well as…"
53,Web Developer,Entropik Tech,"Bengaluru, Karnataka",,"Cooperate with web designers, agencies to match visual design intent and code quality.Write well designed, testable, efficient code by using best software…"
54,Senior UI/UX Designer,Product,"Bengaluru, Karnataka",,Wadhwani Venture Fastrack: Maximizes success rates of early-stage startups with enhanced business traction and funding opportunities.
55,Senior Android SDK/ Middleware Developer (SDE3),Digit88 Technologies,"Bengaluru, Karnataka",,"You'll be empowered to provide user design feedback for UX designers and collaborate closely with designers, QA, and product managers."
56,Sr UX Product Designer,Cliksource,"Remote in Bengaluru, Karnataka",,"Expertise as UI designer (5 years +).Experience in mentoring UI developers/designers (2 years +).Proficiency in visual design, micro-interaction, and…"
57,Senior Manager UI Designer,Zycus,"Bengaluru, Karnataka","₹20,00,000 - ₹30,00,000 a year","Will manage the interaction designers and visual designers in the team.3-8 years of relevant experience as a Interaction/ UX designer, information architect,…"
58,Product Manager,Entropik Tech,"Bengaluru, Karnataka",,"You will report to the Chief Product Officer and will work closely with the User Experience designer, stakeholders from the Insights Team and a variety of…"
59,User Researcher,IBM,"Bengaluru, Karnataka",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
60,Director of Product Design,MoEngage Inc,"Temporarily Remote in Bengaluru, Karnataka",,"Drive UX reviews and feedback sessions with UX designers and guide them with structure, process and solutions.You will be reporting to the SVP of Product."
61,Sr UI Developer,Cliksource,"Remote in Bengaluru, Karnataka",,"Expertise as UI designer (5 years +).Experience in mentoring UI developers/designers (2 years +).Proficiency in visual design, micro-interaction, and…"
