,title,company,location,salary,summary
0,Experience Designer - Conversation Design,Bank of America,"Boston, MA 02110 (Downtown area)",,"Experience influencing the full customer journey, balancing grace and passion in your daily interactions with teammates, partners and senior leaders."
1,newUX Designer,Geologics Corporation,"Remote in Bedford, MA 01730",,"The ability to communicate design concepts through mock ups, interaction flows and prototypes.The UX Designer is expected to work within a team of fellow…"
2,Sr. UX Designer,Amazon.com Services LLC,"Boston, MA",,"5+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
3,"Senior UX Designer - AI Platform, SageMaker Design Team","Amazon Dev Center U.S., Inc.","Boston, MA",,"7+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
4,Sr. UX Designer – AI Platform,Schneider Electric,"Andover, MA 01810",,"Industry experience as a user experience designer, interaction designer, information architect, or similar design-related role."
5,Senior Experience Designer,EPAM Systems,"Boston, MA",,"Organize work with other experience designers as appropriate and provide mentorship.Collaborate with cross-functional design teams on process, interaction…"
6,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"Boston, MA 02116 (Back Bay area)",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
7,Sr. UX Deisgner,Retail Business Services,"Quincy, MA 02169",,"Passion designing for solutions involving emerging technologies, which may include software apps, AR/VR, IoT, robotics, 3D printing, voice interaction, AI/ML…"
8,"Senior Product Designer, AI/Product Platform",HubSpot,"Remote in Cambridge, MA 02141",,We give each designer the responsibility and ownership to chart the course for their designs throughout the product and across teams.
9,Data Visualization Designer,MORSE Corp,"Cambridge, MA 02139 (Cambridgeport area)",,"As a Data Visualization Designer you will lead design efforts for novel, cutting edge mobile, web, and software applications in ML/AI, big data, aerospace, and…"
10,UX Designer Lead,Neural Magic,"Somerville, MA",,"Deliver, review and critique the UX Designs of a multi-skilled design team to ensure effective and rich designs (great interaction, visual expression,…"
11,Experience Designer - Conversation Design,Bank of America,"Boston, MA 02110 (Downtown area)",,"Experience influencing the full customer journey, balancing grace and passion in your daily interactions with teammates, partners and senior leaders."
12,newUX Designer,Geologics Corporation,"Remote in Bedford, MA 01730",,"The ability to communicate design concepts through mock ups, interaction flows and prototypes.The UX Designer is expected to work within a team of fellow…"
13,Sr. UX Designer,Amazon.com Services LLC,"Boston, MA",,"5+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
14,"Senior UX Designer - AI Platform, SageMaker Design Team","Amazon Dev Center U.S., Inc.","Boston, MA",,"7+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
15,Sr. UX Designer – AI Platform,Schneider Electric,"Andover, MA 01810",,"Industry experience as a user experience designer, interaction designer, information architect, or similar design-related role."
16,Senior Experience Designer,EPAM Systems,"Boston, MA",,"Organize work with other experience designers as appropriate and provide mentorship.Collaborate with cross-functional design teams on process, interaction…"
17,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"Boston, MA 02116 (Back Bay area)",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
18,Sr. UX Deisgner,Retail Business Services,"Quincy, MA 02169",,"Passion designing for solutions involving emerging technologies, which may include software apps, AR/VR, IoT, robotics, 3D printing, voice interaction, AI/ML…"
19,"Senior Product Designer, AI/Product Platform",HubSpot,"Remote in Cambridge, MA 02141",,We give each designer the responsibility and ownership to chart the course for their designs throughout the product and across teams.
20,Data Visualization Designer,MORSE Corp,"Cambridge, MA 02139 (Cambridgeport area)",,"As a Data Visualization Designer you will lead design efforts for novel, cutting edge mobile, web, and software applications in ML/AI, big data, aerospace, and…"
21,UX Designer Lead,Neural Magic,"Somerville, MA",,"Deliver, review and critique the UX Designs of a multi-skilled design team to ensure effective and rich designs (great interaction, visual expression,…"
