,title,company,location,salary,summary
0,"Associate, Digital Product Designer",KPMG,"Los Angeles, CA 90071 (Downtown area)",,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
1,"Principal Designer, UX",Ancestry,"Los Angeles, CA",,"10+ years of industry experience as a UX designer, interaction designer, or similar design-related role.Collaborate with other designers to maintain design…"
2,Video Game: UI/UX Designer,Carbonated Games,"Los Angeles, CA",,Work closely with designers to ensure consistent visual language.2+ years working as a UI artist in a mobile gaming or interaction design field.
3,Staff Product Designer,"Faraday Future, Inc.","Gardena, CA+2 locations",,"10+ years of industry experience designing digital products/software as a product designer, user experience designer, interaction designer, information…"
4,Senior UX Designer,Xperi,"Calabasas, CA 91302",,Senior designers generally have 7+ years experience and are expected to solve more complex problems.We want candidates with significant user-interaction design…
5,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
6,Senior Product Designer & UX Architect for Revolutionary AI...,Syrinx,"Temporarily Remote in Altadena, CA 91001",,"Passion for modern UX methodologies, UI design and interaction patterns.Lead, coach, and mentor other designers on our team.6-month contract-to-hire."
7,"Principal Designer, UX",Ancestry,"Los Angeles, CA",,"10+ years of industry experience as a UX designer, interaction designer, or similar design-related role.Collaborate with other designers to maintain design…"
8,"Associate, Digital Product Designer",KPMG,"Los Angeles, CA 90071 (Downtown area)",,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
9,Video Game: UI/UX Designer,Carbonated Games,"Los Angeles, CA",,Work closely with designers to ensure consistent visual language.2+ years working as a UI artist in a mobile gaming or interaction design field.
10,Staff Product Designer,"Faraday Future, Inc.","Gardena, CA+2 locations",,"10+ years of industry experience designing digital products/software as a product designer, user experience designer, interaction designer, information…"
11,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
12,Senior UX Designer,Xperi,"Calabasas, CA 91302",,Senior designers generally have 7+ years experience and are expected to solve more complex problems.We want candidates with significant user-interaction design…
13,Senior Product Designer & UX Architect for Revolutionary AI...,Syrinx,"Temporarily Remote in Altadena, CA 91001",,"Passion for modern UX methodologies, UI design and interaction patterns.Lead, coach, and mentor other designers on our team.6-month contract-to-hire."
