,title,company,location,salary,summary
0,Conversation (AI) Designer - Fjord,Accenture,London,,Interest and point of view on human-computer interaction/the field of conversation design and its potential.Or may have re-designed a call centre virtual agent…
1,Junior Product Designer - QuantumBlack Labs,McKinsey & Company,London,,"Graduate degree in design, human computer interaction, or a related field.... work alongside senior designers to create products and experiences that shape and…"
2,Crypto-asset Analytical Framework Designer,Moody's,Remote in London,,Analytical Tools and Solutions (ATS) is responsible for the quantitative models and analytical tools used in the rating process and across MIS.
3,newConversational UX Designer,"JPMorgan Chase Bank, N.A.",London,,"Experience partnering with other designers, product managers, and engineers throughout a project lifecycle.A background in interaction design for products or…"
4,Junior UX Researcher,Sentieo,Remote in London,,"Work with designers, product managers, and engineers to determine research objectives.Our Design & Insights team drives the experience vision to make Sentieo…"
5,newfrog - Senior Transformation Service Designer,Capgemini Invent,London,,You will develop trusted client relationships and lead activities and client interactions related to your practice area.Design new services from scratch.
6,Lead Product Designer UX/UI,CogX,Hybrid remote in London W1B,"£90,000 - £120,000 a year","Create impactful designs that capture and promote our company vision.Support the Product, Design, Event and Marketing team."
7,frog - Senior Motion Designer,Capgemini Invent,London,,You will develop trusted client relationships and lead activities and client interactions related to your practice area.
8,newfrog - Service Designer (Public Sector),Capgemini Invent,London,,Strong knowledge of interaction design principles and experience in creating design systems documentation particularly as applied to web-based and mobile…
9,UI Visual Designer,Capgemini,Hybrid remote in London,,"As a user cenetred design advocate, you will deliver value for our clients and the business and have a strong portfolio and track record to demonstrate this."
10,Crypto-asset Analytical Framework Designer,ZM Financial Systems,Remote in London,,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others."
11,"Senior Research Scientist, Reinforcement Learning",Spotify,Remote in London,,"You will work in collaboration with other scientists, engineers, product managers, designers, user researchers, and analysts across Spotify to design creative…"
12,frog - Senior Service Designer,Capgemini Invent,London,,Comfort working closely with product designers and technologists.You will develop trusted client relationships and lead activities and client interactions…
13,Deal Solution Designer,EY,London SE1,,"Coach detailed designers and business analysts (etc) during their design work.As an EY Global Managed Services – Deal solution designer (DSD), you directly…"
14,Senior Technical UX Designer (UX Engineer) - QuantumBlack La...,McKinsey & Company,London,,"These tools draw on the latest insights from our client work and research & development efforts, and deliver solutions as part of delightful experiences."
15,Creative Technologist / Digital Designer,PLAYGROUND XYZ,London,,Read through briefs placed on our Kanban board by our sales team or producer.Juggling competing deadlines and be cognitive and assertive with prioritisation…
16,Software Engineering Manager,Marks & Spencer,London,,"You will be championing Engineering excellence for one of the key strategic areas for M&S, which drives Personalisation and Growth across all our Digital…"
17,frog - Senior Product Designer,Capgemini Invent,London,,You will develop trusted client relationships and lead activities and client interactions related to your practice area.A focus on process and proof.
18,Product Designer,YOOX NET-A-PORTER GROUP,London,,"Executing visual and interaction design across YNAP product alongside the Product Design Team.Clear understanding in usability, information architecture and…"
