,title,company,location,salary,summary
0,Lead Product Designer - Medical Guidance,Buoy Health,"Remote in New York, NY+1 location",,"6–8+ years of experience in product design, user experience design, interaction design, and/or visual design across platforms on shipped consumer experiences,…"
1,"Associate, Digital Product Designer",KPMG,"New York, NY",,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
2,Product User Experience Designer,NANOTRONICS IMAGING INC,"Brooklyn, NY 11205 (Fort Green area)",,Mastery of human-computer interaction principles.Use customer insights from customer interactions and internal customer facing teams to help inform business…
3,"UX Designer, AWS AI - New York, Seattle, Bay Area",Amazon.com Services LLC,"New York, NY+1 location",,"3+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
4,UI/UX Designer,Accrete.AI,"New York, NY",,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
5,Senior Product Designer (Remote Available),Kaia Health Software GmbH,"Remote in New York, NY",,"You have an impressive portfolio showcasing both conceptual interaction design work as well as a clear understanding of typography, simplicity and visual design…"
6,"Manager, Product Experience Design",MasterCard,"Purchase, NY 10577",,"Empathetic champion of the user – passionate about the detail of great usability, interaction design and aesthetics to give the best possible UX."
7,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"New York, NY",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
8,newProduct Designer,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)",,"Design product features, workflows and interactions.Our AI-powered digital banking platform helps financial institutions such as HSBC and Popular Bank automate…"
9,UI Designer,WONGDOODY,"Remote in New York, NY+1 location",,"Design and communicate effectively through design patterns, micro interactions, and prototypes.Bachelor's Degree or above in communication, interaction,…"
10,Product Designer,Yext,"New York, NY 10010 (NoMad area)",,2+ years of professional experience as a product or UX designer for SaaS interfaces.Openness to collaboration and receiving feedback from other product…
11,VUI Designer/ UX,CapB InfoteK,"Remote in New York, NY",,Have a command of the conversational/omni channel interaction design.For our growing needs we need consultants who can work with us on salaried or contract…
12,Lead Product Designer,Materialize,"New York, NY",,"Experience with fit-and-finish interaction design: clickables, animations, etc.In addition to designing the end-to-end experience of the product, the lead…"
13,Senior Product Designer - Growth,Momentive,"Remote in New York, NY",,"Degree in user experience design, interaction design, graphic design, human factors engineering, or related fields."
14,UI/UX Designer,Accrete,"New York, NY",,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
15,Sr. UX Designer,TA Digital,"New York, NY",,"Lead communication and collaboration between product interaction designers, visual designers, content strategists, and copywriters to ensure alignment of UX…"
16,"Associate, Digital Product Designer",KPMG,"New York, NY",,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
17,Product User Experience Designer,NANOTRONICS IMAGING INC,"Brooklyn, NY 11205 (Fort Green area)",,Mastery of human-computer interaction principles.Use customer insights from customer interactions and internal customer facing teams to help inform business…
18,"UX Designer, AWS AI - New York, Seattle, Bay Area",Amazon.com Services LLC,"New York, NY+1 location",,"3+ years of experience as a user experience designer, product designer, interaction designer, or similar role."
19,UI/UX Designer,Accrete.AI,"New York, NY",,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
20,Senior Product Designer (Remote Available),Kaia Health Software GmbH,"Remote in New York, NY",,"You have an impressive portfolio showcasing both conceptual interaction design work as well as a clear understanding of typography, simplicity and visual design…"
21,"Manager, Product Experience Design",MasterCard,"Purchase, NY 10577",,"Empathetic champion of the user – passionate about the detail of great usability, interaction design and aesthetics to give the best possible UX."
22,"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,"New York, NY",,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
23,newProduct Designer,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)",,"Design product features, workflows and interactions.Our AI-powered digital banking platform helps financial institutions such as HSBC and Popular Bank automate…"
24,UI Designer,WONGDOODY,"Remote in New York, NY+1 location",,"Design and communicate effectively through design patterns, micro interactions, and prototypes.Bachelor's Degree or above in communication, interaction,…"
25,Product Designer,Yext,"New York, NY 10010 (NoMad area)",,2+ years of professional experience as a product or UX designer for SaaS interfaces.Openness to collaboration and receiving feedback from other product…
26,VUI Designer/ UX,CapB InfoteK,"Remote in New York, NY",,Have a command of the conversational/omni channel interaction design.For our growing needs we need consultants who can work with us on salaried or contract…
27,Lead Product Designer,Materialize,"New York, NY",,"Experience with fit-and-finish interaction design: clickables, animations, etc.In addition to designing the end-to-end experience of the product, the lead…"
28,Senior Product Designer - Growth,Momentive,"Remote in New York, NY",,"Degree in user experience design, interaction design, graphic design, human factors engineering, or related fields."
29,UI/UX Designer,Accrete,"New York, NY",,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
30,Sr. UX Designer,TA Digital,"New York, NY",,"Lead communication and collaboration between product interaction designers, visual designers, content strategists, and copywriters to ensure alignment of UX…"
