,title,company,location,salary,summary
0,Designer 2,Microsoft,"Bellevue, WA+2 locations",,"You will partner with AI product PM and engineering teams to research, design, and implement these capabilities.Design, HCI degree or equivalent experience."
1,UX/UI Designer,MAQ Software,"Redmond, WA 98052",,"Solve all sorts of design challenges with creativity, efficiency, and precision; a full stack designer (interaction, usability, graphic design, HTML, CSS, Power…"
2,Product Designer 2,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Partner closely with designers, user researchers, and other disciplines to ensure proposed interactions and goals are on target."
3,"AI/ML - User Experience Designer, Annotation Operations",Apple,"Seattle, WA",,"5+ years experience as a designer defining user interfaces for commercial web, mobile or desktop software products."
4,Senior Product Designer,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Inspire and mentor other designers and researchers.Ability to quickly produce elegant and easily understood diagrams, wireframes, concept maps, prototypes,…"
5,UX Designer — Voice of the Customer Heartbeat,Amazon.com Services LLC,"Seattle, WA+6 locations",,"4+ years experience as a user experience designer, interaction designer, or similar role.A designer who can create elegant interfaces and visualize data."
6,"Sr. VUI Designer, Alexa Skills Kit, Alexa Content, Experienc...",Amazon.com Services LLC,"Seattle, WA",,6+ years professional experience as an VUI designer / user experience designer; experience in human computer interaction related to voice interfaces.
7,Senior User Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,"Collaborate closely with product teams, Microsoft designers, PMs, engineers, and business developers to plan, execute, measure and report findings and insights…"
8,"UX Research Scientist, Audio",Oculus,"Redmond, WA",,4+ years of experience in conducting UX-focused research on consumer technology hardware and software interactions in an industry setting.
9,"Multimodal Designer, Alexa Personalization",Amazon.com Services LLC,"Seattle, WA",,3+ years professional experience as an interaction designer / user experience designer; experience in human computer interaction.
10,Principal UX Engineer,PointClickCare,"Remote in Seattle, WA",,"Collaborate with other advanced technology applied researchers, designers, product managers, engineers and others to develop experiences, share learning, and…"
11,Senior User Researcher - Analytics,Salesforce,"Seattle, WA",,"Work on fast-paced projects, requiring attention to detail, working within constrained timelines, and strong collaboration with cross-functional teams (UX…"
12,Designer 2 - Microsoft Digital Studio,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Ability to quickly produce elegant and easily understood diagrams, wireframes, concept maps, prototypes, interaction guidelines and other related artifacts with…"
13,"Senior UX Designer, Consumer Electronics Retail",Amazon.com Services LLC,"Seattle, WA",,"7+ years of professional work experience as a user experience designer, interaction designer, information architect, or similar UX-related role, on enterprise…"
14,Senior User Researcher - Analytics,Tableau,"Seattle, WA",,"Work on fast-paced projects, requiring attention to detail, working within constrained timelines, and strong collaboration with cross-functional teams (UX…"
15,"Head of Design and Research, Alexa Developer Experiences and...",Amazon.com Services LLC,"Seattle, WA+1 location",,"Experience leading in a collaborative multi-disciplinary team alongside other senior leaders, designers, product managers and software developers."
16,Designer 2 - Microsoft Digital Studio,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Ability to quickly produce elegant and easily understood diagrams, wireframes, concept maps, prototypes, interaction guidelines and other related artifacts with…"
17,"AI/ML Conversation Designer, Siri Experience",Apple,"Seattle, WA",,"The Siri Conversational Interaction design team is seeking a highly experienced interaction designer to develop new Siri behaviors and features, and to improve…"
18,"AI/ML - User Experience Designer, Annotation Operations",Apple,"Seattle, WA",,"5+ years experience as a designer defining user interfaces for commercial web, mobile or desktop software products."
19,"Sr. VUI Designer, Alexa Skills Kit, Alexa Content, Experienc...",Amazon.com Services LLC,"Seattle, WA",,6+ years professional experience as an VUI designer / user experience designer; experience in human computer interaction related to voice interfaces.
20,UX Designer — Voice of the Customer Heartbeat,Amazon.com Services LLC,"Seattle, WA+6 locations",,"4+ years experience as a user experience designer, interaction designer, or similar role.A designer who can create elegant interfaces and visualize data."
21,"Multimodal Designer, Alexa Personalization",Amazon.com Services LLC,"Seattle, WA",,3+ years professional experience as an interaction designer / user experience designer; experience in human computer interaction.
22,Senior User Researcher - Analytics,Tableau,"Seattle, WA",,"Work on fast-paced projects, requiring attention to detail, working within constrained timelines, and strong collaboration with cross-functional teams (UX…"
23,Senior Product Designer,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Inspire and mentor other designers and researchers.Ability to quickly produce elegant and easily understood diagrams, wireframes, concept maps, prototypes,…"
24,Senior User Researcher - Analytics,Salesforce,"Seattle, WA",,"Work on fast-paced projects, requiring attention to detail, working within constrained timelines, and strong collaboration with cross-functional teams (UX…"
25,UX/UI Designer,MAQ Software,"Redmond, WA 98052",,"Solve all sorts of design challenges with creativity, efficiency, and precision; a full stack designer (interaction, usability, graphic design, HTML, CSS, Power…"
26,Senior User Researcher,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,"Collaborate closely with product teams, Microsoft designers, PMs, engineers, and business developers to plan, execute, measure and report findings and insights…"
27,"UX Research Scientist, Audio",Oculus,"Redmond, WA",,4+ years of experience in conducting UX-focused research on consumer technology hardware and software interactions in an industry setting.
28,"Senior UX Designer, Consumer Electronics Retail",Amazon.com Services LLC,"Seattle, WA",,"7+ years of professional work experience as a user experience designer, interaction designer, information architect, or similar UX-related role, on enterprise…"
29,Principal UX Engineer,PointClickCare,"Remote in Seattle, WA",,"Collaborate with other advanced technology applied researchers, designers, product managers, engineers and others to develop experiences, share learning, and…"
30,"Head of Design and Research, Alexa Developer Experiences and...",Amazon.com Services LLC,"Seattle, WA+1 location",,"Experience leading in a collaborative multi-disciplinary team alongside other senior leaders, designers, product managers and software developers."
31,Designer 2 - Microsoft Digital Studio,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Ability to quickly produce elegant and easily understood diagrams, wireframes, concept maps, prototypes, interaction guidelines and other related artifacts with…"
