,title,company,location,salary,summary
0,Senior Product Designer,Microsoft,北京市,,products for markets around the world... UX Designer you will play a critical role... product...
1,最新PA Designer,Ericsson,北京市,,Responsible for Ericsson RBS product PA(Power Amplifier) design... level Support production when...
2,"Product Designer, Growth",Duolingo,北京市,,us as a ProductDesigner in our... our products. Work collaboratively with other designers to develop...
3,Creative Designer - McKinsey Academy,McKinsey & Company,北京市,,shared to product and content... product experience highly preferred Experience mentoring designer...
4,最新Sr. Vehicle Designer,Tesla,北京市,,experience in production automotive design... combination of advanced and production design...
5,最新Industrial Designer,Tesla,北京市,,make our products happen. Tesla... non-conventional automotive product development philosophy of high...
6,Product designer-Studio 8,Microsoft,北京市,,"motivated, and innovative ProductDesigner in our Beijing studio... other designers and product..."
7,Innovative Social Product Designer,Byte Dance,北京市,,"industry Products, regularly summarize and analyze the design trends of industry products. What we..."
8,Product Designer-Live Internationalization-Beijing,Byte Dance,北京市,,"related operations and product UX design 2. Yes Full-link... overseas products, good..."
9,Product Designer-Live International Chemical-Revenue,Byte Dance,北京市,,"current product has a good... Possess the ability to Good product thinking, strong user insight..."
10,Douyin Product Designer - Creation,Byte Dance,北京市,,"key projects 2. Work... design team and product team to conceive, control the needs from..."
11,Douyin Product Designer -Social,Byte Dance,北京市,,related product... support... product social functions 2. Conceive and create with product...
12,Principle Product Designer - Ads & Personalisation (Multiple...,Grab,北京市,,"UX designers, researchers, visual designers, product managers... relevant ad products across our..."
13,Product Owner - China Academy,McKinsey & Company,北京市,,instructional designer to produce... product features based on competitive analysis in terms of product...
14,Douyin Product Designer -Search Directions,Byte Dance,北京市,,"Douyin's search product business... experience of Douyin search products Qualifications 1, 3 years..."
15,33672-Video Product Visual Designer,Tencent Holdings Limited,北京市,,required for product operation... insights for video product... guide product design forward...
16,Douyin Product Designer- Music,Byte Dance,北京市,,"independent products or complex... product experience, Experience in social, video and music product..."
17,最新Interaction Designer - Happiness,Byte Dance,北京市,,experience... product 2. Optimize the product requirements... use... product 3. Analyze...
18,31677-Advanced Product Experience Designer,Tencent Holdings Limited,北京市,,"1. Responsible for Tencent Product experience design work... service To B products, study user..."
19,Product Motion Designer,Byte Dance,北京市,,"design for products 2. Have... product 3. Participate... analyze product data, user..."
20,Graphic Designer,Tesla,北京市,,Graphic Designer in Tesla... Work cross-functionally with designers of other disciplines Work...
21,Douyin Product Designer -Creator Services,Byte Dance,北京市,,"products and cutting-edge design expressions, and jointly promote product experience and product..."
22,Fragrance Product Designer/Evaluator,Procter & Gamble,北京市,,career as a Fragrance productdesigner/evaluator who develops... Fragrance ProductDesigner...
23,Short Video Product Designer - TikTok,Byte Dance,北京市,,"product discussions in advance, and build a complete product design plan 3. Sort out the product..."
24,Product Designer - Search Business,Byte Dance,北京市,,"industry Products, regularly summarize and analyze the design trends of industry products. What we..."
25,Volcano Engine - Product Designer -AI/AR/VR,Byte Dance,北京市,,"product... design innovation, and provide customers and users with complete innovative product..."
26,UX Designer,Zuora,北京市,,product experiences across the globe. We are looking... passionate and innovative designer who...
27,VR Product Experience Designer - Pico,Byte Dance,北京市,,up all stages... product from... software product design 2. Experienced as a full-link designer...
28,Douyin Product Designer - E-commerce search direction,Byte Dance,北京市,,"Douyin e-commerce search product business, from a design... able to manage product experience..."
29,Designer Operations Intern,Byte Dance,北京市,,productdesigner... home... retention of designers 3. Handle the basic work of designer...
30,Douyin Product Designer - Account Direction,Byte Dance,北京市,,"complete product design plan... analyzing product design trends, actively launching product..."
31,最新Mechanical Structure Designer,Ericsson,北京市,,"Baseband products, including... mass production. Cooperate... global Ericsson R&D designer..."
32,UX Designer II_ Data Cloud studio,Microsoft,北京市,,"product. Demonstrate ability to work confidently with Program Management, Development, Product..."
33,Platform Product Designer- Internationalization,Byte Dance,北京市,,"output product design... PaaS/tool product design, experience in desktop product design 2..."
34,Platform Product Designer - Douyin,Byte Dance,北京市,,"team, love product experience... external products, good product thinking and logic, clear product..."
35,Short Video Product Designer- Ecommerce Growth,Byte Dance,北京市,,"product design of Douyin product... trend of product design, actively initiate product exploration..."
36,Senior Product Designer- Live,Byte Dance,北京市,,"all product... byte series... perspective and product thinking, can participate in product pre..."
37,Visual Designer,Byte Dance,北京市,,"requirements of product operation... business department... design, production and control..."
38,Platform Product Designer - Life Service-Beijing,Byte Dance,北京市,,"product texture, Output product... SaaS / tool product design experience, and desktop product design..."
39,Douyin Product Designer -Open Platform,Byte Dance,北京市,,Douyin open platform related products: 1. Based on Douyin ecology... general product solutions...
40,UX Experience Designer- Xiaohe Health,Byte Dance,北京市,,mobile Internet platform product design 2. Have the ability... Have a certain product thinking...
41,R6K Senior Software Designer,Ericsson,北京市,,"maintain Ericsson Transport 5G products (units, nodes, networks... design, and product documentation..."
42,Concept Designer-Pico,Byte Dance,北京市,,innovative products 4. Create... designers to Continuously improve the quality of product...
43,VR/AR Designer,Byte Dance,北京市,,"Enabling product innovation... product innovation, good aesthetics and product awareness."
44,Sound Designer -Pico,Byte Dance,北京市,,"1. Work closely with product managers, designers and engineers... Follow the productized execution..."
45,Ingredients Lead/Senior Designer,Canva,北京市,,"building the best product, team... both our inhouse designers and our users. Our Production Team..."
46,Product Designer 2 - Studio8,Microsoft Corporation,北京市,,"products for markets around the world... Designer 2, you will play a critical role... product..."
47,"Lead Designer, PD, Hardlines, GC","Disney Parks, Experiences and Products",北京市,,Disney China Product Development... relevant design area as a productdesigner; preferably...
48,最新UX Designer (Beijing ) - Strong Education,Byte Dance,北京市,,product together... product... successful TO B products and educational product design experience...
49,Intern - Content Planning (Designer),Byte Dance,北京市,,"execution, product operation... Toutiao, Douyin and other products, proficient in word, excel..."
50,最新VR Live Interaction Designer -Pico,Byte Dance,北京市,,products or stage art direction are preferred 3. Those with relevant experience in social product...
51,Graphic & Motion Designer,Canva,北京市,,"key to building the best product, team and company. We look... Visual Designer creating..."
52,Volcano Engine - Product Designer -Data Intelligence & Middl...,Byte Dance,北京市,,2. Work with product and account... solutions for product experience 3. Sort out the product logic...
53,Senior Platform Product Designer -Open Platform,Byte Dance,北京市,,"improve product texture... tool product design, and experience in desktop product design..."
54,UI Designer,Byte Dance,北京市,,"product demand formulation optimize existing design specifications, online product... form..."
55,Designer,Byte Dance,北京市,,design and production of product videos and promotional animations... animation production of H5...
56,Game Interaction Designer- There is love-day and night light...,Byte Dance,北京市,,interaction design of game product... carry out the prototype... mature product thinking...
57,Advisory Industrial Designer/高级工业设计师,Lenovo,北京市,,"technology product... wide... insights, you will develop products and experiences using an..."
58,Volcano Engine - Product Designer -Cloud Products,Byte Dance,北京市,,solutions for product experience... user products to incubate and explore more new products work...
59,24548-IP Licensed Apparel Associate Designer,Tencent Holdings Limited,北京市,,"clothing and other product categories, support the IP application design... product development..."
60,Interaction Designer-Pico,Byte Dance,北京市,,"smooth product experience 2. Pay attention to product data, continue to iterate product function..."
61,31677-Travel Service Interaction Designer,Tencent Holdings Limited,北京市,,"businesses, according to product requirements Develop interactive... improve product experience 3..."
62,Human-Computer Interaction Designer -Pico,Byte Dance,北京市,,2. Cooperate with product routes... above... mature works or products 2. For industry or related...
63,Multimedia Creative Designer - International Change,Byte Dance,北京市,,"Responsible for product animation... user experience, understand products and interaction principles..."
64,Content Designer-Beijing,Byte Dance,北京市,,"navigate our products, including work on: onboarding, feature naming, promos, product tours, error..."
65,Prototype Designer - Feishu Manpower Suite,Byte Dance,北京市,,process of product design... quickly optimize existing products. Qualifications 1. Familiar...
66,Interaction Designer (International change) - vigorous educa...,Byte Dance,北京市,,"product experience 3. Pay attention to product data, actively discover user needs and product..."
67,UX Designer - Fly Book Office Suite,Byte Dance,北京市,,product managers and product... product experience 3. Highly sensitive to changes in product data...
68,Douyin Marketing Interaction Designer,Byte Dance,北京市,,"attention to product data, track... keen on innovative research on product experience 4. Timely review..."
69,International Special Effects Designer - 3D Direction (Beiji...,Byte Dance,北京市,,"visual designers, development and product business parties... high-end production... certain..."
70,最新Senior UX Designer- Feishu,Byte Dance,北京市,,software products (including Web... experience 2... product owner and product manager conceive...
71,Douyin Interaction Designer- Marketing,Byte Dance,北京市,,"accurate understanding of product requirements, and output... judgment on product goals."
72,Senior UX Designer - Fei Book Human Kit,Byte Dance,北京市,,experience 2... product owner and product manager conceive... high-quality product experience 3...
73,Senior UI Designer,Byte Dance,北京市,,"create ideas together with product interaction, and flexibly... data of design product function..."
74,"Senior Product Designer, Growth",Duolingo,北京市,,us as a ProductDesigner in our... our products. Work collaboratively with other designers to develop...
75,Creative Designer - Internationalization,Byte Dance,北京市,,"community products 2. Participate in product design iterations... overseas products, have an..."
76,Creative Designer - Feishu,Byte Dance,北京市,,optimize the product operation... discuss product core points with market and product related...
77,"Junior UX designer,",Luxoft,北京市,,"looking for UX Designers to join... includes other UX experts, designers, software developers..."
78,International 3D Video Designer,Byte Dance,北京市,,growth of ByteDance's products. We help products formulate tailor... products and other core product...
79,Marketing 3D Designer,Byte Dance,北京市,,"products. We help products specify tailor-made growth plans, and use various marketing, product..."
80,Visual Designer (B end direction) - vigorous education,Byte Dance,北京市,,"large-scale marketing activities, product operation of intelligent... brand thinking, product thinking..."
81,Peripheral Visual Designer - Shake Audio & Culture Creation,Byte Dance,北京市,,production of daily Internet cultural and creative products 2... familiar with productproduction...
82,Wood Designer - Living Little Help,Byte Dance,北京市,,"designer on customer wood product... designer working experience, experience in woodworking product..."
83,"Learning Experience Designer, Amazon Ads",Amazon (China) Holding Company,北京市,,"advertising products and business... global stakeholders across product, sales and marketing teams..."
84,UX Designer - International E-Commerce (Shanghai),Byte Dance,北京市,,Work with product managers to conceive ideas and provide an overall high-quality product experience...
85,Principal Product Manager Leader,Microsoft,北京市,,expediate product evolution... years product strategy experience is preferred • 5+ years product...
86,最新Radio ASIC Systemization Designer,Ericsson India Global Services Private Limited,北京市,,"support and product documentation... BSS, OSS etc.) Product development knowledge and Product Lifecycle..."
87,Motion Designer- Pico,Byte Dance,北京市,,"product experience 4. Closely communicate and collaborate with designers, product managers..."
88,UX Designer - Corporate Application,Byte Dance,北京市,,"online product... form... products can be combined with background data, competitive product..."
89,Senior Visual Designer,Byte Dance,北京市,,visual design of short video product... design of external... visual landing... product...
90,"Senior UX Designer - Guangzhou, China",Salesforce,北京市,,seek to make products people love... each product is a team of passionate UX designers and engineers...
