,title,company,location,salary,summary
0,Web Designer,Saviom Software,"Bengaluru, Karnataka",,Hands-on design and development experience of product based websites.2 - 4 years of agency experience in designing and building product based websites.
1,Product Designer,Growth Bird,"Bengaluru, Karnataka",,"1+ years of design experience in a product company/design agency.Collaborate with the research, product, business, and engineering team to build scalable and…"
2,newProduct Designer,GSK,"Bengaluru, Karnataka",,Co-ordinating user research activities within the R&D customer base of this product area.Working closely with other Product Designers and the Product Owner and…
3,newProduct Designer,PayPal,"Bengaluru, Karnataka",,Our Product Designers influence teams to make customer-centric decisions across the product development lifecycle.
4,newUX Designer,Philips,"Bengaluru, Karnataka",,Explore and articulate options for service propositions beyond product propositions based on knowledge of customer context and product/service business…
5,Product Designer,RamSoft,"Remote in Bengaluru, Karnataka",,Create natural user experiences for all products and platforms.Ensure that industry best practices in product design are followed and continuously improved.
6,"Product Manager, Google Workspace Insights and Reporting",Google,"Bengaluru, Karnataka",,"Experience creating product roadmaps, building/shipping technical products, and working with cross-functional teams.Ability to make data-driven decisions."
7,Product Designer I,SmartShift Logistics Solutions,"Bengaluru, Karnataka",,Analogous charter with similar product line to spot demand but focused on driver-partnerinitiatives…End-to-end ownership of all platform products which ensure…
8,newUI Designer,Project Tinker,"Bengaluru, Karnataka",,Have a strong meme game.Have a sound understanding of Adobe Creative Suite and Figma.Think you can redesign every app on your phone better.
9,Product Designer III,Flipkart,"Bengaluru, Karnataka",,4 to 6 years of experience in product design or user experience design for mobile and/or desktop form factors.
10,newProduct Designer,Trinkerr Learning Technologies,"Bengaluru, Karnataka",,"Preferably at a growth stage consumer product startup.Work in agile product development (with co-founders, Product owners, Managers, Developers) to define…"
11,Graphics Designer (Remote),The Better India,"Remote in Bengaluru, Karnataka",,Collaborate with the brand team and understand the briefs given through research and discussion about the client’s objectives to produce designs for various…
12,newProduct Designer,Joveo,"Remote in Bengaluru, Karnataka",,Coming up with visual identities for various products.Owning the design for one of our flagship products.Redesigning our products through enhancing usability…
