,title,company,location,salary,summary
0,"Product Designer, Retailer (Remote)",Drizly,"Remote in Boston, MA+2 locations",,You are a data-driven product designer who is passionate about improving customer acquisition through iterative design efficiencies while driving business…
1,UX Designer,Deloitte,"Boston, MA 02116 (Back Bay area)+5 locations",,"UX Lead to support front-end design of modernized screens for ACCESS website.Will work as part of cross-functional team of studio/UX, visual design, copy…"
2,PRODUCT DESIGNER,DraftKings,"Remote in Boston, MA+1 location",,"3+ years of experience in an individual contributor role, on a Product Design team designing apps; you have helped ship products before is required."
3,UX Researcher (Remote),Drizly,"Remote in Boston, MA",,Share and measure findings from the research with the immediate product design team as well as the greater squad groups here.401(K) Plan with Employer Match.
4,Product Designer (UX),Primacy,"Boston, MA",,"You have a portfolio demonstrating the exceptional product / customer experiences you’ve created.… at high and low fidelity, leveraging and influencing design…"
5,Product Designer - Hardware & Digital UI,SharkNinja,"Needham, MA",,"As a Product Designer, you will lead User Interface development activities from concept to prototyping and product implementation for both physical and digital…"
6,Product Designer,MIT,"Cambridge, MA 02139 (MIT area)",,"REQUIRED: bachelor’s degree in design, fine arts, or related field; at least three years’ digital product design experience; proficiency with user interface…"
7,Senior Product Designer,Drift,"Remote in Boston, MA 02116",,Contribute new controls or design improvements to our design system (Tide) to help ensure consistency across products.
8,UX Designer,Anthem,"Remote in Hingham, MA",,"Works with senior designers to produce style guidelines defining our products visual identity.The UX Designer is responsible for working with other designers,…"
9,User Experience Designer,Morgan Stanley,"Boston, MA",,"You have experience working closely with product managers to ship complex products.Like all our designers, you'll own the experience of the product areas you…"
10,Product Designer II,Stavvy,"Boston, MA",,"In this Product Designer II role you’ll be an integral part of the product department, responsible for collaborating with engineering and product to bring…"
11,UX Designer,"W.B. Mason Company, Inc","Boston, MA 02210 (South Boston area)",,"Lead cross-functional design reviews with marketing, product management and development.Maintain a holistic view of the product and drive toward a simple and…"
12,"newSenior Graphic Designer, Product Creation & Experience - Eur...",Vista,"Remote in Waltham, MA 02451",,"Concept and design of brand identities, on-trend personal stationery and consumer goods.Drive excellence in quality, design, typography and brand consistency."
13,Product Designer,Voicify,"Boston, MA 02110 (Downtown area)",,"Collaborate closely with product owners, engineers and user research to create a vision for your product area.5+ years of experience in a similar role."
14,Senior Product Designer,NewStore,"Remote in Boston, MA",,"Identify future product opportunities and contribute to the product growth.Experience designing digital products and systems, not just websites."
15,UX Product Designer,Pegasystems,"Cambridge, MA 02142 (Kendall Square area)",,Gartner Analyst acclaimed technology leadership across our categories of products.Facilitate a collaborative design process with the Pega Product Experience…
16,UX/UI Designer (Remote),Brafton,"Remote in Boston, MA 02109",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
