,title,company,location,salary,summary
0,UX Designer,Deloitte,"Chicago, IL 60606 (The Loop area)+5 locations",,"UX Lead to support front-end design of modernized screens for ACCESS website.Will work as part of cross-functional team of studio/UX, visual design, copy…"
1,newLead Product Designer,DocuSign,"Remote in Chicago, IL",,"Define the product direction, own the design, execution, and measure ongoing improvements against short and long-term goals on multiple products or services."
2,Product Designer,dogstudio,"Chicago, IL",,"You will think, design, imagine, and most probably drink local beers while laying down on a lion's pelt."
3,Junior Product Designer - Hybrid,Syngenta,"Chicago, IL",,"You’ll be working within a cross-functional product squad to assist design within one or more product areas – from discovery, definition, development through to…"
4,Product Designer,Square,"Remote in Chicago, IL 60647",,This problem area is important to our ability to meet the evolving needs of our omni-channel sellers and is dependent on user-centered product designers—that's…
5,Product Designer,CCC,"Chicago, IL",,"Goto Market skills are a plus - including defining sales plays, product packaging, value props, and product positioning."
6,Product Designer,Mode,"Remote in Chicago, IL",,"You're excited about the prospect of working with other designers, product managers and engineers.Collaborate across a small product team to drive solutions…"
7,Lead Product Designer,Bain & Company,"Chicago, IL",,"As a lead product designer, you will play a critical role in the development and deployment of products that transform how Bain consulting is delivered."
8,UI/UX Designer,Red Foundry,"Chicago, IL",,Gather and evaluate user requirements in collaboration with product managers and engineers.Develop UI mockups and prototypes that clearly illustrate how the…
9,"Product Design Engineer, Pixel",Google,"Chicago, IL (West Town area)",,Experience shipping multiple consumer products.3 years of experience in consumer product design.Experience with multiple manufacturing methods used in…
10,UX Designer,ArtVersion,"Remote in Chicago, IL",,"Participate in activities from project research, planning to execution.Work on campaign communication design and visual storytelling."
11,User Experience Designer III,Expedia Group,"Chicago, IL 60661 (Near West Side area)+1 location",,"You'll work with cross functional agile teams including product managers, business analysts, UX designers, researchers, and developers to produce effective…"
12,All levels - product architecture + design,AIA Chicago,"Chicago, IL 60601 (The Loop area)",,"We need someone who can lead a small project team, a full time summer intern, and someone just graduating from college.Comfort in meeting with clients."
13,Product Designer,Capital Markets Gateway,"Remote in Chicago, IL",,Elevate the product experience through outstanding displays of visual and interaction design.You will have the opportunity to help shape the processes that…
14,Staff Product Designer - Tock,Squarespace,"Remote in Chicago, IL",,"Experience designing products seen and used by millions of people.Demonstrated ability to collaborate with researchers, engineers, and product stakeholders."
15,UX Designer,Motorola Solutions,"Chicago, IL",,Want to design products that actually matter?Collaborate closely with product owners/managers/researchers to find opportunities for new products/features and…
16,UX/UI Designer (Remote),Brafton,"Remote in Chicago, IL 60661",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
17,"newSnr UX Researcher, Customer Experience",PayPal,"Chicago, IL 60654 (Loop area)",,Your insights and understanding of customer needs and pain points during negative moments will inform how we improve existing products and think differently…
18,UX Designer,Anthem,"Chicago, IL 60601 (Loop area)+2 locations",,Works with senior designers and product team to produce style guidelines defining our products visual identity.Worked in an Agile (Scrum) product environment.
19,UI / UX Designer,Morgan Stanley,"Chicago, IL",,Partner with product managers and engineers to translate designs into successful products.3-5 years of experience as a UX designer as a key contributor to the…
20,"Associate, UX Designer",KPMG,"Chicago, IL 60601 (The Loop area)",,"Strong understanding of user experience design related deliverables such as information architecture, prototyping, workflow ideation and pixel design…"
21,"newAssociate, Digital Product Designer",KPMG,"Chicago, IL 60601 (The Loop area)",,"Assess and design products in line with usability standards and heuristic best practices, as dictated by the need.No phone calls or agencies please."
22,Product Designer,"Grubhub Holdings, Inc.","Chicago, IL 60602 (The Loop area)+1 location",,"A passion for sharing design strategies with fellow designers, product managers, and engineers to deliver a better, more user-centered products."
23,UX/CX Designer,Accenture,"Chicago, IL",,Present research findings and design concepts to designers and product partners.Minimum of 3 years of experience developing digital products.
24,Product Designer (Remote),Shop Smart,"Remote in Chicago, IL",,"Experience with creating design solutions for Ecommerce, Affiliate Marketing, and Marketplace product lines.Work with engineering and product teams to continue…"
25,UX Product Designer,KBX,"Lisle, IL 60532",,Participate in design reviews for the product teams.Be a collaborative member of fast-paced digital design product teams.What You Will Do In Your Role.
26,Product Designer,Practice Fusion,"Chicago, IL",,"Our team of talented product designers and user researchers is integral to achieving that mission.We work closely with the product, technology, marketing and…"
27,UX DESIGNER,InspiHER Tech,"Hybrid remote in Chicago, IL",,"4+ years of experience as a UX designer conducting usability tests, creating wireframes, storyboards, sitemaps, screen flows and report design patterns and…"
