,title,company,location,salary,summary
0,newProduct Designer,Pluto TV,"Los Angeles, CA 90069+1 location",,"Assist product designers and project managers by creating clickable prototypes, flow diagrams, user journeys, and articulate clear annotations to developers."
1,Product Designer (HYBRID),"Munchkin, Inc.","Hybrid remote in Los Angeles, CA 91406+1 location",,Prepare product turnover package and collaborates with our overseas Engineering development team through the product production stage.
2,UX Research Associate,TikTok,"Los Angeles, CA",,You will help define future features and products as you spearhead a human-centered decision-making process and develop the most useful and usable product…
3,Product Designer,FloQast,"Remote in Los Angeles, CA 91411",,"The role will work alongside designers, product managers, engineers, and interface directly with customers.Experience with user testing, use of data to drive…"
4,UX Designer - Community,"Twitch Interactive, Inc.","Los Angeles, CA",,"Work with a development team of product managers, engineers, and designers.Experience working on consumer software products."
5,"Product Designer, Effects Tool",TikTok,"Los Angeles, CA",,"Execute at every stage of the design lifecycle with product managers, researchers, UX writers, and engineers to ship product experiences globally."
6,Founding Product Designer,Unusual Ventures,"Hybrid remote in Los Angeles, CA",,"Act as a product manager when needed.Work closely with engineering to implement finished designs and continuously iterate on our products, always looking to…"
7,Product Designers - All Levels *Hiring Year Round* (Remote),Flow Space,"Remote in Los Angeles, CA",,"Build high-quality products: Partner with product managers, engineers, and other stakeholders to design user experiences from conception to launch."
8,UX Designer,SM&A,"Los Angeles, CA 90010 (Windsor Square area)",,"If you were standing in front of a building that was on fire, would you rush in to save lives? When making a tough call, does your gut win over your head and…"
9,Product Designer,Emburse,"Los Angeles, CA 90036 (Mid Wilshire area)",,"Collaborate with product managers and engineers to troubleshoot and explore alternatives.Research, prototype, and design user experiences based on provided…"
10,Product Designer,Sidecar Health,"Los Angeles, CA",,"Collaborate with product management and engineering to define and implement innovative solutions for the product direction, visuals, and experience."
11,newSenior Product Designer,Pluto TV,"Remote in Los Angeles, CA 90069",,At least two years of product design experience working as part of a product design team.Mentor and manage more junior designers.
12,Product Designer,NEXT Trucking,"Los Angeles, CA",,"Work closely with front end developers and product managers.You will own your product from start to finish.We are passionate entrepreneurs, creative thinkers,…"
13,"Product Designer, Nike Virtual Studios (NYC or LA)",Nike,"Los Angeles, CA+1 location",,"The ideal candidate is an ambitious and open-minded product designer with a strong grasp of user experience, visual, and interaction design."
14,"newAssociate, Digital Product Designer",KPMG,"Los Angeles, CA 90071 (Downtown area)",,"Assess and design products in line with usability standards and heuristic best practices, as dictated by the need."
15,"Product Designer, Augmented Reality",Meta,"Los Angeles, CA 90066 (Del Rey area)+8 locations",,4+ years of experience in shipping software products.Advocate for product design within the Reality Labs team.This position is full-time.
16,User Experience Designer,Buck Mason,"Los Angeles, CA 90026 (Silver Lake area)",,Work with copywriters and graphic designers on content development for a project's overall user experience.Support development and QA of digital products from…
17,Product Designer (Experience Required),Bhph list,"Los Angeles, CA",,Architect new products and new product features 20% and help design it.Should have 2 or more years experience of UX or product design (Non internship/Non…
18,Product Designer,Motorola Solutions,"Los Angeles, CA 90017 (Downtown area)",,Work closely with developers and product managers to ensure the successful technical implementation of your work.Bachelor's degree or equivalent experience.
19,"Associate, UX Designer",KPMG,"Los Angeles, CA 90071 (Downtown area)",,"Strong understanding of user experience design related deliverables such as information architecture, prototyping, workflow ideation and pixel design…"
20,Product Designer,XCLAIM,"Los Angeles, CA",,"Proficient in B2B web services, online technologies, and/or user interface design for business products.Guide your designs through all stages of the design…"
21,UI/UX Designer,Independent Electric Vehicles,"Los Angeles, CA",,You’ll also support crafting user flows and other spec documentations to ensure that we have the clearest product definition.
22,Staff Product Designer - Opportunity for Working Remotely Lo...,VMware,"Remote in Los Angeles, CA+1 location",,Closely collaborate with the product management and engineering teams to identify product goals and vision.Research and partner to create design patterns with…
23,Senior Product Designer,Supernatural,"Los Angeles, CA",,"Create and own interface designs, UI interactions, and motion prototypes for various features and products.Being both creative and analytical is very important…"
24,UX/UI Designer (Remote),Brafton,"Remote in Los Angeles, CA",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
25,UX Designer,SoCalGas,"Los Angeles, CA 90013",,Deploys web page content and graphics to assure work product will support client needs.Provides web technical consultation to clients to enable them to…
26,Sr. Product Designer,Bambee,"Los Angeles, CA 90071 (Downtown area)",,"Work closely with the Head of Design, product team, CTO, and CEO to define and optimize the current product as well as new features for Bambee’s core users."
27,UX/UI Designer - Deloitte’s Green Dot Agency,Deloitte,"Los Angeles, CA 90013 (Downtown area)+2 locations",,A designer's eye: Must be able to translate complex concepts and interactions into visually coherent wireframes.
28,UI/UX Designer,TSM FTX,"Los Angeles, CA",,"Facilitate our product vision by researching, conceiving, sketching, prototyping, and user-testing experiences for digital products."
