,title,company,location,salary,summary
0,newProduct Designer,Samsung Electronics,London,,Take a leading role in product design projects (sponsored by HQ) and handle the conceptualisation and development of new product design ranging from the current…
1,newBrand Designer,Monzo,Remote in London,,"You will work closely with other Brand Designers and also the Marketing team.Experience in designing for multi-channel campaigns, and seeing projects through…"
2,Product Designer,Hex Digital,London EC1M,,Translating and documenting insight from analysis into the overarching product and experience structure.Commercial experience working on product builds with…
3,newProduct Designer,"JPMorgan Chase Bank, N.A.",London,,"Work collaboratively in a multi-disciplinary team of researchers, product designer, technologists and business experts to create new customer-focused products…"
4,Lead Product Designer,Canva,Remote in London,,"Identify product design needs in the team, and eventually help to grow and lead a team of product designers.Partner with a Product Manager and Engineering lead…"
5,Product Designer,Ambassador Theatre Group,London,,"Working closely with the Product and Software Engineering teams and wider business, you will drive end-to-end user experience design across multiple products…"
6,Junior Product Designer - QuantumBlack Labs,McKinsey & Company,London,,Our products thrive on experimentation and iteration.... work alongside senior designers to create products and experiences that shape and define how advanced…
7,newProduct Designer,iTechmedia,London,,Product designers are embedded into cross-functional squads.Experience designing and shipping impactful mobile-first products.Yearly training budget of £1000.
8,newDIGITAL DESIGNER,Dr Martens,Hybrid remote in London,,Reporting to the Digital Design Lead you will work on a wide variety of graphic design projects across all Dr. Martens digital channels.
9,"Product Designer, WhatsApp",WhatsApp,London,,"Give and solicit feedback from designers and a broader product team in order to continually raise our bar for quality, while also taking on mentorship."
10,Visual Designer,Amazon UK Services Ltd.,London,,Own continuous improvement of all products delivered.Experience in visual design and motion graphics.Bachelor's degree in Graphic Design/relevant disciplines…
11,newfrog - Midweight Product Designer,Capgemini Invent,London,,Experience in getting involved in different stages of the product design process.Deliver high quality design work within a multi-disciplinary team delivering…
12,Product Designer,Meta,London,,"Give and solicit feedback from designers and a broader product team in order to continually raise our bar for quality, while also taking on mentorship."
13,Product Designer,MMT Digital,London,,"Collaboration – with product managers and engineers at every phase of the product development process, from initial problem space to being embedded in Squads."
14,"UX Designer, YouTube Shopping",YouTube,London,,"Collaborate with other Shopping designers to drive design excellence.Bachelor's degree in Design (e.g. interaction, graphic, visual communications, product,…"
15,Senior Product Designer,Joseph Joseph,London SE1,,Collaborating closely with other designers in the team.Strong product development experience with a proven track record of success.
16,newDigital Designer - UX/UI/Product,Cappfinity,Remote in London,"Up to £50,000 a year",Evangelise user-centred design best practices to the standard expected by modern consumers; striving to create product experiences which are highly usable and…
17,Middleweight Product Designer,Brewdog Plc,Remote in London EC1V,,"A passion for digital product design, typography and potentially digital illustration.We are currently creating a new Design System to be implemented across…"
18,newASSISTANT FOOTWEAR DESIGNER - ORIGINALS,Dr Martens,London,,"Assisting with product presentations – from concept to final review on all delegated projects.Creating on trend images, materials and colour presentations on…"
19,newfrog - Brand Designer,Capgemini Invent,London,,"Concept and collaborate with strategy, creative, product and marketing to execute design work.Frog partners with customer-centric enterprises to drive…"
20,Product Designer - Marquee,Goldman Sachs,London EC4A,,"We are looking for a product designer who enjoys translating complex user needs into intuitive, simple and impactful products."
21,newDigital Designer - Creative,Cappfinity,Remote in London,"Up to £45,000 a year","As a secondary focus, there may on occasion be opportunities to support design projects for our Product Design Team to enhance and augment our suite of software…"
22,"UX Designer, Chrome for iOS",Google,London,,"Experience with design systems that work across a product.Bachelor's degree in Design (e.g., interaction, graphic, visual communications, product, industrial,…"
23,Digital Product Designer,The AA,London,"£55,000 a year","Working as a designer for our product team, you will need to always be keen to understand customer needs and behaviour.Discounted home and motor insurance."
24,CAD Designer - Apprentice,Subsea 7,London,,"Maintain communication with the Drawing Office Manager, in combination with lead and senior designers where appropriate, to ensure all project tasks are on…"
25,"Product Manager, Permissions, Chrome",Google,London,,"Experience in product management, setting product direction, driving goals, and executing roadmaps.Experience in a role managing either product or engineering…"
26,"Product Manager, Search Journeys",Google,Remote in London,,Lead early stage product(s).Collaborate with Program Managers and Engineers to drive product execution and cross-functional alignment among relevant…
27,"Bow & Arrow, Digital Product Designer",Accenture,London,,"As a Designer you are here to bring strategic design thinking and excellent execution to the delivery of every project, from early-stage idea generation until…"
28,Digital Product Designer,LEGO,Hybrid remote in London,,The product team is responsible for developing new ways of presenting and selling LEGO products and experiences across our digital channels.
29,UX Designer,Holland & Barrett,Remote in London,,Working with our product managers to record all functional requirements for our developers.Using this information you will identify and design new…
30,Product Designer (Studio),Moonpig.com,Hybrid remote in London,,"Developing scribbles, user journey maps, wireframes, mockups and other assets, to design simple user flows and improve the usability of our products."
31,newInteraction Designer,Siemens,London,,Measuring recently released product features to establish benchmarks and identify potential areas of improvement.
32,Midweight Designer,Toaster,Remote in London,,Knowledge of current technologies and products influencing the creative landscape.A minimum of 2 years experience working in a designer role.
33,"newSenior Brand Designer, Illustration & Motion Graphics",Monzo,Remote in London,,"Bring feature launches and new products to life.Push our visual brand language to the next level.You make well-reasoned design decisions understanding colour,…"
34,Designer,IA Interior Architects,London,,"Oversee tasks and provide feedback on work product.Our clients in diverse markets worldwide require high-performance, visually compelling and sustainable…"
35,frog - Senior Product Designer,Capgemini Invent,London,,Ideally experience of taking a product to market by working closely with developers and optimising the performance of that product over time through testing and…
36,newJunior Furniture Designer,Marks & Spencer,London,,Work with the Designer to deliver the global product direction.Participates in department fit sessions making recommendations to deliver the best product.
37,Freelance CAD Designer,Taylor & Hart,Remote in London,,"They are highly knowledgeable in CAD and use their talent, experience and people skills to ensure every product designed is perfectly created with love and…"
38,UX/UI Product Designer / Interaction Designer,BT,Hybrid remote in London,,"Improve the user experience of a product from conception to launch – Through collaboration & partnership with product managers, engineers, user researchers and…"
39,Product Designer - Services (International),Apple,London,,"Demonstrable experience within product design & with a focus on mobile apps and services.A passion for Apple, its products, and its customers."
