,title,company,location,salary,summary
0,Product Designer,Duolingo,"New York, NY",,Work collaboratively with other designers to develop and expand product design patterns.Help engineers and product managers define both the long-term strategy…
1,"Product Designer, Spotify for Artists",Spotify,"Remote in New York, NY+6 locations",,Lead design projects across the entire product lifecycle and multiple product launches.Provide design thinking and leadership to develop the right product…
2,"Product Designer, Online Checkout",Square,"New York, NY+1 location",,"Create and collaborate on the product strategy with the product team.A portfolio of product design work on which you were the primary designer, with moderate…"
3,Product Designer (remote),Match,"Remote in New York, NY",,"You’ll lead projects across the entire product lifecycle.You will use excellent communication skills to share your work with product partners, design peers and…"
4,"Associate Product Designer, Viewing Experience, Peacock",NBCUniversal,"New York, NY 10112 (Midtown area)+5 locations",,"Work closely with other product designers and product managers to understand goals for content discovery around the homepage, live video, playlists, search,…"
5,Junior Product Designer,The Brigade,"Portland, NY",,Experience as a product designer at a digital product agency or consultancy.Collaborate on designing considered brand systems and original product creative…
6,Product Designer,Runway AI,"New York, NY",,Design experience working with engineering teams shipping products.Experience delivering and iterating product features and close collaboration with…
7,"Flutter Product Manager, iOS and Design Agencies",Google,"Hybrid remote in New York, NY",,"Lead Flutter product management and development efforts for platforms (i.e., iOS and macOS).Experience driving product direction, go-to-market strategy, and…"
8,Senior Product Designer,Fitch Group,"Kingdom, NY",,"We are looking for our first product designers to ideate, design and prototype brand new products, features, and lines of business."
9,Product Designer (Contract),Atomic,"Remote in New York, NY",,We are on the hunt for a product designer to work directly with our Head of Product to build a Fintech app focused on retail trading!
10,Product Designer,The Brigade,"Portland, NY",,Experience as a product designer at a digital product agency or consultancy.You have significant experience as a product designer at a digital product agency …
11,newVisual Product Designer,Publicis Sapient,"New York, NY",,"We are multiskilled thinkers, computational designers, environmental designers, researchers, and architects.We help unlock value through a start-up mindset and…"
12,CWM – PWM - UX/UI Designer - Associate - New York City,Goldman Sachs,"New York, NY 10282 (Battery Park area)+5 locations",,Seeing product additions/enhancements from concept or research to deployment and optimization.A track record of designing product that has been shipped …
13,"Product Designer II, Disney+",Disney Streaming,"New York, NY+2 locations",,"Focus on UI, product branding, and content presentation.Collaborate with fellow designers (UX, visual, motion/prototypers) to help evolve the design language…"
14,Product Designer,Constrafor,"Remote in New York, NY",,Constrafor is looking for exceptional product designer to help shape the face of the product and create world-class experiences for our customers.
