,title,company,location,salary,summary
0,"Product Designer, Growth",Discord,"Hybrid remote in San Francisco, CA+2 locations",,"As a product designer focused on growth, you'll be involved with the full product development process from end-to-end, from brainstorming to launch."
1,"newSenior Product Designer, Communities",Discord,"Hybrid remote in San Francisco, CA+2 locations",,"As a product designer focused on communities, you'll be involved with the full product development process from end-to-end, from brainstorming to launch."
2,"Product Designer, Online Checkout",Square,"San Francisco, CA+1 location",,"Create and collaborate on the product strategy with the product team.This is a cross-functional role where you will work with other designers, product managers…"
3,"Sr Product Designer, In-Service Creative",Hulu,"San Francisco, CA 94105 (Financial District area)",,"As part of the Product Design group, you’ll always look to balance the essence of the brand story and maintain the integrity of the product user interface; to…"
4,Product Designer,"PitchBook Data, Inc.","San Francisco, CA 94105 (Financial District area)+1 location",,Ability to articulate design rationale and how we can add value to the product.Design products that make complex tasks and workflows simple and easy to…
5,newProduct Designer,Go2Andaman,"San Francisco, CA",,"Craft every detail of new product features, from idea to UX to pixel-perfect execution.Design product concepts that balance vision, craft, speed, and business…"
6,Product Designer,Sisu Data,"San Francisco Bay Area, CA",,Experience teaming up with engineers and designers to build and ship products.Prior experience building enterprise or data-oriented products.
7,"Minted, UX Designer",Minted,"San Francisco, CA",,"Research, prototype, test, and implement new features, products, and experiences.The UX team partners extensively with Product, Engineering, Merchandising,…"
8,Product Designer – General,Visa,"San Francisco, CA+3 locations",,"An online portfolio that demonstrates B2B or B2C product experiences.Candidates will have the opportunity to design usable, accessible and engaging user…"
9,Product Designer,Anyscale,"San Francisco, CA",,"Work closely with engineers and product managers to define and build our products.Have experience designing for developers, open source products, or enterprise…"
10,Product Designer,Frontapp,"San Francisco, CA",,"Experience building and shipping world-class products across various platforms.Design product experiences across various platforms including web, desktop, and…"
11,newProduct Support + Design Analyst,Ubiquity Retirement + Savings,"Remote in San Francisco, CA 94104",,"Consult Product Innovation on enhancements to existing products or new products.Manage projects (including new features, improvements or products)."
12,UX Designer,Viz.ai,"Remote in San Francisco, CA",,"Collaborate with product managers, customers, and other members of the UX and Engineering team to identify user needs and product specifications."
13,Lead Product Designer,Slack,"San Francisco, CA",,"Solicit feedback from your peers, including other product designers and teammates in your product team.Interview new product designers and actively advise on…"
14,Product Designer,Mode,"Remote in San Francisco, CA",,"You're excited about the prospect of working with other designers, product managers and engineers.Collaborate across a small product team to drive solutions…"
15,Lead Product Designer - Slack,Salesforce,"San Francisco, CA 94105 (Financial District/South Beach area)+1 location",,"Solicit feedback from your peers, including other product designers and teammates in your product team.Interview new product designers and actively advise on…"
16,Lead Product Designer,Slack,"San Francisco, CA",,"Solicit feedback from your peers, including other product designers and teammates in your product team.Interview new product designers and actively advise on…"
17,Product Designer,Frontapp,"San Francisco, CA",,"Experience building and shipping world-class products across various platforms.Design product experiences across various platforms including web, desktop, and…"
18,"Lead Product Designer, D+ Growth",Disney Streaming,"San Francisco, CA+2 locations",,You have 1+ years of experience leading other designers either as a project lead or people manager.Contribute to product strategy by defining problems in…
19,UX Designer,Ancestry,"San Francisco, CA 94107 (Mission Bay area)+1 location",,"You work well with other designers, product managers, front-end-developers on Agile teams.You have a track record working with teams such as product,…"
20,Product Designer,Practice Fusion,"San Francisco, CA 94103 (Financial District/South Beach area)",,"Work with other designers, product managers, and technologists to analyze business requirements and design solutions that respond to user needs."
21,"newSenior Product Designer, eCommerce (Buyer experience)",Square,"San Francisco, CA+1 location",,Proactively provide feedback and mentorship to other designers.Create and collaborate on the product vision with leadership.
22,"Product Designer, Growth","Grammarly, Inc.","Remote in San Francisco, CA 94104+1 location",,"The person in this role will work with Grammarly’s product managers, product designers, and developers to design features that address all of our customer…"
23,Senior Product Designer (Remote),Getaround,"Remote in San Francisco, CA",,"As a product designer with at least 5 years shipping digital products, you work with product, data, and engineering teams to craft beautiful experiences that…"
24,Product Designer,JetInsight,"San Mateo, CA",,"You will play a key role in defining our product design and refining our brand.Collaborating with product, engineering, and other cross-functional partners to…"
25,Digital Product Designer,"Digital Foundry, Inc.","Tiburon, CA 94920",,"Must have experience designing digital (software, web, mobile) products.Ideation and creative process to develop, design and refine concepts into digital…"
26,Senior Product Designer - Health,Cash App,"San Francisco, CA 94103 (South of Market area)",,"Our product designers take a product, feature, or experience from ideation to production.As a product designer on Health, you’ll shape strategy and build…"
27,newProduct Designer,WorkRamp,"Remote in San Francisco, CA",,"Partner with engineering, product, operations and data teams to define new products and features and launch them.Experience working in startups preferred."
28,UX/Product Designer,GoodRx,"San Francisco, CA+1 location",,"Collaborate effectively with other designers, content strategists, sales, and marketers.Strong visual design background with some experience in product design…"
29,newProduct Designer,DISH,"Foster City, CA 94404 (Town Center area)",,"Dig into product analytics data, customer service contacts, and social media feedback to monitor current product usage patterns and identify future areas of…"
30,Lead Product Designer,Benchling,"San Francisco, CA 94103 (South of Market area)",,Experience contributing to a design system for complex software products.A track record of working with and affinity for highly complex product architectures.
31,Product Designer,Carbon Five,"San Francisco, CA 94105 (Financial District/South Beach area)",,"You will work on a single cross-disciplinary product development team—engineers, designers, and product managers—working full-time, side-by-side with one of our…"
32,User Experience Designer,Amazon.com Services LLC,"San Francisco, CA+15 locations",,We are looking for a designer who can:Oversee close coordination with the product management team to develop a shared vision and then lead a process to define…
33,Product Designer - Opportunity for Working Remotely San Fran...,VMware,"Remote in San Francisco, CA",,Closely collaborating with your design team as well as the product management and engineering teams to identify product vision and goals.
34,Product Designer,Commonstock,"Remote in San Francisco, CA",,Every teammate shapes product & strategic direction.Experience designing consumer-facing products on both web and mobile.
35,Senior Product Designer - Analytics,Iterable,"Remote in San Francisco, CA+1 location",,"Partner with fellow designers, product managers, and engineers to lead the design of a project from conception to implementation."
36,"Product Designer, UX/UI",Video.io,"Remote in San Francisco, CA",,3+ years experience as an UX/UI designer.Ability to deliver products with strong attention to detail.Brainstorm and illustrate design ideas of user interface…
37,Senior Product Designer,DocuSign,"Remote in San Francisco, CA 94105+1 location",,"Collaborate with product experience, product managers and the engineering team throughout the product lifecycle to ensure your designs are addressing user and…"
38,newProduct Designer,DISH,"Foster City, CA 94404 (Town Center area)",,"Dig into product analytics data, customer service contacts, and social media feedback to monitor current product usage patterns and identify future areas of…"
39,"Product Designer - Uber Eats, Delivery",Uber,"San Francisco, CA 94103 (South of Market area)+2 locations",,"4+ years of product design experience.Work with product managers to define products (requirements, strategic functionality, bold bets), not just translate them…"
40,newPrincipal Product Designer,Meteor Development Group,"Remote in San Francisco, CA",,"Revamping our product onboarding and developing a purchase flow for a new product line.You know how to work with product managers, researchers, and engineering…"
41,Staff Product Designer,Lightstep,"San Francisco, CA 94105 (Financial District/South Beach area)",,"You have 3+ years of experience designing software products.Lightstep enables teams to detect and resolve regressions quickly, regardless of system scale or…"
42,"newProduct Designer, B2B (Remote)",Wonolo,"Remote in San Francisco, CA",,"You are a generalist with a broad range of experiences working on both web and mobile products, and fluent throughout the entire product development process,…"
43,UI / UX Designer,Hive,"San Francisco, CA",,Lead design projects across the entire product lifecycle and multiple product launches.Great communication skills that help you work with product and…
44,Product Designer - Animation Tools,Pixar Animation Studios,"Emeryville, CA",,"Minimum of 3+ years as a product designer.Our mission is to create, maintain, and extend filmmaking tools that combine cutting-edge computer graphics…"
45,Product Designer,Forward,"San Francisco, CA+1 location",,Partner with product managers and engineers to bring products to life—Forward ships products within days to a few months.Health Moves Forward [CEO Blog Post].
46,"Staff Product Designer, Design Systems Enablement - Remote A...",ServiceNow,"Remote in San Francisco, CA 94105",,Support designers to create clarity and guide design decisions relating to pattern and component usage in product and platform designs.
47,Staff Product Designer,Gantri,"San Francisco, CA",,"Gantri is looking for a highly experienced digital product designer that can craft beautiful, delightful user experiences across our web products of online…"
48,Staff Product Designer (3D/AR/VR),HOVER,"Remote in San Francisco, CA 94103+2 locations",,"You will work closely with other designers, product managers, engineers, user research and data to craft usable and delightful experiences our customers love."
49,Product Designer,Therma,"Remote in San Francisco, CA 94104",,"Work with design, product management, and engineering to generate ideas and turn them into a flawless product experience."
50,Product UX Designer,Brave Software Inc.,"San Francisco, CA (Financial District/South Beach area)",,"Work harmoniously with product and project managers to design the required product functionality, driving it through to implementation."
51,Product Design Lead - Remote,Little Otter,"Remote in San Francisco, CA",,"As our first full-time designer, you will significantly impact the strategy and future of Little Otter's product and design."
52,Product Designer (Remote),New Front Insurance,"Remote in San Francisco, CA+2 locations",,You'll work on a specific product development team with engineers and a product manager and own the designs for all features within a product area.
53,"Sr Product Designer, Hotels-on-Web",Hopper,"San Francisco, CA+2 locations",,Experience shipping web products in a fast paced agile environment.Whether you're designing a new way for travellers to shop for hotels or creating an engaging…
54,Lead Product Designer,Varo Money,"San Francisco, CA",,Prove experience shipping products and/or significant features on desktop or mobile.Partner with Product and Design Leadership to facilitate design discussions…
55,Product Designer,JLL,"San Francisco, CA+1 location",,Working with senior designers and product managers to define and prioritize features needed to create great user experiences.
56,UX Designer (Multi-year contract opportunity),Volkswagen Group of America - Chattanooga...,"Belmont, CA+1 location",,"Create low-fidelity wireframes and prototypes in tools (Figma, Sketch, Adobe XD, etc.).Design high-fidelity UI elements.Bachelor’s Degree in Design."
57,"Web UX/UI Designer, Growth",Hubilo Technologies,"San Francisco, CA",,"A proven track record of developing cross-functional relationships with other creatives, marketers, product owners, executives, etc."
58,UX/UI DESIGNER,Evoke Health,"Remote in San Francisco, CA",,"(Keep in mind that depending on your role and brand assignment, you may be required to adhere somewhat to west coast hours.)."
59,Lead Product Designer,"Zoom Video Communications, Inc.","Remote in San Francisco Bay Area, CA",,Help mentor and inspire other designers.A passion for creating products that balances function and emotional impact on people.Hear from our leadership team.
60,Senior Product Designer,tunein,"Remote in San Francisco, CA 94107",,4+ years of experience as a product/UX designer in a relevant industry (streaming media).You will work closely with product management and engineering teams to…
61,"Product Designer, User Experience – Early Professional (2022...",C3 AI,"Redwood City, CA",,"Work with other designers and product managers to translate high level requirements and use cases into detailed process flows, wireframes and product designs."
62,Principal User Experience Designer,Oracle,"Redwood City, CA 94065 (Marine area)+1 location",,"May produce specifications describing user needs and internal structures for product in development.Provide product usability, evaluation and support to…"
63,Senior product Designer,King.com,"San Francisco, CA",,"As a product partner, you’ll work with team members across Product Management, Data Science, Engineering, Marketing, and Studios to identify and ideate on…"
64,Senior Product Designer - Remote / WFH,Delta Dental Ins.,"Temporarily Remote in Oakland, CA",,The Senior Product Designer leads a team of product designers in the design strategy and creation of new products.Low-cost premium medical insurance options.
65,UX Researcher,Meta,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations",,4+ years experience in applied product research.Work closely with product teams to identify research topics.Design studies that address both user behavior and…
66,Senior Product Designer,Domino Data Lab,"San Francisco, CA",,"A portfolio showcasing your track record of shipping product experiences.You'll help refine our process, in how we operate and coordinate with our counterparts…"
67,Associate Product Designer (remote),Roo,"Remote in San Francisco, CA",,1+years experience in product design.We need someone who will contribute to the design system as well as deliver on new features and product enhancements…
68,newDirector of Product Design | Sydney-based,Canva,"Hybrid remote in San Francisco, CA",,"Experience scaling a product design team.Strong design coaching experience - you know how to make an impact through empowering, growing, and motivating other…"
