,title,company,location,salary,summary
0,newProduct Designer,Meta,"Seattle, WA 98109 (South Lake Union area)+24 locations",,"Partner with product managers, engineers, UX researchers and content strategists to iterate and oversee the user experience of a product from conception until…"
1,Product Designer,Oracle,"Seattle, WA",,"May produce specifications describing user needs and internal structures for product in development.Provide product usability, evaluation and support to…"
2,newUX/UI Designer,Microsoft,"Redmond, WA 98052 (Overlake area)+2 locations",,"At Xbox, our mission is to reach every gamer on the planet to play, watch, communicate, and create together.When everyone plays, we all win."
3,Product Designer,Square,"Remote in Seattle, WA+1 location",,This problem area is important to our ability to meet the evolving needs of our omni-channel sellers and is dependent on user-centered product designers—that's…
4,Product Designer II,Microsoft,"Redmond, WA 98052 (Overlake area)+7 locations",,"Deliver world-class interaction designs from initial concept through finished product.Work closely and constructively with product management, visual and…"
5,Product Designer,Funko,"Seattle, WA 98105 (Ravenna - U District area)",,Share awareness of current trends and in-market products.2+ years of experience working with style guides on licensed products.Deep passion for board games.
6,Product Designer,"PitchBook Data, Inc.","Seattle, WA 98164 (Downtown area)+2 locations",,Ability to articulate design rationale and how we can add value to the product.Design products that make complex tasks and workflows simple and easy to…
7,Product Designer II - Viewer Growth,Hulu,"Seattle, WA",,Partner with and mentor associate designers on your team.Influence and shape the product and feature design direction by partnering closely with senior…
8,UX Product Designer,Workday,"Seattle, WA+4 locations",,Proactively identify usability concerns within the product.A product that has user experience as its key differentiator in the industry.
9,Senior Product Designer,Duolingo,"Seattle, WA+1 location",,Work collaboratively with other designers to develop and expand product design patterns.Help engineers and product managers define both the long-term strategy…
10,Product Designer II,AT&T,"Seattle, WA",,"Our mission is to understand our users and design products that solve their problems.Xandr, its products and its executives have received several prestigious…"
11,"Product Designer - Opportunity for Working Remotely Seattle,...",VMware,"Remote in Seattle, WA+1 location",,Closely collaborating with your design team as well as the product management and engineering teams to identify product vision and goals.
12,newSenior Product Designer,Augment,"Seattle, WA",,Be responsible for UI design of the product.Partner with engineers and product teams to work together on solving some of the most challenging problems.
13,"Senior Product Designer, Square for Restaurants",Square,"Remote in Seattle, WA",,"Provide feedback and mentorship to other designers.This will be a cross-functional role where you will work with other designers, product managers, researchers…"
14,UX/UI Designer,Placements.io,"Seattle, WA 98104 (Pioneer Square area)",,You’ll touch all facets of our product as we build out the next iteration of our core web app and integration platform.And you’ll have a life.
15,newSenior Product Designer,Augment,"Seattle, WA",,Be responsible for UI design of the product.Partner with engineers and product teams to work together on solving some of the most challenging problems.
16,"newSr Product Designer, Earner Verticals",Uber,"Seattle, WA 98101 (Downtown area)+1 location",,"You'll collaborate with engineers, product managers, and some of the world's best designers, researchers, content designers, and design engineers in a fast…"
17,Senior UX Designer,"FLEXE, Inc.","Seattle, WA 98104 (Pioneer Square area)",,6+ years of experience designing products for desktop and handheld applications.Define information architecture across a complex suite of product and user…
18,"Product Designer, Maps",Uber,"Seattle, WA 98101 (Downtown area)+4 locations",,"We collaborate with engineers, product managers, and some of the world's best designers and researchers in a fast-paced, rapidly growing environment."
19,"Senior User Experience Designer, Integration",Oracle,"Seattle, WA+3 locations",,"May produce specifications describing user needs and internal structures for product in development.Provide product usability, evaluation and support to…"
20,Senior Product Designer,Splunk,"Seattle, WA 98103 (Green Lake - Wallingford area)+1 location",,"Work with cross-functional teams throughout product development (including user research, product management, and engineering).This is a hands-on role."
21,Product Designer II,Xandr,"Seattle, WA",,"Our mission is to understand our users and design products that solve their problems.Xandr, its products and its executives have received several prestigious…"
22,User Experience Designer II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)+2 locations",,"Gain experience facilitating idea generation with other designers, content strategists, researchers as well as product and engineering partners."
23,Associate UI/UX Designer,Center,"Remote in Bellevue, WA",,"As a UX/UI Designer, you will collaborate with other designers, researchers, developers, product owners, and business stakeholders to craft meaningful…"
24,Product Designer II - Viewer Growth,Hulu,"Seattle, WA",,Partner with and mentor associate designers on your team.Influence and shape the product and feature design direction by partnering closely with senior…
25,UX Designer,Wyze Labs,"Remote in Kirkland, WA",,Wyze employee product perks: Wyze employees receive Wyze products as the products are released (new employees will have access to Wyze products).
26,Product Designer,Practice Fusion,"Seattle, WA",,"Our team of talented product designers and user researchers is integral to achieving that mission.We work closely with the product, technology, marketing and…"
27,Senior Product Designer (Remote USA),Formidable,"Remote in Seattle, WA",,Experience working directly with product and engineering teams in a collaborative software development environment.You will be responsible for:
28,UI/UX Designer: 6-month contract,Valence,"Remote in Bellevue, WA 98004",,"Collaborate with engineers and product managers to gather user requirements.Create prototypes, wireframes, and mock-ups to demonstrate the functioning and…"
29,"UX Designer, Digital Products",Starbucks,"Hybrid remote in Seattle, WA",,You're actively involved in defining product strategy.You partner with other designers to elevate the group.Is this role eligible for remote or hybrid work?
30,UX/UI Designer (Remote),Brafton,"Remote in Seattle, WA",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
31,Senior Product Designer,Microsoft,"Redmond, WA 98052 (Overlake area)+8 locations",,Inspire and mentor other designers and researchers.Experience shipping work on a variety of different products and devices.
32,"Product Designer, UI/UX",Heartbeat Health,"York, WA",,"We are looking for an exceptional, experienced designer with a demonstrated track record of designing products that people love."
33,"UX Designer, Digital User Experience - Opportunity for Worki...",VMware,"Remote in Seattle, WA",,"Work with product teams to fully understand the product family, various end user audiences and their challenges to deliver new solutions and features."
34,"Senior Product Designer, Contact Center","Zoom Video Communications, Inc.","Remote in Seattle, WA",,"5+ years of UX, UI, or product design experience.Plan, prioritize, coordinate, and conduct interaction & interface design, asset design & production,…"
35,Junior UX Designer,thyssenkrupp Materials NA Inc.,"Seattle, WA 98109 (Westlake area)",,"Research customers, competitors, and products.Work closely with product managers and marketing to maximize customer success.BA in Design or a related field."
36,UX/UI Designer,Placements.io,"Seattle, WA 98104 (Pioneer Square area)",,"Product | Seattle, WA or New York, NY USA.Placements.io is changing the way digital media publishers manage their advertising businesses."
37,"Manager, Product Design - Seattle Remote (14818)",Getty Images,"Remote in Seattle, WA 98103",,"Partner closely with leaders in design, product and development to influence and execute on product vision and strategy."
38,"UX Designer, Shop Services",REI,"Remote in Seattle, WA+5 locations",,"Demonstrable track record in leading strategic thinking across a large product space, developing product goals, identifying opportunities and outcomes while…"
39,Product Designer,Allscripts,"Seattle, WA",,"Work with other designers, product managers, and technologists to analyze business requirements and design solutions that respond to user needs."
40,newSenior Product Designer (UX),"PitchBook Data, Inc.","Seattle, WA 98164 (Downtown area)",,Drive continuous improvement in your work and with your product teams.Demonstrated ability to clearly communicate and support design decisions and how they add…
