,title,company,location,salary,summary
0,new3D Junior Artist,ADCI - Karnataka,"Bengaluru, Karnataka",,"A three-dimensional artist, or 3D artist, works in media production and creates elements for 3D images, games and movies."
1,newJunior 2D Game Artist (Casual Games),Kwalee,"Bengaluru, Karnataka",,Troubleshooting any art issues from a creative and technical standpoint.Taking responsibility for the art on multiple small casual mobile game projects.
2,newAdmissions Team Member,LISAA School of Design,"Bengaluru, Karnataka",,"LISAA School Of Design, Bangalore and CREO Valley the organization, (literally meaning the Valley of Creativity) was found with a vision of imparting education…"
3,newCampaign Intern - SheSpark,Adobe,"Bengaluru, Karnataka",,Work closely with the Quality Assurance team to ensure professional delivery of technical implementations.Work with Clients to assess requirements.
4,"Mgr, Technical Support",Adobe,"Bengaluru, Karnataka",,"You will provide senior level mentorship for technical issues, regional support initiatives and resolution management."
5,Technical Artist / Unity,Playdawn Consulting,"Remote in Bengaluru, Karnataka",,"Start up | Bengaluru | Full-time.They have been VC-funded by Lumikai, in addition to prominent angels from companies like Nodwin Games,InMobi and Epic Games."
6,Technical Artist,GSN Games,"Bengaluru, Karnataka",,"A mind for both artistic and technical workflows.Ability to proactively identify technical constraints while conceptualizing, and executing solutions through…"
7,newComputer Scientist,Adobe,"Bengaluru, Karnataka",,Lead the technical design and implementation strategy for major systems and components of the Adobe Experience Platform.BTech/MTech/MS in Computer Science.
8,Environment Artist,Rockstar Games,"Bengaluru, Karnataka",,"Participate in R&D, problem solving artistic solutions to technical problems.Mid-level candidates are suggested to have 2+ years as a 3D artist within gaming…"
9,newCustomer Engineering Trainer,Adobe,"Bengaluru, Karnataka",,We want to provide the best customer support in the business!The Technical Support Engineer Trainer role is essential to Adobe Commerce Customer Engineering…
10,TCS Academy - Rotoscope,TCS Academy,"Bengaluru, Karnataka",,Intensive training using industry standard software tools (provided) while using our high-quality training materials.
11,Technical Support Engineer 3,Adobe,"Bengaluru, Karnataka",,"CS degree or highly technical background, ability to troubleshoot code and optimize data pipelines, potentially build tooling.On Demand Deal Set-Up."
12,newLayout Artist,Mikros,"Bengaluru, Karnataka",,"Good level of prior work experience as a 'Layout artist'.They are the stylistic and technical eye of the entire scene, as well as choreographers of character…"
13,3D Game Artist,Spheres Digital Private Limited,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
14,Technical Artist (Mobile Shooter on Unity),LILA Games,"Bengaluru, Karnataka",,Experience on at least 3 mobile game titles full life cycle and as a technical artist.Develop and maintain tools to help designers and artists bring their…
15,3D Visualiser,INTERIOSPLASH,"Bengaluru, Karnataka",,"Producing technical drawings and elevations (AutoCAD, 3DS Max, Cinema 4D) Developing designs for pitch documents / presentations."
16,Unreal Technical Artist,Technicolor,"Bengaluru, Karnataka",,The Technical Artist will assist teams of artists in tackling projects and be equipped to provide support on complicated technical issues within Unreal.
17,"MAC Cosmetics - Make Up Artist - Nykaa Lavelle Road, Bangalo...",The Estée Lauder Companies,"Bengaluru, Karnataka",,"While a qualification in make-up artistry/previous retail make up experience is preferred, we welcome applicants with amateur level experience who are able to…"
18,newAssociate Technical Consultant,Adobe,"Bengaluru, Karnataka",,Ability to articulate and convey technical concepts to a mixed audience of senior technical and business executives.This is a hands-on development role.
19,Environment Asset Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Any of the following technical skills is a bonus:Excellent artistic eye for proportions, shape language, composition, and lighting."
20,Technical Artist,Nukebox Studios,"Bengaluru, Karnataka",,Should support the art team with troubleshooting and technical assistance.Experience with asset optimization for overall game efficiency and cater to technical…
21,TCS Academy - Compositing,TCS Academy,"Bengaluru, Karnataka",,"This course is a guide to realistic, VFX-style compositing for both CG and live-action films.Intensive training using industry standard software tools …"
22,Character Asset Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Excellent artistic eye for human proportions, shape language, composition, and lighting.Create photo realistic/ Stylized real-time game character models…"
23,Technical Artist,Technicolor Creative Studios,"Bengaluru, Karnataka",,Write documentation working with the technical directors to educate artists and establish best practices.Adhere to the studio policies and guidelines while…
24,Lighting Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,Senior artists are responsible for completion of sequences/complex shots assigned to them by the lead artists within the timeframe given and with the expected…
25,Blendshape Artist,Playdawn Consulting,"Bengaluru, Karnataka",,"Have a deep knowledge of anatomy and Facial Action Coding System (FACS), sculpting assets and enhancing photogrammetry data in order to improve end results for…"
26,Technical Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Develop pipelines, write and support technical documentation;Accept and control the quality of technical art components;"
27,Senior Technical Artist,Zynga,"Temporarily Remote in Bengaluru, Karnataka",,"The Senior Technical Artist will be working with a team of Designers, UX, Concept Artists, Animators, Producers and Software Engineers to develop beautiful and…"
28,3D Character Artist,Spheres Digital Private Limited,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
29,TCS Academy - 3DDMP/Environments,TCS Academy,"Bengaluru, Karnataka",,Intensive training using industry standard software tools (provided) while using our high-quality training materials.
30,Previz Artist,Mikros Animation,"Bengaluru, Karnataka",,Proven ability to assist newer artists that are working alongside them.High consistent standard of quality and speed.
31,3D Junior Artist,ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",,"A three-dimensional artist, or 3D artist, works in media production and creates elements for 3D images, games and movies."
32,FX Artist- Mill,The Mill,"Bengaluru, Karnataka",,"The ideal candidate should be able to solve problem and work within a given framework, while creating efficient technical workflow and troubleshoot solutions…"
33,"Bobbi Brown - Make Up Artist - Sephora Phoneix Market City,...",The Estée Lauder Companies,"Bengaluru, Karnataka",,"While a qualification in make-up artistry/previous retail make up experience is preferred, we welcome applicants with amateur level experience who are able to…"
34,TCS Academy - Character Artist (Games),TCS Academy,"Bengaluru, Karnataka",,"Basic knowledge of human anatomy, clothing workflow and facial expression.Basic knowledge of texturing, both realistic and organic."
35,TCS Academy - Texturing,TCS Academy,"Bengaluru, Karnataka",,A course of 10 weeks to get you up to the standard required to deliver first class VFX.Intensive training using industry standard software tools (provided)…
36,Academy Trainers,TCS Academy,"Bengaluru, Karnataka",,"Guide and coach students in creating quality work.Learn the pipeline tools, procedures and implementations quickly and stay updated."
37,Technical Content Artist (3D Max Modelling),Rockstar Games,"Bengaluru, Karnataka",,"This is a full-time permanent position based out of Rockstar's unique game development studio in Bangalore, India.Process 3D assets through the game pipeline."
38,Technical Artist (All Levels),Rockstar Games,"Bengaluru, Karnataka",,The candidate could potentially be involved in a wide variety of technical tasks related to Art.Bring innovation and resolution to technical problems and…
39,3D Architectural Visualiser,Essential Group,"Bengaluru, Karnataka",,Working closely with architectural and design teams to plan and visualize projects.Presenting and explaining visuals to colleagues.
40,newTechnical Consultant,Adobe,"Bengaluru, Karnataka",,Provide guidance during new client onboarding & IP ramp-up process.Alert strategic clients to blocks and recommendations for corrective action.
41,Head of Systems Infrastructure,Technicolor,"Bengaluru, Karnataka",,"Hands-on technical depth enables direct oversight, problem-solving leadership and participation for complex infrastructure implementation, system upgrades and…"
42,TCS Academy - Crowd,TCS Academy,"Bengaluru, Karnataka",,Troubleshoot creative/technical issues as they arise.Collaborate and communicate with trainers and other artists.Strong understanding of Motion builder.
43,Decision Scientist,sharechat,"Temporarily Remote in Bengaluru, Karnataka",,"The ideal candidate will have a strong technical and analytical background, as well as an intense hunger to make a significant business impact by owning and…"
44,collections strategy and analytics,CRED,"Bengaluru, Karnataka",,Possess strong technical skills such as sql/python.Formulate strategy to improve collections across different delinquency buckets and different products using…
45,Junior Systems Engineer - Linux,Technicolor,"Bengaluru, Karnataka",,"Participate in all technical tasks defined for the team as and when appropriate, ensure completion for user support requests."
46,Rigging Artist,Mikros Animation,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
47,Rigging Artist - Games,Technicolor Games,"Bengaluru, Karnataka",,"Must have a strong understanding of animation pipelines, production methods and a strong management style with excellent artistic & technical skills."
48,Senior Technical Artist,Technicolor Games,"Bengaluru, Karnataka",,Manage and mentor a team of technical artists.Manage and mentor a team of technical artists.At least 4+ years in a technical artist role.
49,Member of Technical Staff 2,Adobe,"Bengaluru, Karnataka",,The vision of this team is to build next-generation products and developer ecosystem on the Adobe experience platform (AEP).
50,TCS Academy - Motion Capture Animation Artist (Games),TCS Academy,"Bengaluru, Karnataka",,Ability to use the character rig and Mocap data provided to polish animations using the chosen style.Be fluent in the use of Motion Builder.
51,TCS Academy - Layout,TCS Academy,"Bengaluru, Karnataka",,The Layout Artist works under the supervision of the Layout/3D Supervisor.They are responsible for the implementation of assets and cameras in a 3D scene.
52,Research Scientist,Adobe,"Bengaluru, Karnataka",,The expected work style will demand leading and participating in small technical teams; and manage programs for successful transfer of technologies to internal…
53,Junior Software Analyst,Technicolor,"Bengaluru, Karnataka",,"Work with Artists and software developers globally, providing prompt front-line technical support for all newly submitted tickets."
54,newSenior Laravel Developer,youbloom,"Remote in Bengaluru, Karnataka","₹2,00,000 - ₹5,00,000 a year","Strong technical, analytical and problem-solving skills.Senior Laravel Developer - part time-WFH*.This is a remote position (you can be located anywhere as…"
55,Animation Artist - Advertising,The Mill,"Bengaluru, Karnataka",,Adaptability and the willingness to learn new processes and technical skills.Editing Skills Adaptability and the willingness to learn new processes and…
56,Department Manager,Technicolor,"Remote in Bengaluru, Karnataka",,"Work with show Leads to assign artist’s work.Department Managers are responsible for scheduling, resource planning and managing their department in partnership…"
57,Sr. Director of Engineering,sharechat,"Temporarily Remote in Bengaluru, Karnataka",,"Lead technical direction, delivery, and execution of technology roadmap, geared towards our overall vision.As Director you will be leading Engineering Managers…"
58,new2D & 3D Designer,Hubilo Technologies,"Bengaluru, Karnataka",,"The ability to manage multiple projects, communicate with key stakeholders and collaborate with production artists across nodes is essential."
59,Global Systems Architect,Technicolor,"Bengaluru, Karnataka",,It also ensures that the global infrastructure continues to meet the needs of Technicolor Creative Studios businesses and drives innovation to deliver both…
60,newHead of Creative Training and Development,Technicolor Creative Studios,"Bengaluru, Karnataka",,"Nurture creative vision and technical ability, while ensuring balanced personal and professional development.Cast and assign appropriate tasks for the training…"
61,Senior UI Artist,Playdawn Consulting,"Bengaluru, Karnataka",,"Fastidious attention to detail to push the visual and technical barriers further.Work with the lead artist to develop, explore and style the games user…"
62,"Mgr, Professional Services Consulting 2",Adobe,"Bengaluru, Karnataka",,Proven technical ability to understand the impact of technical changes.You will have a technical degree in a professional services’ related field as well as…
63,FX - Mikros Features,Mikros Animation,"Bengaluru, Karnataka",,Any of the following technical skills is a bonus:Should have a good balance of visual and problem-solving technical skills with regard to the production…
64,Visual Development Artist,Rockstar Games,"Bengaluru, Karnataka",,The technical ability to grasp new programs and systems quickly.This is a full-time permanent position based out of Rockstar's unique game development studio…
65,Motion Graphics Artist,YourStory,"Bengaluru, Karnataka",,"Work with editors, producers and other designers to resolve technical and/or design issues.We are looking for someone with a minimum of 5 years of experience."
66,Props Artist,Rockstar Games,"Bengaluru, Karnataka",,Pursue a high quality across technical approaches and aesthetics.The technical ability to grasp new programs and systems quickly.
67,R&D Coordinator,Technicolor,"Bengaluru, Karnataka",,"Customer support or technical support experience is an asset.We are looking for an individual with a passion for R&D, VFX processes and pipeline."
68,Customer Success Manager,Adobe,"Remote in Bengaluru, Karnataka",,"Manage product and technical queries from the customer that occur on your accounts.Captivate Prime is Adobe’s Learning Management System (LMS), and we are…"
69,"Mgr, Software Development 3",Adobe,"Bengaluru, Karnataka",,"Providing oversight, accountability, and leadership for technical decisions with a bias for action.Collaborate with product management, architects, and other…"
70,TCS Academy - Lighting,TCS Academy,"Bengaluru, Karnataka",,"They use lights to enhance the atmosphere, tone, depth and mood of a scene.When lighting for VFX, the aim is to match the 3D lights to the real-world lighting…"
