,title,company,location,salary,summary
0,Senior 3D Environment Artist,Demiurge Studios,"Boston, MA",,Collaborate with concept artists in the creation of highly specialized 3D content.Receive ongoing direction from the lead artist and creative director to…
1,Technical Designer – Procedural Level Design,CD PROJEKT RED,"Remote in Boston, MA",,"A strong technical background in scripting, visual or otherwise.Work with environment artists to develop and maintain the tools they use to get their content…"
2,Senior Environment Artist,CD PROJEKT RED,"Remote in Boston, MA",,"Strong portfolio showing stylized high & low poly modeling, texturing, and shader skills that demonstrate a high level of artistic creativity and technical…"
3,Technical Artist,GSN Games,"Remote in Boston, MA 02110",,Minimum of 3 years professional experience as a technical artist.Ensure all art assets meets the technical and creative requirements for Unity 3D.
4,Technical Game Designer,Demiurge Studios,"Boston, MA",,"Collaborate with artists, engineers, producers, QA, and team management in an iterative, agile development process.Full-time/Boston, MA/Design."
5,FA2D Visiting Artist Painting (Assistant),Massachusetts College of Art and Design,"Boston, MA",,"Please note that MassArt does not provide employment-based visa sponsorship or non-student exchange visitor visa sponsorship for administrators, managers,…"
6,"Technical Artist II, Virtual Systems",Amazon.com Services LLC,"Westborough, MA 01581",,Solving complex technical issues during development.Researching and developing technical tools for a project.Experience with Houdini or Maya.
7,Level Designer,CD PROJEKT RED,"Hybrid remote in Boston, MA",,"Our ideal candidate has a background in production level design, a solid understanding of level design principles, a strong technical background, and…"
8,newSculpture Temporary Full-Time Faculty,Massachusetts College of Art and Design,"Boston, MA+3 locations",,"In addition to the technical classes, candidate would also be asked to provide instruction and create room for discussion in classes dealing with contemporary…"
9,Metaverse UI/UX Artist,Accenture,"Boston, MA",,A UI/UX Artist who thrives on collaborating with Designers and Developers to realize and execute established UI/UX Designs by creating efficient 2D and 3D art…
10,Illustration Faculty (Part-Time),Massachusetts College of Art and Design,"Boston, MA+1 location",,Well-versed in the history of Illustration and a familiarity with contemporary illustrators and fine artists as well as the markets of illustration and/or…
11,Projectionist,Harvard University,"Cambridge, MA",,"Records spoken introductions, lectures and conversations with visiting artists and performs cleanup of digital files and creates metadata according to…"
12,newNon-Tenure Track Lecturer as Technical Director,University of Massachusetts Boston,"Boston, MA 02125 (North Dorchester area)",,Create CAD or pencil drawings of the technical designs.Educational budget as it pertains to materials for technical theatre.Position Type: Faculty Full Time.
13,Principal Tech Artist,"Take-Two Interactive Software, Inc.","Remote in Westwood, MA",,You are a master of your craft and can communicate complex technical challenges to non-technical individuals and vice versa.Experience with C++ a bonus.
14,Loeb Technician II (Stage Ops Tech),Harvard University,"Cambridge, MA",,"Ability to effectively communicate with stage management, other technicians, visiting artists and other collaborators with kindness and clarity."
15,"Technical Artist, Virtual Systems",Amazon.com Services LLC,"Westborough, MA 01581+1 location",,Solving complex technical issues during development.Researching and developing technical tools for a project.Experience with Houdini or Maya.
16,Lead Level Designer,CD PROJEKT RED,"Boston, MA",,"Our ideal candidate has a background in production level design, a solid understanding of level design principles, a strong technical background, familiarity…"
17,Graphic Artist,"Odyssey Systems Consulting Group, Ltd.","Remote in Lexington, MA",,"Professional experience in a technical research environment and a proven ability to work with technical subject matter experts to turn written, numerical, and…"
18,Graphic Artist,P3I Incorporated,"Hybrid remote in Lexington, MA",,We are looking for someone with professional experience in a technical research environment and a proven ability to work with technical subject matter experts…
19,Senior Technical Artist (Potential for remote work),Demiurge Studios,"Remote in Boston, MA",,"5+ years games industry employment in a technical artist role.Create and maintain technical documentation.Work closely with designers, 3D art, VFX, animation…"
20,"Creative Director, Birch Lane Imagery",Wayfair,"Boston, MA",,"In 2D, you know and understand the roles that stylists and photographers play and can direct and collaborate with both."
21,AI Programmer – PROC GEN,CD PROJEKT RED,"Boston, MA",,"Follow the standards set by the technical director.Design, build out and maintain a suite of authoring tools and pipelines, which allow designers and artists…"
22,FA2D Painting/Printmaking Faculty (Assistant Professor),Massachusetts College of Art and Design,"Boston, MA+2 locations",,"Please note that MassArt does not provide employment-based visa sponsorship or non-student exchange visitor visa sponsorship for administrators, managers,…"
23,Woodshop Studio Manager,The Trustees of Tufts College,"Boston, MA 02115 (Fenway-Kenmore area)+1 location",,"The Studio Manager provides technical support, consultation, and training to faculty and students with complex and technically advanced projects from initial…"
24,Interim Assistant - College and Visiting Events,Massachusetts College of Art and Design,"Hybrid remote in Boston, MA",,"Please note that MassArt does not provide employment-based visa sponsorship or non-student exchange visitor visa sponsorship for administrators, managers,…"
25,Sound Engineer - Paradise Rock Club,Live Nation,"Boston, MA 02210 (South Boston area)",,Assist the Production Manager with the technical advance with Artists representatives.Performs the Load-in & Out of band equipment and rental equipment.
26,newApplication Support Specialist,Formlabs,"Remote in Somerville, MA",,Responsible for monitoring and responding to service requests submitted through an incident management system (JIRA).
27,newC++ Software Engineer (Desktop),Formlabs,"Somerville, MA",,"Ready to collaborate with a wide range of technical disciplines, including Software, Hardware, and Design teams."
28,Graphic Designer,Massachusetts General Hospital(MGH),"Boston, MA 02114 (West End area)",,"Advanced technical design skills across media.Curate and maintain vendor relationships for printers, illustrators and artists as resources."
29,newChief of Public Safety Department,Massachusetts College of Art and Design,"Boston, MA",,"Please note that MassArt does not provide employment-based visa sponsorship or non-student exchange visitor visa sponsorship for administrators, managers,…"
