,title,company,location,salary,summary
0,Teaching Artist,Grant Park Music Festival,"Chicago, IL",,"Maintain inventory of musical instruments, craft supplies, technical equipment as needed for Classical Campers programming.$18/hour; 20 - 25 hours per week."
1,newPART-TIME RETAIL ASSOCIATE,Local Eclectic,"Chicago, IL 60607 (Near West Side area)",,"Troubleshoot technical issues if needed.During this pop up, we will be servicing customers for permanent bracelets.Perform inventory checks and cycle counts."
2,new3D Artist I,Elkay Manufacturing,"Oak Brook, IL 60523",,Support product initiatives through 3D imagery.Build and edit 3D products and environments using an experienced understanding of 3ds Max and visual…
3,Technology Support Specialist (Part-Time),Live Nation,"Chicago, IL 60601 (The Loop area)",,"The Field Operations Technology is a solutions-driven team focused on providing high-levels of client satisfaction, technical support, and installations…"
4,3D Game Artist,GAMEVISION,"Naperville, IL",,"Create 3D models (modeling, texturing, and rigging) in diverse styles for real-time rendering within the technical restrictions of the hardware."
5,Junior 3D Environment Artist,Incredible Technologies,"Lincolnshire, IL 60069",,"This role requires coordination with the art director, game designer, level designer, and fellow artists to create a wide variety of game-ready assets to build…"
6,Senior Concept Artist,peoplecanfly,"Remote in Chicago, IL",,Review and feedback on work produced by external artists.Mentor less experienced artists and lead by example with organised workflows and efficient processes.
7,UI Artist,Phosphor Studios,"Chicago, IL",,"Demonstrates strong technical and problem-solving abilities.Holds a degree in human-computer interaction, graphic or interactive design, or the equivalent…"
8,Studio Artist / Designer,Designory,"Chicago, IL",,This position will require a blended skill set and a passion for creative problem solving and technical execution.Your input will be expected and appreciated.
9,"Artist, FX",WarnerMedia,"Chicago, IL",,This is an individual contributor position that designs and creates FX work for assigned aspects of products with a focus on technical trouble-shooting and…
10,Security Lead,The Emily Hotel,"Chicago, IL",,"Take an active role in the implementation of the hotel’s fire plan including the General Communication Center, the Command Post, all technical equipment, and…"
11,Coordinator,The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)",,"As part of a collaborative Advancement Operations team, and under the direction of the Director, Advancement Operations, the Advancement Operations Coordinator…"
12,Fulfillment and Data Specialist,The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)",,"As part of External Affairs, Advancement Operations processes and ensures the accurate allocation of tens of thousands of gift and membership transactions every…"
13,Associate Director,The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)+1 location",,"External Affairs provides the revenue, engagement, and communication that support the museum’s mission.External Affairs staff build and invest in a culture of…"
14,Chicago Technology Consulting Consultant - 2022,Protiviti,"Chicago, IL 60606 (The Loop area)",,Ability to convey complex technical security concepts to technical and non-technical audiences.Fundamental knowledge of process reengineering and methodologies…
15,Studio Artist / Designer,Designory,"Chicago, IL",,This position will require a blended skill set and a passion for creative problem solving and technical execution.Your input will be expected and appreciated.
16,Head of Wardrobe,Hubbard Street Dance Chicago,"Chicago, IL 60607 (Near West Side area)+1 location",,Superior relationship building and interpersonal skills that allow the individual to function in a variety of settings among widely different groups of artists…
17,Technology Support Specialist (Part-Time),Live Nation,"Chicago, IL 60601 (The Loop area)",,"The Field Operations Technology is a solutions-driven team focused on providing high-levels of client satisfaction, technical support, and installations…"
18,Alternative & Emerging Fuels Technical Service Line Lead,HDR,"Chicago, IL",,Assume leadership responsibilities for large multidisciplinary alternative & emerging fuels programs with a high-degree of technical complexity.
19,Associate Director,The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)+1 location",,"External Affairs provides the revenue, engagement, and communication that support the museum’s mission.External Affairs staff build and invest in a culture of…"
20,Motion Graphics Artist,3Q Digital,"Hybrid remote in Chicago, IL 60602",,And independently to provide creative/technical solutions to problems.You have a firm understanding of the creative and technical aspects of motion graphics…
21,newSEASONAL Sound Designer/Mentor,Columbia College Chicago,"Chicago, IL 60605 (South Loop area)",,"Bachelor’s in technical theatre with three years' experience in sound design and supporting live performance.This is a seasonal, part-time role."
22,Coordinator,The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)",,"As part of a collaborative Advancement Operations team, and under the direction of the Director, Advancement Operations, the Advancement Operations Coordinator…"
