,title,company,location,salary,summary
0,newLighting and Compositing Artist (Kamp Koral),Nickelodeon Animation,"Burbank, CA 91502+1 location",,Having a CG generalist and digital problem-solving skillset is a big plus.Illustration and digital painting skills are a great addition.
1,Stereoscopic Final Color Artist,Walt Disney Animation Studios,"Burbank, CA",,Work directly with Stereo Supervisor and peers to create immersive and comfortable 3D images in support of the story.Knowledge of rendering and compositing.
2,newAssociate Artist,Activision,"Santa Monica, CA+7 locations",,"0 - 2 years of relevant industry experience · Proficient with industry standard design tools (e.g. Photoshop, Illustrator, InDesign) · Problem-solving skills…"
3,Technical Artist,Snapchat,"Los Angeles, CA 90291 (Venice area)+1 location",,Develop tools and workflows to increase artist productivity.Collaborate with rendering engineers and designers to implement new graphics features and create…
4,"newArtist, Game Capture",Blizzard Entertainment,"Santa Monica, CA 90405+1 location",,"Strong technical and troubleshooting skills.Troubleshoot technical issues, including builds, PC workstations, dev kits etc."
5,Shading Technical Artist,Singularity 6,"Los Angeles, CA 90064 (Sawtelle area)+2 locations",,Collaborate with engineers and other technical artists to develop a full shading pipeline for various cosmetic items.Experience with Unreal Editor 4.
6,Previs Artist,Pure Imagination Studios,"Van Nuys, CA+2 locations",,Strong artistic and technical skills.Previs is a key component of the creative visual storytelling process.Previs Artists will receive storyboard animatics of…
7,3D Environment Artist,Singularity 6,"Los Angeles, CA 90064 (Sawtelle area)+1 location",,"Create environments from whitebox to final shipping quality.Worldbuild a variety of areas within the game with an eye for aesthetics, narrative, and the…"
8,Project Based Digital Artist,Madison Square Garden Entertainment,"Burbank, CA 91523+1 location",,Ideal candidates are highly adaptable digital artists with very strong technical and design problem solving skills.
9,Look Development Artist,Walt Disney Animation Studios,"Burbank, CA+3 locations",,Strong technical skills toward achieving an art-directable aesthetic.Work closely with asset supervisors and production designers to develop the look of the…
10,DreamWorks TV - Animation Artist,NBCUniversal,"Glendale, CA+4 locations",,"Solid technical understanding of models and rigs.At DreamWorks Animation Television, our Animation Artists provide noted direction for our Partner Studio(s) to…"
11,3D Artist - Bitmoji,Snapchat,"Los Angeles, CA 90291 (Venice area)",,"Work closely with concept and design artists, character riggers, animators, and other 3D artists.Help to collaborate and problem solve any technical…"
12,Senior Production Artist,City National Bank,"Los Angeles, CA",,"Other technical duties can include scaling, cropping, retouching, repositioning and preflighting of multichannel assets to support client journeys and campaigns…"
13,"newCapture Tech, Game Capture",Blizzard Entertainment,"Santa Monica, CA 90405",,Strong technical and troubleshooting skills.Be an expert on the technical side of builds and getting kits setup and ready for a shoot.
