,title,company,location,salary,summary
0,Technical Artist,Sharkmob,London WC2N,,Proven technical art experience on current-gen platforms.How to create positive and effective working relationships with outsourcing studios and external…
1,Real-Time Technical Artist,The Third Floor,London WC2A,,The ideal candidate will come with extensive Unreal Engine (and preferably another game engine e.g. Unity) experience.
2,Technical Artist,Untold Studios,London EC1Y,,"To do this, you will have a solid understanding of lighting, particle systems, post-processes, material setup, blueprint scripting and general workflows in…"
3,newConcept Artist,Splash Damage,London BR1,,"From initial speed sketches, through to product-defining visuals – developing imaginative visual solutions for the various aesthetic, technical, design &…"
4,Technical Artist,Mustard Jobs,London,"£45,000 a year","As a Technical Artist, you'll set-up assets in Unreal Engine, provide technical support to art and animation in Blender and Unreal Engine, maintain a…"
5,"VFX Technical Assistant (Python) London, United Kingdom",Industrial Light & Magic,London,,This is an exciting opportunity for a technical graduate who enjoys problem-solving and a passion for cutting edge technology to contribute across all aspects…
6,Nuke Artist,Saddington Baynes,London,,"Assist in mentoring and training of junior artists.Comfortable working with clients, have a keen eye for detail, excellent communication skills and technical…"
7,Senior Technical Artist,Sharkmob,London WC2N,,You have proven technical art experience on current-gen platforms.Maintain the great communication between Sharkmob London and Malmö teams.
8,Senior Technical Artist,Tripledot Studios,London,,"Supporting and mentoring game artists on technical issues.Experience working closely with programmers, and the ability to communicate technical information to…"
9,"Technical Artist, Avatars",Meta,London,,Experience communicating across team members including engineers and artists.You will work closely with other technical artists and collaborate with world…
10,"Technical Artist, Work Experiences",Meta,London,,Develop broad technical expertise to assist in a wide variety of technical and artistic tasks.Confident in communicating across team members including…
11,"3D Environment Artist, Work Experiences",Meta,London,,Work with engineers and technical artists to build tools and support for asset creation pipelines.Develop broad technical expertise to assist in a wide variety…
12,(Senior) Technical Artist,Omeda Studios,Remote in London SW1A,,"Have strong technical problem-solving skills that allow for quick project execution.Work with artists to create materials, textures, and shaders for Character…"
13,Unreal Engine Technical Artist,DNEG,London W1W,,"Familiarity working collaboratively on projects with other artists and programmers using a source control system, e.g. perforce or equivalent (git, SVN etc.)."
14,Motion Graphics Artist,Corsair,St Albans,,Supports the technical and product marketing teams and works within the Content team to deliver world class 3D assets.Microsoft package skills a must.
15,Technical Artist,Allen Recruitment Consulting,Remote in London,,Develop broad technical expertise to assist in wide variety technical and artistic tasks.Optimize content through enhancing performance and instructing the…
16,VFX Artist | CFX,Untold Studios,London EC1Y,,You can balance the desired level of aesthetic quality with technical accuracy & often explore different approaches to interpret complex creative briefs.
17,VFX Artist | Compositor,Untold Studios,London EC1Y,,"Compositors seamlessly integrate all the layers or elements of a shot, including live-action and CG elements.You take ownership of your workload from the start…"
18,Senior Technical Artist,Mediatonic,London,,"Work closely with artists, technical artists and engineers, agreeing approaches and work split in the creation of best-in-class 3D content within technical…"
19,Technical Artist (VP) UK,disguise,London,,Ability to communicate complex technical issues to engine developers and product managers.Provide technical art support to internal projects ranging from…
20,Technical Artist,Morgan McKinley,London,,Develop broad technical expertise to assist in a wide variety technical and artistic tasks.Ability to articulate complex technical concepts in a simple manner.
21,Tech Nuke Compositor,Saddington Baynes,London,,"Excellent creative and technical problem solving skills.Good technical knowledge of Nuke including colour theory, gizmos and production workflows."
22,DMP/Environment Artist | London,Goodbye Kansas,Temporarily Remote in London W1F,,Ability to collaborate with and work with a team of artists.You need to be able to follow the creative vision of directors and supervisors and provide creative…
23,DMP/Environment Artist,Goodbye Kansas Studios,London,,Ability to collaborate with and work with a team of artists.You need to be able to follow the creative vision of directors and supervisors and provide creative…
24,FX Artist,RISE FX,London,,Efficiently working under the direction of VFX + CG supervisor’s creative and technical briefings.5+ years of experience with Houdini.
25,Senior Flame Artist [Advertising & Branded Content] Ref: SET...,SOHO Editors,London,,Our client is looking to expand their VFX department with the addition of a senior flame artist.Building long lasting and trusted relationships with both…
26,Environment Artist,Mustard Jobs,London,"£55,000 a year","3+ years experience as an Environment artist in game development (with released console, VR or PC titles).A solid understanding of Unreal Engine (this is an…"
27,"Pipeline Technical Director London, United Kingdom",Industrial Light & Magic,London,,"The Pipeline Technical Director is responsible for developing and maintaining the VFX production pipeline, and ensuring it is running smoothly and efficiently."
28,"3D Artist, Avatars",Meta,London,,"Conceptualize, present and execute ideas within time and technical constraints while actively participating in artistic, creative and technical, problem-solving…"
29,PIPELINE TECHNICAL DIRECTOR,Absolute,Remote in London W1F,,"Provide technical advice and support for artists.As well as being able to demonstrate technical skill and initiative, you will need to be an excellent…"
30,CFX Artist (DNEG Animation),double negative visual effects,London,,You will create and run simulations for hair/cloth/fur using Maya/Houdini and work collaboratively with your team as well as other departments to find the best…
