,title,company,location,salary,summary
0,Production Artist - Remote optional,MMI Agency,"Remote in New York, NY",,The ideal candidate for this position possesses a mix of both creative and technical skills and is meticulous and goal oriented with a keen eye for the smallest…
1,newCuratorial Assistant,The City University of New York (CUNY),"New York, NY",,"Assists exhibit designers, artists, and curators in the preparing and installing works for viewing; serves as liaison to tradespeople and others involved in…"
2,newAssociate CAD Artist,Talbots,"New York, NY",,Associate CAD Artist is responsible for executing technical print packages for overseas factory pass off and works closely with the Manager of CAD to assist in…
3,newTechnical Artist / 3D Generalist,Invonto,"New York, NY",,"3+ years of experience as technical artist creating realistic characters, environments, virtual spaces, and 3D objects."
4,"newTechnical Recruiter, Cash App",Cash App,"Remote in New York, NY",,"Experience recruiting for a variety of technical roles (e.g. Machine Learning, Data Science, Mobile Engineering, UI Engineers, Design, Product Managers, etc.)."
5,newMultimedia Production Representative 2,"General Services, Office of","Albany, NY 12242 (Central Avenue area)",,Review technical riders and advance technical equipment and services with contracted performing artists management and successful third-party technical services…
6,"Trends and Future Forecaster, Innovation + Market Intelligen...",Spotify,"New York, NY",,"As such, we are seeking an “ambidextrous” individual who can move fluidly between their left and right brain to balance user and market research, creative…"
7,newCaricature Artist,Six Flags Darien Lake,"Darien Center, NY 14040",,"Design and create art products on park guests while demonstrating impeccable product knowledge, determining guests’ needs by actively engaging them in…"
8,Audio Engineer- Irving Plaza,Live Nation,"New York, NY+1 location",,Assist the Production Manager with the technical advance with Artists representatives.Performs the Load-in & Out of band equipment and rental equipment.
9,"Program Manager, Talk",Spotify,"Remote in New York, NY",,"Understand at a high level technical, legal, and monetization challenges and considerations, and be able to explain them in a clear way."
10,Graphic Artist,"Senate, NYS","Albany, NY 12247",,"In addition to the requirement of a Bachelor’s Degree, technical expertise is required with Adobe Creative Suite – primarily InDesign, Illustrator, and…"
11,newCAD Artist,ANN Corporate,"New York, NY 10036",,Artwork must be created for design production with technical specs as well as for visual presentations.Create technical breakdown of all pattern layout and…
12,Studio Production Artist,"ClinicalMind, LLC","New York, NY 10038 (Financial District area)",,This position requires a skill set of passion for creative problem solving and technical execution.Studio production artists are methodical and efficient by…
13,Senior Concept Artist,peoplecanfly,"Remote in New York, NY 10038",,Review and feedback on work produced by external artists.Mentor less experienced artists and lead by example with organised workflows and efficient processes.
14,Technical Recruiter,Spotify,"New York, NY",,Be responsible for the full life cycle technical recruitment for our engineering and analytics organizations.Collaborate and share knowledge and practices with…
15,newTechnical Artist / 3D Generalist,Invonto,"New York, NY",,"3+ years of experience as technical artist creating realistic characters, environments, virtual spaces, and 3D objects."
16,"Senior Technical Recruiter, Leadership Recruiting",Spotify,"Remote in New York, NY",,Be a trusted talent acquisition advisor to senior leadership with a continuous pulse on the candidate landscape for key areas of hire.
17,newAssociate CAD Artist,Talbots,"New York, NY",,Associate CAD Artist is responsible for executing technical print packages for overseas factory pass off and works closely with the Manager of CAD to assist in…
18,"Trends and Future Forecaster, Innovation + Market Intelligen...",Spotify,"New York, NY",,"As such, we are seeking an “ambidextrous” individual who can move fluidly between their left and right brain to balance user and market research, creative…"
19,Audio Engineer- Irving Plaza,Live Nation,"New York, NY+1 location",,Assist the Production Manager with the technical advance with Artists representatives.Performs the Load-in & Out of band equipment and rental equipment.
20,"Operations Program Manager, Music Labels, YouTube",YouTube,"New York, NY",,"You will collaborate with teams of music publishers, record labels, collection societies, and artists to help develop businesses and content on our platform."
21,Librarian for Performing Arts,New York University,"New York, NY 10012 (Greenwich Village area)+1 location",,"This tenure-track faculty position leads efforts to support teaching and learning, research, scholarship, and creative and artistic activities through building…"
22,Production Coordinator- Gramercy,Live Nation,"New York, NY",,Advance technical and Hospitality details for shows/events along with the Production Manager.Must Ensure positive and creative environment for the Production…
23,"newProduct Manager, Podsights",Spotify,"Remote in New York, NY+2 locations",,"You have experience translating raw data sources into compelling, actionable insights for partners, and can explain your efforts easily to internal and external…"
24,"Assistant, Production Artist",Centric Brands,"Hybrid remote in New York, NY 10118",,"Provide technical callouts on art embellishments including embroideries, direct screen prints, appliques and fabric prints.Knowledge of Lotta Browzwear a plus."
25,Graphic Artist,itandi group,"New York, NY",,Candidates will need to provide technical direction and scheduling information to related production groups and will be held accountable for the technical…
26,"UX Writer, Talk",Spotify,"Remote in New York, NY",,"Come help us build the future of audio creation.We are looking for a UX Writer to partner with design, product, research, and engineering to create and…"
27,"Coordinator, Music Programming- Part-Time",SiriusXM,"New York, NY 10017 (Midtown area)",,"Exercises both creative abilities and technical skills.May act as liaison to music artists during celebrity visits and communicates with music labels, as…"
28,Studio Assistant,School of Visual Arts,"New York, NY 10010 (Gramercy area)+1 location",,Ability to troubleshoot technical issues when shooting tethered.Ability to troubleshoot technical and/or mechanical issues with cameras and photo studio…
29,AEM Technical Consultant,Adobe,"New York, NY",,CSEs are assigned as a designated technical operation advisor to 5 to 7 customers who are using Adobe Experience Manager and other digital marketing products.
30,"Beta Operations Manager, Customer Success",Square,"New York, NY",,Knowledge of beta management workflows and the technical aspects preferred.Experience with data governance initiatives (business and technical metadata and…
31,Customer Experience Architect,Adobe,"New York, NY",,"Conduct business and technical discovery with customers.Digital marketing is advancing at a dizzying pace and companies are turning to the Adobe, the leader in…"
32,newAudio Visual Coordinator — New York,Asia Society,"New York, NY 10021 (Upper East Side area)",,"Assist in the review of technical documentation,.Production, technical background, and experience.Its events department to support the AV Systems and."
33,2D lead artist,ARTJAIL,"New York, NY",,"Clearly recognizable talent for creative, artistic and technical pursuits.The lead is responsible for the overall quality, consistency and technical execution…"
34,newTechnical Program Manager - Square eCommerce,Square,"New York, NY",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…"
35,Recruitment Coordination Team Lead,Spotify,"Remote in New York, NY",,"Lead 6+ Recruiting Coordinators in the US who support technical recruiters and sourcers, removing day-to-day blockers, assessing performance, and coaching for…"
36,"Manager, Initiatives, Procure to Pay",Spotify,"New York, NY",,"Assist in defining project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility on an as needed basis."
37,"newCustomer Success Manager, Document Cloud",Adobe,"New York, NY",,Strong and proven track record of successfully managing customer relationships and technical projects.Customer Success Managers (CSM) own the post-sales…
38,"Coordinator, Music Programming- Part-Time",SiriusXM,"New York, NY 10017 (Midtown area)",,"Exercises both creative abilities and technical skills.May act as liaison to music artists during celebrity visits and communicates with music labels, as…"
39,"Operations Program Manager, Music Labels, YouTube",YouTube,"New York, NY",,"You will collaborate with teams of music publishers, record labels, collection societies, and artists to help develop businesses and content on our platform."
40,"Product Designer, Online Checkout",Square,"New York, NY",,"You will also partner with product and engineering teams to set a long-term design vision for how we extend technical capabilities to new internal, developer,…"
41,Lighting and Sound Supervisor,Nazareth College,"Rochester, NY",,Primary technical contact for Callahan Theater.Primary venue technical contact for the Theatre & Dance Department.Microsoft Office Suite | Intermediate.
42,Graphic Artist,itandi group,"New York, NY",,Candidates will need to provide technical direction and scheduling information to related production groups and will be held accountable for the technical…
43,Studio Assistant,School of Visual Arts,"New York, NY 10010 (Gramercy area)+1 location",,Ability to troubleshoot technical issues when shooting tethered.Ability to troubleshoot technical and/or mechanical issues with cameras and photo studio…
44,Line Producer for CNN Courageous (Temporary),WarnerMedia,"New York, NY",,"You're an organized, disciplined industry vet with in-depth knowledge of scheduling and budgeting and all of the physical and technical processes of filmmaking."
45,GENERAL MANAGER,Second Stage Theater,"New York, NY 10036 (Hell's Kitchen area)",,Select outside vendors for artists housing and transportation.General understanding of technical aspects involved in box office/ticket services.
46,"Product Manager, Artist Promotion Machine Learning",Spotify,"Remote in New York, NY+3 locations",,Our native marketing tools play an essential role in artist development by enabling artists to find new listeners and activate existing fans to grow their…
47,"Technical Manager, Automation, Business Operations",Spotify,"Remote in New York, NY",,Strong verbal and written communication skills with the ability to effectively communicate across a broad range of technical and non-technical people.
48,Technical Director/Scene Shop Supervisor,Nazareth College,"Rochester, NY",,Professional and educational environments as a technical director.A terminal degree in technical theatre is preferred.
49,African American Dancers,Ruddur Dance,"New York, NY",,"Applicants should be prepared to work at a high technical and artistic level, be a responsible group member, and be open to working collaboratively with fellow…"
50,Service Designer,NYC Careers,"Bronx, NY",,"Ability to understand technical complexity and risks, run collaborative design activities, influence senior leaders and others."
51,"Equity, Diversity & Inclusion Student Success Librarian – Bo...",Greater New York Metropolitan Area Chapter,"Remote in New York, NY",,"This tenure-track faculty position leads efforts to support teaching and learning, research, scholarship, and creative and artistic activities through building…"
52,Technical Account Manager,Live Nation,"New York, NY",,"Support technical developments, upgrades, and migrations in line with both internal and external business and technical roadmaps in partnership with Product…"
53,Production/Stage Manager,Nazareth College,"Rochester, NY",,"Develop and maintain departmental production calendar, assign and reserve rehearsal spaces, set design & production meetings and deadlines, create rehearsal,…"
54,"Partner Technology Manager, YouTube Music",Google,"New York, NY (Chelsea area)",,Apply technical and project management skills to make sense of data while increasing YouTube’s value to music creators all over the globe.
55,NFT Project Manager,LiveArt,"New York, NY",,"Execute the NFT strategy by coordinating with internal and external artists, storytellers, and any other stakeholders required."
56,Account Manager,On The Stage,"Remote in New York, NY 10019",,"Willing to dive into technical details of a product to understand it thoroughly.This is a Mid-Level position that does require experience, preferably in…"
57,"Adjunct Faculty - Architecture, Computational Technologies",New York Institute of Technology,"Old Westbury, NY 11568",,"New York Institute of Technology's six schools and colleges offer undergraduate, graduate, and professional degree programs in in-demand disciplines including…"
58,Production Manager,The New Group,"New York, NY 10036 (Hell's Kitchen area)",,"Familiarity with scenic drafting and building techniques; technical direction experience is a plus.Communicate between creative teams, technicians, and general…"
59,AEM Technical Consultant,Adobe,"New York, NY",,CSEs are assigned as a designated technical operation advisor to 5 to 7 customers who are using Adobe Experience Manager and other digital marketing products.
60,Production Coordinator- Gramercy,Live Nation,"New York, NY",,Advance technical and Hospitality details for shows/events along with the Production Manager.Must Ensure positive and creative environment for the Production…
61,MAINSTAGE SEASON PRODUCTION OPPORTUNITIES,Bay Street Theater,"Sag Harbor, NY 11963",,"The ATD must be proficient in Vectorworks or AutoCAD, and experienced in creating technical build drawings.The BST mainstage season features the mounting of 3…"
62,"UX Writer, Talk",Spotify,"Remote in New York, NY",,"Come help us build the future of audio creation.We are looking for a UX Writer to partner with design, product, research, and engineering to create and…"
63,"Music Publishing Partner Engineer, YouTube",YouTube,"New York, NY",,"Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.Our team of Partner Technology Managers, Solutions…"
64,Digital Production Designer,MMI Agency,"New York, NY",,"Interpret project briefs and take initiative to ask clarifying questions if needed.Collaborate closely with art directors, designers and developers."
65,"Engineering Manager, Mobile App Performance",Spotify,"Remote in New York, NY",,Support timely delivery of technical solutions to address business needs.You have experience working with a diverse set of stakeholders and helping them…
66,newTechnical Product Manager - Blockchain,"JPMorgan Chase Bank, N.A.","New York, NY",,"The Blockchain Launch team leads efforts for Distributed Ledger Technology applications & Cryptocurrencies, actively developing blockchain use cases and in…"
67,"Data Scientist, Growth, Talk",Spotify,"Remote in New York, NY+6 locations",,"Conduct analysis of large datasets, extracting insights that will drive growth strategy and business decisions."
68,newTechnical Writer,HDR,"New York, NY",,"Working with technical staff to develop content for qualifications, proposals, and reports, we’ll count on you to:"
69,Network Administrator,UBS Arena,"Elmont, NY",,Protect networks from unauthorized users through physical and technical means.The Network Administrator reports directly to the Manager of Technology.
70,Adjunct Instructor-Film,New York Institute of Technology,"New York, NY 10023 (Upper West Side area)",,This is a hands-on production course that explores the creative potential and technical challenges of basic HD video acquisition working in a film style…
71,"Senior Technical Product Manager, Forecasting & Reporting",Spotify,"Remote in New York, NY+1 location",,We are looking for an analytical and creative Senior Technical Product Manager to work on forecasting & Reporting for podcast advertising inventory on Megaphone…
72,"Senior Business Intelligence Analyst, Personalization",Spotify,"Remote in New York, NY+1 location",,"You will be a professional in insights storytelling, communication and visualization and know how to create action from metrics."
73,Design Lead,NYC Careers,"Brooklyn, NY+1 location",,"High school graduation or equivalent and two years of training in an approved technical school in oils, water colors, painting, design, black and white, layout…"
74,"Engineering Manager, Advertising Technology",Spotify,"Remote in New York, NY",,"Grow the technical expertise of your team around quality, scalability, performance, and fault tolerance using state of the art tools."
