,title,company,location,salary,summary
0,"Sr Concept Artist, New World",Amazon.com Services LLC,"Seattle, WA+1 location",,"We are looking for artists who can communicate effectively, problem solve, and raise the project’s technical and visual standards.A day in the life."
1,newRetail Space Illustrator / SketchUp Artist (Contract),RUN Studios,"Seattle, WA 98101 (Downtown area)",,The artist will leverage existing SketchUp models as well as create new ones to complete their projects.The artist places sketches of the recommended furniture…
2,Technical Artist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"5+ years technical artist experience working with Unity or an equivalent engine to design user interfaces for games, interactive experiences, and/or apps."
3,"Sr. Character Technical Artist, Amazon Game Studios - New Wo...",Amazon.com Services LLC,"Seattle, WA+3 locations",,Experience collaborating closely with technical teams.Provide technical support for a variety of disciplines focusing on rigged content.
4,Environment Artist,ProbablyMonsters,"Bellevue, WA 98008 (Eastgate area)+1 location",,Troubleshoot technical and artistic issues and maintain an awareness of level performance during development.You have shipped at least one AAA game.
5,Principal Technical Artist (Star Wars Jedi Team),Electronic Arts,"Seattle, WA 98121 (Denny Triangle area)+1 location",,Prior experience as a high-level technical artist on a AAA game team and at least one AAA shipped title is highly desirable.
6,3D Environment Material Artist,Microsoft,"Redmond, WA 98052 (Overlake area)",,2+ years’ experience and/or at least 1 AAA shipped titles contributing as a material or texture artist.This position requires access to export-controlled…
7,"Weapons Artist, Amazon Games",Amazon.com Services LLC,"Seattle, WA+5 locations",,"Excel at consistent aesthetic and technical quality throughout the asset pipeline.Ability to work creatively as part of a larger group of artists, game…"
8,Technical Artist,ArenaNet,"Bellevue, WA+1 location",,Ability to create artist tools that increase quality of art assets and streamline productivity.Collaborate with artists to understand their needs and improve…
9,Artist II (NST),Nintendo of America Inc.,"Redmond, WA+2 locations",,Proven artistic and technical skills in 3D art production.Creates a variety of 3D character content that meets required direction and quality specifications.
10,Concept Artist,Meta,"Seattle, WA 98109 (South Lake Union area)",,"Define and evolve artistic direction, vision and high production standards within the team in direct collaboration with creative, technical and production…"
11,Environment Artist,BIGBOX VR,"Seattle, WA",,"Make art and technical trade-offs that align with business objectives.Develop new environment ideas that fit within conceptual designs, technical parameters,…"
12,Senior Environment Tech Artist - Halo Infinite,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Additionally, provide technical reviews and guidance for best practices on performance and procedures for environment artists."
13,newSenior Technical Artist,West CAP,"Seattle, WA",,Provide and maintain technical documentation.Provide technical support for a variety of disciplines focusing on rigged content.
14,Senior Technical Artist,ArenaNet,"Bellevue, WA",,Ability to create artist tools that increase quality of art assets and streamline productivity.Collaborate with artists to understand their needs to improve…
15,Lead Technical Artist,ProbablyMonsters,"Bellevue, WA 98008 (Eastgate area)",,Provide requirement definitions and feature breakdowns for development/production plans while assessing technical art risks and providing mitigation options.
16,3d ARTIST,Perilous Orbit,"Redmond, WA",,"Instruct and manage outsource artists.It's a fast-paced, tight knit team of highly skilled and experienced engineers and artists."
17,"newTechnical Program Manager, Amazon Games",Amazon.com Services LLC,"Seattle, WA",,2+ years of technical program management experience.Gather technical requirements from stakeholders and documentation.
18,Technical Artist / VFX - BigBox,Oculus,"Seattle, WA 98109 (South Lake Union area)+2 locations",,Possess the ability to solve various technical issues flexibly and quickly.Make art and technical trade-offs that align with business objectives.
19,Technical Art Director – Turn 10 Studios,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Manage and mentor a team of technical artists.The Technical Art Director is a good communicator who can provide the requisite training, documentation and…"
20,newCyber Instruction Instructor,Circadence Corporation,"Remote in Seattle, WA 98101",,"Collaborate with game designers, artists, vendors, and partners when necessary.Additionally, having a breadth and depth of technical experience in…"
21,Metaverse UI/UX Artist,Accenture,"Seattle, WA 98101 (Downtown area)",,A UI/UX Artist who thrives on collaborating with Designers and Developers to realize and execute established UI/UX Designs by creating efficient 2D and 3D art…
22,Associate Legal Counsel,Adobe,"Seattle, WA 98103 (Fremont area)",,"0-2 years of legal experience, with software and online services industry experience and/or a technical background a plus."
23,Mid - Senior Hard Surface Artist,ProbablyMonsters,"Bellevue, WA 98008 (Eastgate area)+2 locations",,Create high-quality hard surface models from block out to in-game polished assets.Work on a weapon with designers and animators to make them feel great.
24,Senior Technical Designer,Microsoft,"Redmond, WA 98052 (Overlake area)",,Collaborate with cross-discipline peers to solve technical and creative problems.Work closely with the Design and Engineering teams to remove technical…
