,title,company,location,salary,summary
0,Stagehand,Live Nation,"Silver Spring, MD",,US Concerts is seeking is seeking a Stagehand who will be responsible for ensuring the success of show and event productions by performing the technical aspects…
1,Production Assistant,Live Nation,"Washington, DC 20015 (Friendship Heights area)",,"Help shop, set up, and maintain artist Hospitality.Coordinate technical & other aspects of production with touring and house production team."
2,"Technical Game Artist (Defense/AI), Washington DC",Rhombus,"Washington, DC",,Strong experience with technical game art and design.Meeting with the design team to discuss game concepts.Contributing to the overall game design.
3,newLead Technical Artist,BlueHalo,"Hybrid remote in Rockville, MD 20855",,Assist communication between programmers and artists to meet technical goals.Provide technical solutions in collaboration with programming team.
4,Photoshop Artist - Retoucher,Radical Convergence,"Reston, VA 20190 (Sunset Hills area)",,The Photoshop Artists are ultimately responsible for the final shot composition including technical and aesthetic quality and integrity of product images to…
5,Technical Artist,"Systems Planning and Analysis, Inc.","Alexandria, VA 22311 (Alexandria West area)",,"Systems Planning and Analysis, Inc. (SPA) delivers high-impact, technical solutions to complex national security issues."
6,"Testers, Technical Writers, Configuration Managers or Graphi...",CE Science,"Columbia, MD",,"Testers, Technical Writers, Configuration Managers or Graphics Artists.All candidates must be US citizens and possess or be able to obtain a Top Secret…"
7,Production Coordinator,Live Nation,"Washington, DC 20015 (Friendship Heights area)",,Advance technical and Hospitality details for shows/events along with the Production Manager.Must Ensure positive and creative environment for the Production…
8,Graphic Artist,SM&A,"Washington, DC",,"Graphic Artist: A Graphic Artist has demonstrated experience and expertise creating compelling graphics and covers for proposals or other technical documents,…"
9,Assistant Technical Director,The Studio Theatre,"Washington, DC 20005 (Logan Circle area)",,"Additionally, this position will represent the department for technical needs on event rentals and special presentations hosted at Studio Theatre."
10,Technical Support Engineer,Adobe,"McLean, VA 22102",,Proficient in technical problem-solving methodologies.Work high priority technical incidents and critical outages.
11,Graphic Artist,"HRS Consulting, Inc.","Washington, DC 20571 (Downtown area)",,"Expertise and technical knowledge in planning, designing, and producing graphic exhibits in physical and electronic form.U.S. Citizen or Green Card Holder."
12,"newAssociate Producer, Fantasy Sports Radio – Part-Time",SiriusXM,"Washington, DC 20001 (Shaw area)+3 locations",,"Exercises both creative abilities and technical skills.Comfortable working with talent, artists and high profile individuals."
13,Graphic Artist,Ho-Chunk,"Springfield, VA",,Ability to follow technical direction.All Native Group is looking for a graphic artist to support a courseware production team to design and develop graphic…
14,Arts Positions - Seasonal,The Maryland-National Capital Park and Planning...,"Prince George's County, MD+1 location",,College degree or technical certification and experience required.Qualified artists to teach visual and performing arts classes.
15,newJunior Project Manager,NJI MEDIA,"Remote in Alexandria, VA 22314",,Familiarity with website development project processes (mainly WordPress) and the ability to “get smart” quick on working with technical team members.
16,Arts Positions - Seasonal,The Maryland-National Capital Park and Planning...,"Prince George's County, MD+1 location",,College degree or technical certification and experience required.Qualified artists to teach visual and performing arts classes.
17,Assistant Technical Director,The Studio Theatre,"Washington, DC 20005 (Logan Circle area)",,"Additionally, this position will represent the department for technical needs on event rentals and special presentations hosted at Studio Theatre."
18,"Theatre Assistant, On-Call",Prince George's Community College,"Largo, MD 20774",,Provide technical and logistical support to the events in the Center for Performing Arts.Assist and perform in facilitating student learning and supervise…
19,"Software Engineering Manager, Payment Platform",Square,"Washington, DC 20005 (Downtown area)",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…"
20,"newAssociate Producer, Fantasy Sports Radio – Part-Time",SiriusXM,"Washington, DC 20001 (Shaw area)+3 locations",,"Exercises both creative abilities and technical skills.Comfortable working with talent, artists and high profile individuals."
21,"Sr. Director, Technical Delivery Excellence",Live Nation,"Remote in Chantilly, VA",,"Experience as a technical delivery manager, technical program manager, or similar within technical teams.Define and implement common planning practices across…"
