,title,company,location,salary,summary
0,newSr. UX Designer,THE TSAC,"Bengaluru, Karnataka","₹16,00,000 - ₹32,00,000 a year",Design and manage all interaction design activities including visual design co-ordination with global designers.CORE UX EXP - 5 YRS *.
1,"newUX Designer, Google Assistant",Google,"Bengaluru, Karnataka",,"Bachelor's degree in Human Computer Interaction, Design, UX, a related field, or equivalent practical experience.8 years of experience in UX Design."
2,UX Designer,medwhiz Educare pvt ltd,"Bengaluru, Karnataka","₹3,82,811 - ₹15,58,776 a year","*Minimum 1+ years of proficient in working with Figma, Adobe XD, Sketch and/or equivalent prototyping tools*.*Taking design briefs to understand requirements*."
3,UX Designer,f1studioz,"Bengaluru, Karnataka","₹5,00,000 - ₹12,00,000 a year",UX Designers at f1 should combine innovation and technology in a creative way to help the Client & Internal team craft competitive products.Plus to have a B.
4,UX Designer,AntWak,"Remote in Bengaluru, Karnataka","₹15,00,000 - ₹16,00,000 a year","Work closely with designers and engineers to conceptualize the interface & visual style, define the art pipeline, define the experience and create fun,…"
5,UX Designer,Unikwan Innovations,"Bengaluru, Karnataka","₹7,00,000 a year",A part of the bandwidth would be required for mentoring junior designers and contributing to the process as a whole.UI/UX Design: 2 years (Preferred).
6,Product Designer,Growth Bird,"Bengaluru, Karnataka","₹10,00,000 - ₹15,00,000 a year","You’ll collaborate with the Design Lead, Content Writer, Tech Team, Clients to create delightful and impactful experiences."
7,UI/UX Designer,Pi Academy,"Remote in Bengaluru, Karnataka","₹30,000 - ₹50,000 a month","Work Timings: *Saturday to Thursday (Friday day Off) 10 am to 7 pm (GMT, UK Time Zone).Conducting user research and testing."
8,newUX Designer,GSK,"Bengaluru, Karnataka",,"Experience of working collaboratively with colleagues in an agile based team, as the role will be working in multidisciplinary teams (you’ll work closely with…"
9,UX Designer,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",,Apply design thinking to deliver end-to-end user experience solutions with a focus on user needs and business goals.
10,UI/UX Designer,Torry Harris,"Bengaluru, Karnataka",,"Proven work experience as a UI/UX Designer or similar role.Team spirit, strong communication skills to collaborate with various stakeholders."
11,"newUX Designer, Amazon Pay India",APIPL - Karnataka,"Bengaluru, Karnataka",,"Collaborate with cross-functional teams like product managers, developers, and designers.Amazon is seeking a creative, thoughtful and customer-obsessed user…"
12,2022_HMI_UX_Designer_KOR_SDS,Bosch Group,"Bengaluru, Karnataka",,"The UX designer is responsible for a holistic, multidisciplinary approach to.Design user interfaces for In-Vehicle Infotainment system, defining their form,."
13,"newUX designer Bangalore, Karnataka",VMware,"Bengaluru, Karnataka",,Work hand-in-hand with product managers to define product requirements and innovate new and meaningful ways to accomplish them.Full Time/ Part Time: Full Time.
14,UX Interaction Designer,Google,"Bengaluru, Karnataka",,"Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who…"
15,UX Designer – Fresher,Bicsom,"Remote in Bengaluru, Karnataka",,"We expect you to have your domain knowledge of UX and UI, which includes, Information architecture, empathy map creation, user research, user interviews, low…"
16,UI/UX Designer,Parentheses,"Bengaluru, Karnataka","₹5,00,000 - ₹8,00,000 a year","Engage with us and coordinate goals and requirements.Create wireframes, low/high fidelity prototypes and mockups.A very good sense of design principles."
17,UX Designer,UXGURUS Consultancy,"Bengaluru, Karnataka",,"User stories, UX Research, Usability testing, client interactions, Strong communication, and presentation skills."
18,newSenior UX Designer,PeepalDesign,"Bengaluru, Karnataka","₹14,00,000 - ₹20,00,000 a year","Hands-on designer with proficiency in the latest design tools.Working experience in large teams which includes UX architects, designers, and developers."
