,title,company,location,salary,summary
0,UX Designer,Deloitte,"Boston, MA 02116 (Back Bay area)+3 locations",,"UX Lead to support front-end design of modernized screens for ACCESS website.Will work as part of cross-functional team of studio/UX, visual design, copy…"
1,newUX Product Designer,Pearson,"Boston, MA 02133 (Back Bay-Beacon Hill area)",,We’re looking for a mid-level UX Product Designer to support the design and development of a digital testing experience that directly supports learners.
2,Junior UI/UX Designer ›,GROUPVISUAL.IO,"Boston, MA 02109 (Central area)",,This is a great position for a detail-oriented designer who is passionate about creating intuitive and insightful experiences for users.
3,newService Designer,Verizon,"Boston, MA 02110 (Downtown area)",,"Working collaboratively to visualize, assess, and improve the customer and employee experience along the entire customer journey."
4,Product Designer (UX),Primacy,"Boston, MA",,"… at high and low fidelity, leveraging and influencing design systems, your visual design work is simple, thoughtful, beautiful — and usable."
5,newProgram Strategy - UX Designer,Liberty Mutual Insurance,"Boston, MA 02116 (South End area)",,"A Natural Collaborator: You will work with multiple GRS functions, including product owners, product designers, engineers, and developers throughout the product…"
6,Senior Product Designer,Drift,"Remote in Boston, MA 02116",,Drift is the Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue and increase customer…
7,UX/CX Designer,Accenture,"Boston, MA",,"Present research findings and design concepts to designers and product partners.You might be improving an existing feature, designing something totally brand…"
8,User Experience Designer,Morgan Stanley,"Boston, MA",,"Like all our designers, you'll own the experience of the product areas you work on.You have experience working closely with product managers to ship complex…"
9,UX / UI Designer and Frontend developer,Schneider Electric,"Boston, MA",,2+ years of experience as a UX / UI designer.You will be applying interactive and visual design principles on web applications for a positive and cohesive user…
10,Senior Designer,Northeastern University,"Boston, MA",,| At least 1-2 years of experience overseeing the work of other designers.The Senior Designer is a part of the Design/UX functional area of the Customer…
11,"UX Designer, Digital User Experience - Opportunity for Worki...",VMware,"Remote in Boston, MA",,"Meet your immediate team and cross-functional partners,.Get familiar with the tools and processes the design team leverages in day-to-day operations,."
12,"newProduct Designer (UX/UI) - Boston, MA",StudentUniverse,"Boston, MA",,Opportunity to build and manage a talented and creative team of product designers to deliver on projects and objectives with our product teams.
13,newSenior UX Product Designer,Pearson,"Boston, MA 02133 (Back Bay-Beacon Hill area)",,"We’re looking for an experienced Product Designer with a strong UX background.You'll partner closely with content, product, and the wider design team and will…"
14,UX/UI Designer (Remote),Brafton,"Remote in Boston, MA 02109",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
15,UX/UI Designer (Remote),Brafton,"Remote in Boston, MA 02109",,As part of Brafton’s push to produce a Content Marketing SaaS product we are adding UX/UI designer to our in-house team (so as not to denigrate past or current…
