,title,company,location,salary,summary
0,Experience Designer,Digitas,"Chicago, IL 60601 (The Loop area)",,"We are the connected marketing agency, a full-service agency with modern creative & media, data, and technology services all under one roof."
1,UX Designer,Deloitte,"Chicago, IL 60606 (The Loop area)+4 locations",,"UX Lead to support front-end design of modernized screens for ACCESS website.Will work as part of cross-functional team of studio/UX, visual design, copy…"
2,"newLead UX Designer, Tech. Exp. Design",Capital One - US,"Chicago, IL (The Loop area)",,"Collaborating with technology, product, and business teams to uncover customer and business needs — then translating them into intuitive and engaging digital…"
3,newUI/UX Design Engineer,"JPMorgan Chase Bank, N.A.","Chicago, IL",,Put your UX experience into action by designing and implementing fresh and consistent designs for our applications .Bachelor's degree or equivalent experience.
4,newUX Designer,Northern Trust Corp.,"Chicago, IL 60603 (The Loop area)",,The Northern Trust Design team is looking for a UX designer to join one of our teams focused on a product redesign and re-platform.
5,UX Designer - Core UX,United Airlines Inc.,"Chicago, IL 60601 (Loop area)+1 location",,"The United IT team designs, develops and maintains massively scaling technology solutions that are brought to life with innovative architectures, data analytics…"
6,UI/UX Designer,Red Foundry,"Chicago, IL",,The successful candidate will be responsible for designing the user experience for custom mobile apps and responsive websites for our clients.
7,newContract Digital Product Designer (Remote),Eight Bit Studios,"Remote in Chicago, IL",,"4+ years experience as a digital designer working in cross-disciplinary teams and playing a lead role on projects from start to finish, ideally with cross…"
8,"Associate, UX Designer",KPMG,"Chicago, IL 60601 (The Loop area)+3 locations",,Assist in design-related ideation of project and business goals with teammates and stakeholders.Help in creation of user experience artifacts such as…
9,newUI Designer,"Strata Decision Technology, L.L.C.","Chicago, IL 60601 (Loop area)",,"Have entire Slack conversations with other designers using nothing but custom emojis.This UI Designer role is all about solving complex problems, all the way…"
10,UX Designer Specialist,World Relief Corporation,"Chicago, IL",,"The results-driven, self-starter will help create and implement user-focused, innovative digital experience for donors and World Relief’s digital audience."
11,UI / UX Designer,Morgan Stanley,"Chicago, IL",,You will partner directly with product and tech teams to create solutions that meet mobile users’ unique needs and collaborate with other designers focused on…
12,UX Designer,ArtVersion,"Remote in Chicago, IL",,"Participate in activities from project research, planning to execution.Work on campaign communication design and visual storytelling."
13,UX/CX Designer,Accenture,"Chicago, IL",,"Present research findings and design concepts to designers and product partners.You might be improving an existing feature, designing something totally brand…"
14,UX Designer,Capgemini,"Chicago, IL 60606 (West Loop Gate area)",,About DCX – Digital Customer Experience.The Capgemini Digital Customer Experience (DCX) practice specializes in driving business value and customer engagement…
15,newProduct Designer,Thrivent,"Remote in Chicago, IL",,"1+ years of experience as an interaction designer, user interface designer, or similar roles.As a Product Designer is part of a digital product team and…"
16,User Interface Designer,Mintel,"Remote in Chicago, IL 60606",,"Work with UX designers to utilize web analytics data, consumer insights, market research, and proven user-centered design principles in the creation of user…"
