,title,company,location,salary,summary
0,UX Designer - Community,"Twitch Interactive, Inc.","Los Angeles, CA",,"Work with a development team of product managers, engineers, and designers.6 months or more industry experience in UX design or related creative discipline."
1,Product Designer (remote),Match,"Remote in Los Angeles, CA",,"As a designer on our team, you will use full stack product design skills in collaboration with Product Managers, analysts, and engineers to create, validate and…"
2,UX Designer,SM&A,"Los Angeles, CA 90010 (Windsor Square area)",,"If you were standing in front of a building that was on fire, would you rush in to save lives? When making a tough call, does your gut win over your head and…"
3,newUX/ UI Designer,Fashionphile,"Remote in Los Angeles, CA 90021",,Collaborate with other designers to maintain consistency and coherence across the products.Team Liaison - Be a trusted facilitator between all the stakeholders…
4,newUX Designer,USC,"Los Angeles, CA+3 locations",,"Works collaboratively with fellow designers, researchers, developers, business analysts, and other key stakeholders."
5,Product Designer,Pluto TV,"Los Angeles, CA 90069+1 location",,"Assist product designers and project managers by creating clickable prototypes, flow diagrams, user journeys, and articulate clear annotations to developers."
6,Senior UX Designer,Netflix,"Los Angeles, CA",,"Prototype game menus and controls using Adobe Creative Suite, Figma, Sketch, or other industry tools.Break down experiences thoughtfully considering how we…"
7,"Associate, UX Designer",KPMG,"Los Angeles, CA 90071 (Downtown area)+2 locations",,Assist in design-related ideation of project and business goals with teammates and stakeholders.Help in creation of user experience artifacts such as…
8,UI/UX Designer - Game Team,SKYDANCE,"Los Angeles, CA 90036 (Mid Wilshire area)",,Produce wireframes and information architecture that guide the user experience.Develop engaging and creative user interface designs.
9,Staff Product Designer - Opportunity for Working Remotely Lo...,VMware,"Remote in Los Angeles, CA+3 locations",,"Collaborate and engage with other designers, architects, researchers as needed.Train and onboard designers to the system guiding them to build from the system."
10,UI/UX Designer,Kinect,"Los Angeles, CA 90016",,2 years of work experience as a web designer and/or website administrator.Collaborate with management to ensure that the website aligns with brand strategy and…
11,Interface Designer,Snapchat,"Los Angeles, CA 90291 (Venice area)+1 location",,Ability to collaborate with other designers and cross-functional teams.Inc who can help take our marketing websites to the next level.
12,Instructional Designer,UCLA,"Los Angeles, CA",,"The ID will cultivate and develop course material that is innovative and engaging, ensuring continuous iterative improvement through the implementation of…"
13,UI/UX Designer,Independent Electric Vehicles,"Los Angeles, CA",,We’re looking for a highly motivated UX designer with 3+ years of experience crafting impeccable wireframes and high fidelity prototypes for web and/or mobile…
14,newDesigner – Brand Communications,Gibson Dunn,"Los Angeles, CA 90071 (Downtown area)",,"As a member of the creative services team, this role will report directly to the Design Manager.Acting as a steward of the Gibson Dunn brand."
15,newGraphic Designer,"Califia Farms, LLC","Los Angeles, CA 90013 (Downtown area)",,Over 300 full-time staff and contracted employees.They should have an understanding of the brand’s meaning and be able to create design solutions that support…
16,Instructional Designer,UCLA,"Los Angeles, CA",,"The ID will cultivate and develop course material that is innovative and engaging, ensuring continuous iterative improvement through the implementation of…"
17,Founding Product Designer,Unusual Ventures,"Hybrid remote in Los Angeles, CA",,"Arrange converts inspiration into action by offering a catalog of to-dos and reminders that users can browse, subscribe to, and seamlessly add to their…"
18,Content Designer,TikTok,"Los Angeles, CA",,"We're looking for an experienced content designer to collaborate closely with members of the TikTok Product Management, Design, Marketing, User Research,…"
19,UI/UX Designer,Kinect,"Los Angeles, CA 90016",,2 years of work experience as a web designer and/or website administrator.Collaborate with management to ensure that the website aligns with brand strategy and…
20,newDesigner (Senior),Retrospect,"Remote in Los Angeles, CA 90048",,Ability to work with non-designers and provide instruction on how to navigate design tools.Your role will be cross-functional by nature — you will work with…
21,Content Designer,Facebook App,"Los Angeles, CA+3 locations",,"You’ll be expected to design and deliver product flows, new features, in-product messaging, content frameworks, navigation, product naming and more for all…"
22,UX/UI Designer - Deloitte’s Green Dot Agency,Deloitte,"Los Angeles, CA 90013 (Downtown area)+3 locations",,A designer's eye: Must be able to translate complex concepts and interactions into visually coherent wireframes.
23,Staff Product Designer - Opportunity for Working Remotely Lo...,VMware,"Remote in Los Angeles, CA+1 location",,"Collaborate and engage with other designers, architects, researchers as needed.Train and onboard designers to the system guiding them to build from the system."
24,newSenior Product Designer - Opportunity for Working Remotely L...,VMware,"Remote in Los Angeles, CA+2 locations",,"As part of a highly collaborative group of creative problem solvers with a passion for innovation, you will build intuitive, and meaningful products in the…"
25,UI/UX Designer - Game Team,SKYDANCE,"Los Angeles, CA 90036 (Mid Wilshire area)",,Produce wireframes and information architecture that guide the user experience.Develop engaging and creative user interface designs.
26,UX/UI Designer,Impact Networking LLC,"Los Angeles, CA 90017 (Downtown area)",,"As the company expanded to Los Angeles, Impact continued their support of local teams in a sponsorship of the Los Angeles Kings and a partnership with the…"
27,"Snap Lab Product Designer, Input",Snapchat,"Los Angeles, CA 90291 (Venice area)+1 location",,"Collaborate with designers, engineers and product managers to invent the future of multi-modal input for wearable AR, from concept to launch, for existing and…"
28,UX/UI Designer,Brand Knew,"Hybrid remote in Los Angeles, CA 90025",,The ideal candidate is someone who has the ability to utilize their skills across multiple types of design needs with a focus on UI/UX.
29,UI/UX Web Designer,Absolute Web Services,"Los Angeles, CA 90067 (Century City area)",,"Experience working at a web/marketing agency is a strong plus, but also considering past-freelancers with proven experience in the space."
30,UI/Visual Designer,USC,"Los Angeles, CA",,"As a UI/Visual Designer, you’ll be an integral part of the Web and Creative team, collaborating with diverse and talented team members to solve complex business…"
31,Product Designer,FloQast,"Remote in Los Angeles, CA 91411",,"The role will work alongside designers, product managers, engineers, and interface directly with customers.Visa sponsorship is NOT available at this time."
32,Visual Designer - Contract,System1,"Los Angeles, CA",,2-3 years of experience working as a visual designer.Assist our UX designer with light UI for product initiatives (as needed).
