,title,company,location,salary,summary
0,newDigital Product Designer,Victoria and Albert Museum,London,"£40,000 a year","Working closely with the Design Lead and product and tech teams within the Digital Media department, the Digital Product Designer develops the UX and UI of…"
1,newUX/UI Designer,Vodafone,London,,"You will need to be passionate about developing strategies derived from insight, with the mastery of your craft to turn these into products (both interactions…"
2,"Interaction Designer, Publishers UX",Google,Remote in London,,"In this role, you will be working within a team of UX designers, quantitative/qualitative researchers, and UX writers, partner with product and engineering…"
3,"UX Designer, YouTube Shopping",YouTube,London,,"Collaborate with other Shopping designers to drive design excellence.Bachelor's degree in Design (e.g. interaction, graphic, visual communications, product,…"
4,newUX Designer - The Sun,News UK Ltd,London SE1,,"Experience working in collaborative environments alongside UI designers/researchers and other UX designers, as well as wider disciplines including developers,…"
5,newJunior UI/UX Designer,ShipServ,London,,"Day-to-day you’ll be working with a cross-functional team in an agile product development environment, involved in every aspect of the product development…"
6,"UX Designer, Chrome for iOS",Google,London,,"Bachelor's degree in Design (e.g., interaction, graphic, visual communications, product, industrial, etc.) or equivalent practical experience."
7,newConversational UX Designer,"JPMorgan Chase Bank, N.A.",London,,"Experience partnering with other designers, product managers, and engineers throughout a project lifecycle.You'll have an understanding of AI and be skilled at…"
8,Digital Designer - UX/UI/Product,Cappfinity,Remote in London,"Up to £50,000 a year",Evangelise user-centred design best practices to the standard expected by modern consumers; striving to create product experiences which are highly usable and…
9,newSenior UX Designer,MI5,London,,Have experience leading and developing a team of UX interaction designers.O Ability to lead and develop a team of UX interaction designers.
10,"Senior Interaction Designer, Retail Advertiser UX",Google,London,,"Bachelor's degree in Design (e.g. interaction, graphic, visual communications, product, industrial, etc), Human-Computer Interaction (HCI), Computer Science (CS…"
11,Senior UX Designer - 3 Month Contract - Up to £450 P/D - Lon...,Recruitify,Remote in London,£450 a day,"By co-creating with visual and motion designers, you'll help to bring the new brand expression to life on the page, and further collaborate with our developers…"
12,"newUX Designer, VP","JPMorgan Chase Bank, N.A.",London,,Drive a user-centric design approach with rapid testing and iterative prototyping for complex highly functional business applications.
13,UX Designer- GAMMA,Boston Consulting Group,London,,"This role requires a broad range of expertise across the entire discipline of UX/UI, with deep focus on ideation and prototyping."
14,UX Designer,NatWest Group,London,,"Working closely with product owners, researchers, visual designers and development to create both new products and features and extend existing ones."
15,UX/UI Designer,Judge.me,Hybrid remote in London,"£32,000 - £38,000 a year","Confident in communicating design ideas and the logic of the pages/flows designed (Important).Proficiency with design software like Figma (Important), Webflow,…"
16,UX Designer,Ocado Group,Hybrid remote in London,,"This role sits within the Customer Fulfilment Centre inbound and freezer product stream.You will work directly with UX, product and engineering teams to design…"
17,UX Designer - Associate,"JPMorgan Chase Bank, N.A.",Hybrid remote in London,,"Our growing 200+ Digital Experience Design team (DXD) includes UX and visual designers, service designers, researchers and creative technologists spread across…"
18,"UI/UX Designer, Veeva Link (Remote)",Veeva Systems,Remote in London,,"You will create satisfying and compelling experiences for users of a product, drawing on results from user research and workflow analysis."
19,"UX Writer, Google Play",Google,London,,"Bachelor's degree in English, Journalism, Technical Writing, UX, Human Computer Interaction, or equivalent practical experience."
20,"newUX Designer Manager, Global Sales Tools",Google,London,,Experience with visual and interaction design tools.Experience creating and maintaining working ties with collaborators across time zones.
21,"newUX Designer, TC",PwC,London,,"A UX Designer works as part of digital asset delivery by helping teams integrate a user centered design approach by means of technical ability, process and…"
22,UX Designer,Holland & Barrett,Remote in London,,"Using this information you will identify and design new opportunities to improve Holland & Barrett online, communicating all the requirements to our development…"
23,UX/UI Designer,Selfridges,London,,"We are looking for a UX/UI Designer who will bring their expert knowledge in UX & Design best practices, principles and methodologies."
