,title,company,location,salary,summary
0,Product Designer (remote),Match,"Remote in New York, NY",,"As a designer on our team, you will use full stack product design skills in collaboration with Product Managers, analysts, and engineers to create, validate and…"
1,newJunior Digital Experience Designer,Johnson & Johnson,"Hybrid remote in New York, NY",,"J&J Design, part of the Johnson & Johnson Family of Companies, is recruiting for Junior Digital Experience Designer and reporting to the Senior Manager Digital…"
2,"UX Designer, Chrome for iOS",Google,"New York, NY (Chelsea area)+3 locations",,"Bachelor's degree in Design (e.g., interaction, graphic, visual communications, product, industrial, etc.) or equivalent practical experience."
3,newUX Designer,Amex,"New York, NY+2 locations",,"Share your work and meet regularly with your Senior Designers, your Director, and other product designers to gain insights, feedback, and drive cross-team…"
4,UX Designer,Amazon.com Services LLC,"New York, NY+25 locations",,"We are looking for a user experience designer that loves learning, and is passionate about conceiving experiences in the abstract and then driving that vision…"
5,"Product Designer, Paid and Organic Growth",Spotify,"Remote in New York, NY+5 locations",,"The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way."
6,Experience Designer,Digitas,"New York, NY 10104 (Midtown area)",,"We are the connected marketing agency, a full-service agency with modern creative & media, data, and technology services all under one roof."
7,UX Designer,Microsoft,"New York, NY",,"As a UX designer, you will be responsible for delivering high-caliber user experiences spanning user research, usability testing, wireframe development, hi-fi…"
8,newProduct Designer,Intuit,"New York, NY 10012",,"As a Product Designer, you will design end-to-end experiences for our native apps and leverage a mobile-first mindset to work with other designers and teams to…"
9,Junior UX Designer,Brilliant Experience,"New York, NY",,Brilliant Experience’s team works directly with clients to make research-driven and human-centered product and service design recommendations.
10,newUX Product Designer,Pearson,"New York, NY 10176 (Murray Hill area)",,We’re looking for a mid-level UX Product Designer to support the design and development of a digital testing experience that directly supports learners.
11,"Designer, Core Brand","Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",,"Stay up-to-date with current design trends and techniques, sharing information and inspiration with fellow designers."
12,newUX Designer,J.Crew,"New York, NY 10281 (Battery Park area)",,"The UX Product Designer will play a key role in defining, designing and iterating on the user experience of digital features and functionality for J."
13,newProduct Designer,Casebook PBC,"Remote in New York, NY 10001",,3+ years’ experience on the job as a full-time UX designer.We’re looking for a full-time UX designer with at least 3 years’ experience building complex web…
14,"Associate Product Designer, Viewing Experience, Peacock",NBCUniversal,"New York, NY 10112 (Midtown area)+5 locations",,"As part of the Product Design team, you will collaborate with product, technology, marketing, data, and insights teams to elegantly solve problems for users…"
15,UX designer,InviteReferrals,"New York, NY",,Creative UI/UX designer. must have Photoshop skills html/css added…
16,UX Designer,"TPR Education, LLC","New York, NY 10017 (Midtown area)",,"As a UX Designer within the Online team, you will produce end-to-end UX design deliverables for cross-platform experiences creating wireframes and interactive…"
17,"newDigital Creative Designer, Luxury",Ralph Lauren,"New York, NY+3 locations",,This position will work collaboratively with a talented and motivated team to create high quality digital experiences that blend brand elevated storytelling…
18,Designer,The New York Times,"New York, NY",,"Our work takes many forms — reported articles, documentary videos, animations, photo essays, social posts, podcasts, interactive data visualizations, event…"
19,Digital Designer - Remote,Genome,"Remote in New York, NY 10013",,"Complete projects both independently and in partnership with other designers.Work collaboratively with designers and developers on defining requirements,…"
20,Motion Designer,Google,"New York, NY (Chelsea area)",,"Collaborate closely with fellow user experience designers, product managers and engineers to define, challenge and solve complex problems to enhance…"
21,"Manager, UX Design (Fully Remote)",ADP,"Remote in New York, NY",,The UX Manager provides day to day management of a group of user experience designers.Works with other departments to help define objectives for proposed web…
22,"Associate, UX Designer",KPMG,"New York, NY+2 locations",,Assist in design-related ideation of project and business goals with teammates and stakeholders.Help in creation of user experience artifacts such as…
23,"Product Designer II, Disney+",Disney Streaming,"New York, NY+2 locations",,"Collaborate with fellow designers (UX, visual, motion/prototypers) to help evolve the design language of the applications.Experience on TV is a plus."
24,CWM – PWM - UX/UI Designer - Associate - New York City,Goldman Sachs,"New York, NY 10282 (Battery Park area)+5 locations",,Partnering with other UX/UI designers and developers to deploy user-friendly mobile-first customer experiences.A passion for simplicity and user empathy.
25,Product Designer - Corporate - IT - Hybrid Full Time,Mount Sinai,"New York, NY",,Demonstrated Leader: You have mentored other designers or created design systems.Build design systems and lead practices that will improve the productivity and…
26,newExperience Designer,Northwestern Mutual,"New York, NY",,"Collaborate with other designers, product owners, and technologists, and contribute to the larger design team through research, presentations, and internal…"
27,newJunior Designer,Penguin Random House LLC,"New York, NY 10019 (Midtown area)",,Working with senior designers on digital campaigns using motion graphics and static layouts.Layout of print ads and working with senior designers on trade show…
28,"newSenior Product Designer, Growth Opportunities",Spotify,"Remote in New York, NY+4 locations",,"The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way."
29,Product Designer II,AT&T,"New York, NY+1 location",,The Product Design Team is responsible for delivering products that will shape the landscape of the digital and TV advertising industries.
30,UI Designer,American Eagle Outfitters,"New York, NY",,"Create clean, elevated user-friendly interface designs that generate revenue through enhancing the shopping, loyalty, and checkout experiences for AE and Aerie…"
31,"Mobile Interaction Experience Designer, Consumer Card & Bank...",Capital One - US,"New York, NY 10011 (Flatiron area)",,"Mobile Interaction Experience Designer, Consumer Card & Bank Design.Collaborating with technology, product, and business teams to uncover customer and business…"
32,"Product Designer, Square Banking",Square,"New York, NY",,"A portfolio of work on which you were the primary designer, with moderate guidance from design leadership.You will report into a design team that works with…"
33,UX Designer // Commercial,Capital One - US,"New York, NY 10011 (Flatiron area)+5 locations",,"Collaborating with technology, product, and business teams to uncover customer and business needs, then translating them into engaging, simple, and intuitive…"
34,"newSr. User Experience Designer, Associate","JPMorgan Chase Bank, N.A.","New York, NY+11 locations",,"Our growing 200+ Digital Experience Design team (DXD) includes UX and visual designers, service designers, researchers and creative technologists spread across…"
35,UX Designer,S&P Global,"New York, NY+1 location",,"You will be responsible for assisting and conducting user research (interviews, surveys, usability tests).You will also be responsible for translating research…"
36,newSr. User Experience Designer (Remote),S&P Global,"Remote in New York, NY 10041+1 location",,Ability to mentor junior designers in order to grow abilities and retain talent.We are responsible for making powerful desktop and mobile applications easy to…
37,Staff / Senior UX Designer,Salesforce,"New York, NY 10036 (Garment District area)",,Behind each product is a team of talented UX designers and engineers dedicated to creating integrated experiences that support strong relationships for users…
38,newGraphic & Digital Designer,International Rescue Committee,"Remote in New York, NY",,Collaborate with the team's designers and Global Associate Director on visual content and provide support on digital design projects as needed.
39,Freelance Digital Designer (Remote),Barrel,"Remote in New York, NY 10013",,Working knowledge of HTML/CSS is preferred but not required (our designers are not expected to build websites).Proficiency in the Adobe Suite and Sketch.
40,Product Designer,Mode,"Remote in New York, NY 10018",,"You're excited about the prospect of working with other designers, product managers and engineers.Collaborate across a small product team to drive solutions…"
41,Product Designer,Duolingo,"New York, NY",,"Work collaboratively with other designers to develop and expand product design patterns.Work on the user experience across multiple Duolingo products, on…"
42,Senior UX Designer,Amazon.com Services LLC,"New York, NY+8 locations",,"We are looking for a user experience designer that loves learning, and is passionate about conceiving experiences in the abstract and then driving that vision…"
43,Junior Product Designer,Copilot,"New York, NY",,"Working closely with our product team and contributing to the product’s roadmap.➤ Develop design concepts that put our customers first, meeting their needs…"
44,newMultimedia Designer,Slack,"New York, NY",,The Sales Enablement Multimedia Designer is an exciting and challenging role requiring the ability to build digital content that supports the behavioral…
45,Web UX Designer,ACS Group,"New York, NY",,"3+ years’ experience as a full-stack product designer who utilizes a data-driven, human-centric approach to product design and development."
46,Product Designer - Opportunity for Working Remotely New York...,VMware,"Remote in New York, NY+1 location",,"As part of a highly collaborative group of creative problem solvers with a passion for innovation, you will build intuitive, and meaningful products in the…"
47,Product Designer Member,Bread Financial,"New York, NY",,"Leading, coaching, and/or mentoring of other designers.Create exemplary prototypes and experiences, both alone and with other designers and key stakeholders,…"
48,UX Designer,LT Technology Services,"New York, NY",,"Skilled in visual design with portfolio examples and prototypes.High skill level of various UX/design applications such as Figma / Sketch / InVision, Adobe…"
49,UX/CX Designer,Accenture,"New York, NY",,"Present research findings and design concepts to designers and product partners.You might be improving an existing feature, designing something totally brand…"
50,newSenior UX Product Designer,Pearson,"New York, NY 10176 (Murray Hill area)",,"We’re looking for an experienced Product Designer with a strong UX background.You'll partner closely with content, product, and the wider design team and will…"
51,UI / UX Designer,Invonto,"New York, NY",,Must be a creative designer that can transform software requirements into intuitive user experiences.This is a direct-hire full-time remote working position.
52,Experience Designer,Accenture,"New York, NY+2 locations",,"Collaborate effectively with remote and onsite team members, including but not limited to designers, researchers, project/product managers, QA, developers, and…"
53,Credit Cards | Content Designer,Red Ventures,"Remote in New York, NY 10011",,Red Ventures is looking for a content designer who will be responsible for contributing to and executing on strategy for credit cards content.
54,Senior UX Designer,Amex,"New York, NY+1 location",,The Enterprise Data Platforms (EDP) organization is part of the American Express Enterprise Digital and Data Solutions (EDDS) Group.
55,UI/UX Designer,YipitData,"Remote in New York, NY",,"You are excited by the opportunity to work with a team of designers and working cross functionally with engineering, product management, and marketing."
56,"UX Designer, Digital User Experience - Opportunity for Worki...",VMware,"Remote in New York, NY",,"Meet your immediate team and cross-functional partners,.Get familiar with the tools and processes the design team leverages in day-to-day operations,."
57,"Staff Designer, Innovation",Visa,"New York, NY",,"In this role, you will focus on strategic design for products and services to create high-impact deliverables and lead engagements that help our clients drive…"
58,Motion Graphics Designer Quantum (NYC area or Remote),IBM,"Remote in New York, NY 10001",,We are looking for a motion graphics designer who can create animations explaining complex concepts that help users comprehend quantum computing basics.
59,Production Designer,S&P Global,"New York, NY",,AutomotiveMastermind is seeking a technically proficient designer with a strong background in digital design for marketing communication.
60,UX Product Designer,ION,"New York, NY",,You will work in a customer-facing environment solving complex challenges.You will be responsible for every aspect of a system's user experience - the overall…
61,newAssociate Designer,Vimeo,"New York, NY",,You work well with others and can help other brand designers develop campaigns and find creative solutions.Work with the creative and marketing teams to design…
62,User Experience Designer,New York University,"New York, NY 10012 (Greenwich Village area)",,"Participate in creating and advocating for research-informed, inclusive successfully designed user experiences across the institution."
