,title,company,location,salary,summary
0,"Product Designer, Growth",Discord,"Hybrid remote in San Francisco, CA 94107+3 locations",,"As a product designer focused on growth, you'll be involved with the full product development process from end-to-end, from brainstorming to launch."
1,UX Designer,Ancestry,"San Francisco, CA 94107 (Mission Bay area)+3 locations",,"You work well with other designers, product managers, front-end-developers on Agile teams.You have experience in all areas of product design including user…"
2,newUI/UX Designer,FocusKPI Inc.,"San Francisco, CA",,"Effectively communicate conceptual ideas, design rationale, and the specifics of a user-centered design process."
3,"Associate UX Designer, Visa Crypto",Visa,"San Francisco, CA+6 locations",,"Strategic problem solvers who are as analytical as they are creative.Work with a growing, A++ team to design UX/UI solutions for Visa Crypto product…"
4,Associate User Experience Designer,Stanford University,"Redwood City, CA",,"Under general supervision, assist with defining and designing the functionality and interface of applications with user interfaces; work with users, analysts,…"
5,"newExperience Designer, Creative Cloud Express",Adobe,"San Francisco, CA+11 locations",,"In this role you’ll collaborate with a team of designers, product managers, and engineers to design end to end experiences."
6,UI/UX Designer,NextEra Energy,"San Francisco, CA+1 location",,Work closely with customers and other NextEra Energy teams to develop smart and creative software solutions to the problems our customers face and ensure…
7,"UX Designer, New Products",Amazon.com Services LLC,"San Francisco, CA+36 locations",,"3+ years of experience in delivering design solutions as a UX / UI / product designer.Bachelor’s degree in a design or technical field, or equivalent…"
8,UX Designer (contract),Wells Fargo,"San Francisco, CA",,"Benefits on offer for this contract position: Health Insurance, Life insurance, 401K and Voluntary Benefits.Lead the strategy and resolution of highly complex…"
9,UX Designer (Multi-year contract opportunity),Volkswagen Group of America - Chattanooga...,"Belmont, CA+5 locations",,"Create low-fidelity wireframes and prototypes in tools (Figma, Sketch, Adobe XD, etc.).Design high-fidelity UI elements.Bachelor’s Degree in Design."
10,Product Designer,DocuSign,"Remote in San Francisco, CA 94105",,"Partner with product management, engineering, user research and tech writers to define multiple product features, owning the design execution with support from…"
11,"Associate, UX Designer",KPMG,"San Francisco, CA 94105 (Financial District/South Beach area)+2 locations",,Assist in design-related ideation of project and business goals with teammates and stakeholders.Help in creation of user experience artifacts such as…
12,newProduct Designer - Growth,Databricks,"San Francisco, CA 94105 (Financial District/South Beach area)+1 location",,"Design best-in-class onboarding experience to help users succeed with Databricks.Become well-versed on the Databricks product and its personas (data engineers,…"
13,"Service Designer, Staff",Square,"San Francisco, CA",,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…"
14,Lead Designer,Atomic,"San Francisco Bay Area, CA",,"Playbook is funded and backed by Atomic VC.You turn things around quickly, enjoy fast-paced days and are comfortable changing course based on new data."
