,title,company,location,salary,summary
0,UX/UI Designer,Microsoft,"Redmond, WA 98052 (Overlake area)+4 locations",,"In addition to our studios, the Xbox organization includes a myriad of opportunities to impact the Xbox gaming ecosystem, including console, PC, web and mobile…"
1,User Experience (UX) Designer – 2022,Amazon.com Services LLC,"Seattle, WA+109 locations",,"Currently working towards a Bachelor’s or Master's Degree in Design, Human-Centered Interaction, Statistics, Psychology, Computer Science, or other equivalent…"
2,Designer 2,Microsoft,"Redmond, WA 98052 (Overlake area)+5 locations",,"Shares learnings and collaborate with other designers to share education for team improvements.You’re capable of systemic thinking, but you’re focused on…"
3,Product Designer,Oracle,"Seattle, WA",,"Responsible for creating, evaluating and modifying prototypes to support evolving hardware and software application development."
4,newsr designer digital products,Starbucks,"Hybrid remote in Seattle, WA",,Partner with other designers to elevate the group.Starbucks - Project/Product/Program Management.You’ll use your full range of skills in user experience to…
5,UX Product Designer,Workday,"Seattle, WA+2 locations",,Ability to critique the work of other designers and provide meaningful feedback.Management who will support you and develop your career growth.
6,Product Designer II,Microsoft,"Redmond, WA 98052 (Overlake area)+5 locations",,"Work closely and constructively with product management, visual and interaction designers, editors, engineers, and user researchers to iterate and deliver…"
7,"Brand Designer, Amazon Brand Team",Amazon.com Services LLC,"Seattle, WA+4 locations",,You will partner with designers and strategists to develop brand elements and design guidance for teams and our brand portal.
8,UX/UI Designer,Artefact Group,"Remote in Seattle, WA",,"You work directly with clients and your team to help solve complex problems using strong UX and UI skills utilizing a full range of mediums, design tools,…"
9,Associate UI/UX Designer,Center,"Remote in Bellevue, WA",,"As a UX/UI Designer, you will collaborate with other designers, researchers, developers, product owners, and business stakeholders to craft meaningful…"
10,Product Designer,Meta,"Seattle, WA 98109 (South Lake Union area)+18 locations",,Give and solicit feedback from other designers in order to continually raise our bar for quality.We utilize a full range of product design skills to contribute…
11,newSENIOR UX/UI DESIGNER,Cella,"Redmond, WA",,"We are seeking exceptionally creative UX designers with big picture holistic, omnichannel concepting expertise."
12,Junior UX Designer,thyssenkrupp Materials NA Inc.,"Seattle, WA 98109 (Westlake area)",,"An extensive omnichannel architecture offers 250,000 customers worldwide cross-channel, round-the-clock access to more than 150,000 products and services."
