,title,company,location,salary,summary
0,"newUX Designer, Amazon Payment Products",Amazon.com Services LLC,"Arlington, VA+15 locations",,"You are a designer with 7+ years of experience working on real products that people use every day.Work closely with product owners, software developers,…"
1,UX Designer,SM&A,"Washington, DC",,"If you were standing in front of a building that was on fire, would you rush in to save lives? When making a tough call, does your gut win over your head and…"
2,UI Designer (Remote),Practivest,"Remote in Washington, DC",,"A good sense of how to make things look good.Identify customer issues, develop a plan, and create a vision."
3,Product Designer,Mode,"Remote in Washington, DC",,"You're excited about the prospect of working with other designers, product managers and engineers.Collaborate across a small product team to drive solutions…"
4,newSenior UX Product Designer,Change Healthcare,"Remote in Washington, DC",,"Recognize patterns and evolve design systems by understanding user, designer, and developer needs and solving those problems with reusable components and…"
5,newUX Product Designer,Pearson,"Washington, DC 20080 (Downtown area)",,We’re looking for a mid-level UX Product Designer to support the design and development of a digital testing experience that directly supports learners.
6,UX Designer,Excella,"Remote in Arlington, VA 22201",,"User Experience (UX) Designers at Excella work with stakeholders, developers, and designers to understand the big problems and collaborate on effective…"
7,UX Designer,Deloitte,"Washington, DC+25 locations",,"UX designer for Army Enterprise system.Will join an existing team of senior UX designers.Responsibilities include user research, feature design, wireframing,…"
8,newJunior User Experience Designer,National Student Clearinghouse,"Remote in Herndon, VA 20171",,"In this exciting role as Specialist, User Experience (UX) Design, you will work beside Senior User Experience Specialists in a hands-on role that works with…"
9,UX Designer / Researcher,Agile Six Applications,"Remote in Washington, DC",,"Collaborating with your content designers to ensure the Drupal content model supports the Veteran-facing design.Medical, dental, and vision insurance."
10,UX Designer - Journeyman,Acuity INC,"Crystal City, VA 22202 (Aurora Highlands area)",,Implement and/or oversee implementation of the UI as part of an integrated development team.Drive evolution of application design standards and style guides.
11,Senior UX/UI Designer,Interactive Strategies,"Washington, DC",,*Creative. *You come with imagination and fresh ideas; you create works of art that inspire and engage.*Well-spoken. *You can eloquently present your designs…
12,newSenior UX Product Designer,Pearson,"Washington, DC 20080 (Downtown area)",,"We’re looking for an experienced Product Designer with a strong UX background.You'll partner closely with content, product, and the wider design team and will…"
13,Junior Designer,MODEL B,"Remote in Washington, DC 20001",,You will have the opportunity to learn and develop a unique variety of skills from layout and interactive web experiences to advertising strategy and campaign…
14,UX/CX Designer,Accenture,"Arlington, VA+1 location",,"Present research findings and design concepts to designers and product partners.You might be improving an existing feature, designing something totally brand…"
15,UX Designer,Aquicore,"Washington, DC",,Rapidly prototype and communicate concepts and ideas through wireframes and prototypes.Learn and adapt client personas to develop a user-friendly interface.
16,newRemote Senior UX Designer,Piper Companies,"Remote in McLean, VA 22102",,"As Senior User Experience Designer, you’re a information architect, interaction designer, usability researcher, and visual designer."
17,User Experience Designer (UI/UX),Planet Technologies,"Washington, DC",,"As the UX Designer for Planet Technologies, you will be responsible for the design, critical thinking, and planning around a user’s experience using our best-in…"
18,UX Designer,Innovative Defense Technologies (IDT),"Arlington, VA 22203 (Bluemont area)",,"The designer will take customer use cases, requirements, and feedback into shaping the overall vision of the product ecosystem.BA/BS in a relevant field."
19,Lead UX Designer - DataGraph,Salesforce,"Washington, DC",,"You’ll have the opportunity to own your product area and drive your process, and build relationships with a passionate product team, while on a collaborative,…"
20,newMultimedia Designer III,Navy Federal Credit Union,"Vienna, VA 22180",,Collaborate with a team of experienced developers and instructional designers to implement innovative and creative learning multimedia solutions.
21,Product Designer (Remote),Xplor,"Remote in Washington, DC",,You’ll create elegant and intuitive design solutions that enable boutique studios to connect their clients with amazing fitness experiences.
22,Product UX Designer,CaseGuard,"Arlington, VA",,"Ownership of the design process; from research, through conceptual design, UX design, testing, and prototyping.2+ years of visual design experience."
23,Senior UX Designer - Enterprise Platforms - All FINRA Locati...,Finra,"Rockville, MD 20850",,Acts as the primary designer for complex products and/or programs.The Senior UX Designer works under minimal supervision of senior development or design staff…
24,newSenior Product Designer - Opportunity for Working Remotely W...,VMware,"Remote in Washington, DC+3 locations",,"As part of a highly collaborative group of creative problem solvers with a passion for innovation, you will build intuitive, and meaningful products in the…"
25,UX Designer,Leidos,"Bethesda, MD 20889",,The Government Health and Safety Solutions Operation is seeking a UX Designer to support our Federal Healthcare customer.5 years of related experience.
26,USER EXPERIENCE DESIGNER,Cella,"Remote in Vienna, VA",,"The designer will utilize Adobe Studio and full Adobe Creative Suite.Our client is seeking a talented UX Designer for a temp to hire full-time, fully remote…"
27,User Experience Designer (UI/UX),"USfalcon, Inc.","Washington, DC",,"Utilize a user-centric approach to developing solutions that are simple, effective, and bring delight to our customers.Required Clearance: Active Top Secret."
28,UI/UX Designer,Steampunk,"McLean, VA 22102",,"Experience working in multi-disciplinary groups including UX and UI designers, technologists, and engineers.Facilitate discovery and innovation workshops for a…"
29,User Experience Designer I,Navy Federal Credit Union,"Temporarily Remote in Vienna, VA 22180",,"Work with business partners and market researchers, designers, and program managers to solve complex UX design problems and deliver results."
30,UI Designer,Bethesda.net,"Rockville, MD",,Experience working on a team of designers.They have worked with a team of designers and product leads.They will work with UX designers to build prototypes for…
31,"Conversation Designer, Assistant",Facebook App,"Washington, DC",,Give and solicit feedback from other designers in order to continually raise our bar for quality.You will be expected to utilize your full range of…
32,UX DESIGNER,Wyth.me,"Arlington, VA",,We are seeking a qualified UX Designer to assist in building and continued maintenance of our mobile- and web-based interfaces.2+ years of web development.
33,UX Designer,ManTech International Corporation,"Washington, DC",,"A minimum of (8) years of experience as a Business Analyst with UX designer, information architect, interaction designer, or similar role working on large-scale…"
34,"Sr. UX Designer, AWS Supply Chain",Amazon.com Services LLC,"Arlington, VA",,"6+ years experience as a user experience designer, interaction designer, visual designer, information architect, or similar UX-related role creating digital…"
35,UX/UI Designer,The Rock Creek Group,"Washington, DC 20036 (Downtown area)",,At least 3 years experience as an interaction or UX designer.Communicate with users and stakeholders of various applications.AWS or Google Cloud experience.
36,UI/UX Designer,Leidos,"Reston, VA 20190 (Sunset Hills area)+1 location",,"This role provides User Interface and Human Factors design, development, and maintenance of software applications using a tailored SAFe Agile DevSecOps process."
37,Content Designer,Facebook App,"Washington, DC+1 location",,"You’ll be expected to design and deliver product flows, new features, in-product messaging, content frameworks, navigation, product naming and more for all…"
38,newEngineer/Scientist III (UX Designer),Jacobs,"Washington, DC 20001 (Swampoodle area)",,"UX Design leads all phases of the User-Centered Design (UCD) system lifecycle and acquisition process from design and development, through sustainment and…"
