,title,company,salary,summary
0,Junior Python Developer,GTS,Estimated $106K – $134K a year,You will work alongside a very experienced team to develop and own our suite of data engineering tools crunching millions of records per-day to analyze the firm…
1,Entry Level - Associate Developer (Commercial): Front End,IBM,Estimated $62.9K – $79.7K a year,IBM provides a variety of solutions to clients and our specialized teams serve these needs.Employ IBM's Design Thinking to create products that provide a great…
2,Full Stack Developer,Underdog.io,,They're working on interesting technical challenges and must be respectful of your time to stay active.Our companies look for Full Stack Developers proficient…
3,newPython and/or C++ Software Engineer,"JPMorgan Chase Bank, N.A.",Estimated $113K – $143K a year,"The position also involves managing the details of one's book of work, technical design, testing with users and deployment."
4,2022 Software Engineer Program - Full Time Opportunity,"JPMorgan Chase Bank, N.A.",Estimated $84.7K – $107K a year,"Dive head-first into creating innovative solutions that make a difference for our customers, clients and employees."
5,"Associate/VP, Quantitative Developer - AMRS Structured Desk",Bank of America,,Quantitative developer for the AMRS structured desk (Associate / Jr. VP).Develop reliable tools to automate the daily processes of the Structured trading desks…
6,Production Support Developer (Python),GTS,Estimated $92.6K – $117K a year,"This position will require a highly technical individual to work on supporting, automating, testing, debugging, documenting, and developing applications and…"
7,Jr. Developer,Deloitte,Estimated $86.8K – $110K a year,"Shadow with a Senior developer to learn to write and maintain clean, maintainable, and well-tested code.Operate on projects with supervision using the tools…"
8,Python/React developer,"JPMorgan Chase Bank, N.A.",Estimated $104K – $132K a year,Design and develop applications by gathering requirements from users.Write maintainable & testable code using Python & React.
9,newCompiler Developer - multiple levels (remote),"Qualcomm Technologies, Inc.",Estimated $99.4K – $126K a year,"Engineering Group, Engineering Group > Machine Learning Engineering.We are tackling some of the most interesting and challenging problems in high performance…"
10,newSenior Python Developer,Capgemini,Estimated $124K – $157K a year,5+ years of strong experience in programming with Python to implement models.Experience using PySpark for data manipulation/model implementation work with an…
11,newPython Developer,Virtusa,Estimated $95.6K – $121K a year,"Good to have Oracle or SQL knowledge.Exposure to front end technologies, Javascript, HTML or CSS."
12,Python Developer,ING,Estimated $101K – $128K a year,We are seeking a senior developer with a deep understanding of Python to develop and scale ING’s client facing digital capabilities.
13,newFULL STACK DEVELOPER,Talan,Estimated $134K – $170K a year,"Talan USA offers employees a dynamic work environment, growth opportunities and a competitive compensation package, including generous paid time off, health and…"
14,Python server and UI Developer - Software Engineer III,Bank of America,,"Candidate will have strong design, problem solving and coding skills.Experience in UI development (MVC) is a plus.Basic knowledge of derivatives is a plus."
15,New Graduate Software Engineer,"Discovery, Inc.",,Prior Intern experience as a developer in a consumer-focused company.This program will provide organic and structured opportunities to build effective and…
16,newSenior Python Developer,Capgemini,,5+ years of strong experience in programming with Python to implement models.Experience using PySpark for data manipulation/model implementation work with an…
17,newPython and/or C++ Software Engineer,"JPMorgan Chase Bank, N.A.",,"The position also involves managing the details of one's book of work, technical design, testing with users and deployment."
18,Junior Software Engineer,Alloy,,"Alloy is an Identity Decisioning Platform, enabling innovative fintech companies and banks to manage KYC, AML, fraud, risk and other components of customer…"
19,Web Developer,ANT USA,,"Have built web applications with user-facing HTML UIs.Strong at dynamic language programming (Python, Ruby, and Javascript).Experience with HTML5 is a plus."
20,UI Developer,Deloitte,,"Work with product development teams to design and implement front-end systems.Write and maintain clean, maintainable, and well-tested code."
21,Software Engineers & Web Developers,1DocWay,,"Our Engineering program prepares entry level candidates, who understand the fundamentals of web-development for an exciting and rewarding career in the health…"
22,2022 Software Engineer Program - Full Time Opportunity,"JPMorgan Chase Bank, N.A.",,"Dive head-first into creating innovative solutions that make a difference for our customers, clients and employees."
23,JavaScript/React Developer,Bank of America,,Users who have previous experience with these languages are desirable however if you have experience with some of these and are willing to learn the others we…
24,Junior Front End / Full Stack Software Engineer,Plectica,,"Systems Thinking is an increasingly popular method of analysis and problem solving, widely applicable in industry, government, not-for-profit, education,…"
25,Fullstack Developer,The Recount,,"The Recount team maintains a publishing pipeline built on nodejs, python, google cloud, and reason-react.Build APIs to support our various products."
26,Angular/Python Developer,Deloitte,,"Cooperating with the back-end developer in the process of building the RESTful API.As an experienced Angular/Python Developer, you will have the ability to…"
27,newSoftware Engineer,Splunk,,"Working to support internal and external customer needs, you will collaborate with cross-functional teams, receive mentorship, and gain insight into our values…"
28,Python Developer,MassMutual,,"Extensive experience with python as a programing language.2+ years experience as a developer/lead, experience in systems design / architecture or similar…"
29,Application Developer Java/Python,ACS Group,,"BS/BA degree or equivalent experience.Advanced knowledge of application, data, and infrastructure architecture disciplines."
30,Application Developer Java/Python,ACS Group,Estimated $120K – $152K a year,"BS/BA degree or equivalent experience.Advanced knowledge of application, data, and infrastructure architecture disciplines."
31,newApplication Developer - Workflow and Content Ingestion Devel...,IBM,Estimated $114K – $144K a year,"Define the technical framework considering all relevant artifacts including,.Hosting & Environments including hybrid cloud, test, production, etc."
32,Central Risk Book - Quant/Developer,Morgan Stanley,Estimated $97.2K – $123K a year,"The Institutional Equity Division (IED) is a global leader in the origination, distribution and trading of equity, equity-linked and equity-derivative…"
33,newCompiler Developer - multiple levels (remote),"Qualcomm Technologies, Inc.",Estimated $99.4K – $126K a year,"Engineering Group, Engineering Group > Machine Learning Engineering.We are tackling some of the most interesting and challenging problems in high performance…"
