,title,company,salary,summary
0,AI Residency Program 2022 - US Locations,Facebook App,Estimated $94.1K – $119K a year,We also encourage collaborations beyond the assigned mentor.The research will be communicated to the academic community by submitting papers to top academic…
1,newData Scientist II - Algorithmic Justice Specialist,ACLU,,"Knowledge of concepts such as AI/ML auditing, algorithmic impact assessments, explainability, transparency, recourse, robustness, human-ai interaction, and/or…"
2,newAssociate Evaluation Officer (2 Posts) [Temporary],United Nations,Estimated $29.3K – $37.1K a year,"Inspection and evaluation assignments are undertaken in all areas of work of the United Nations Secretariat, i.e., in the maintenance of international peace and…"
3,newAI/ML Specialist - CCI,"Amazon Web Services, Inc.",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
4,newHuman Resources Associate,Biz2Credit Inc,Estimated $41.6K – $52.6K a year,"Currently, we seek to hire a Human Resources Associate to provide direct support for the following functional areas: onboarding, data administration and…"
5,"Communications Manager, Responsible AI",Google,Estimated $88.7K – $112K a year,"Bachelor's degree or equivalent practical experience.7 years of experience in Policy, Crisis, or Public Relations/Communications, supporting executives or…"
6,newCommunity Engagement & Events Marketing Coordinator,Barnes & Noble Education,,"In this role you will support the execution of bartleby’s Influencer, Brand Ambassador, and in-person Event Marketing strategies to drive the growth of bartleby…"
7,"Analyst, Global Assortment Planning",Tiffany & Co.,Estimated $50.7K – $64.1K a year,Apply AI to all stores with dynamic quarterly update: optimize assortments for all stores using AI based on agreed upon schedule.
8,newAdministrative Assistant,United Nations,Estimated $40.5K – $51.3K a year,"The Finance Division is responsible for securing the financing of the Organization's expenses, pursuant to Article 17 of the Charter of the United Nations, and…"
9,newAssociate Director / Machine Learning and AI Expert,S&P Global,,Grade – 12 for internal use only.The Analytical Innovation team is a new multi-disciplinary team that focuses on developing new analytical products for S&P…
10,"Manager, Music Publishing Licensing and Partnerships",TikTok,Estimated $82.3K – $104K a year,The music business development team drives negotiations and fosters relationships with record labels and music publishers.
11,"Customer Engineer, Data & AI",Microsoft,Estimated $94.7K – $120K a year,"Customer Success: Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and…"
12,"RVP, Healthcare Providers",Salesforce,,"Your team will sell the entire Salesforce portfolio, including core CRM, HLS specific industry solutions (Health Cloud), and any additional products and…"
13,Executive Assistant,"Amazon Web Services, Inc.",,"3+years of experience assisting at the executive level.Microsoft Outlook, Microsoft Word, Excel, PowerPoint, SharePoint and Visio."
14,newDirector of Public Affairs and Social Impact,Bowery Farming,Estimated $89.2K – $113K a year,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
15,"Account Manager, Startup","Amazon Web Services, Inc.",,Bachelors Degree or equivalent additional years of experience.5-10 years of sales or total experience.3-10 years of technology related sales or business…
16,newStaff Assistant [Temporary],United Nations,Estimated $38.3K – $48.5K a year,The UNAT is the revision tribunal of the internal justice system and hears and decides appeals filed by or on behalf of current and former staff members and…
17,"Qualitative Researcher, AI",Facebook App,Estimated $73.8K – $93.4K a year,"Orchestrate strategic visioning and analytical activity, moving between macro trends and micro trends and developing substantiated POV's for AI related topics."
18,ML/AI Data Scientist,Lemonade Insurance Company,Estimated $80.7K – $102K a year,As the second Data Scientist in our NY office you will be responsible for developing sophisticated models around pricing and risk mitigation.
19,"newData Scientist, Amazon Associates",Amazon.com Services LLC,,"1+ years of experience with data scripting languages (e.g SQL, Python, R etc.).Or statistical/mathematical software (e.g. R, SAS, or Matlab)."
20,"Responsible Innovation Strategist, Content and Partnerships",Google,Estimated $101K – $128K a year,"Bachelor's degree or equivalent practical experience.1 year of experience in technical writing, copywriting, content editing, partner relations, stakeholder…"
21,newVistex Consultant (14044),Baer Group,Estimated $42.3K – $53.5K a year,Review the existing 70 Vistex Rebate agreements in the source SAP system (the one that will be retired).Transform Rebates directly into new Vistex Agreements…
22,Machine Learning Operations Engineer,360Learning,Estimated $95.5K – $121K a year,Be making important contributions to our existing ML systems.Be progressively integrating aspects of your vision for the ML platform.
23,newHR Compliance Administrator,Bowery Farming,Estimated $50.2K – $63.6K a year,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
24,Entry Level - Associate Data Scientist (Commercial),IBM,Estimated $73.8K – $93.4K a year,"As an Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes…"
25,AI Research Assoc Sr,"JPMorgan Chase Bank, N.A.",Estimated $125K – $158K a year,They pursue primary research in areas related to our research pillars as well as concrete problems related to financial services.
26,Junior Data Scientist,Reonomy,Estimated $117K – $148K a year,"Extract and combine data from multiple internal data sources, including data cleansing and noise removal.Perform high quality exploratory data analysis."
27,Analyst - Analyst,BNP Paribas,Estimated $60.4K – $76.4K a year,"The Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realize their projects…"
28,Applied AI ML Associate Sr,"JPMorgan Chase Bank, N.A.",Estimated $90.3K – $114K a year,3 + years of software engineering/developer and production experience.3 years of experience in big-data.3+ years of big-Data platform engineering.
29,newApplied AI ML Lead,"JPMorgan Chase Bank, N.A.",Estimated $107K – $135K a year,We value our customers' direct feedback and function in a truly agile way to incorporate changes to improve application experience.
30,Executive Director - Applied AI ML Director,"JPMorgan Chase Bank, N.A.",,"Candidates should not be hesitant to take on projects where he/she will everything end-to-end, thinking like an engineer not afraid to get his/her hands dirty…"
31,PT Faculty- School of Fashion,The New School,,AAS Fashion Marketing and Communication.Product design and wearable technology.Systems thinking and human-centered design.
32,Fellowship Program/ Machine Learning - AI/ML Engineer,GSK,,"To help us, we seek up to 10 passionate, early-careers researchers who wish to turn their talents to healthcare, learn about the pharmaceutical industry and…"
33,newAccount Executive,Accrete.AI,,Accrete was launched in 2017 on the back of over a decade of R&D pertaining to the problem of getting a machine to perform cognitive tasks accurately without…
34,"newGlobal Research - Big Data, AI and High Frequency Strategy -...","JPMorgan Chase Bank, N.A.",,"Produce and publish research on Big Data, AI, and High Frequency trading strategies.Design proprietary quantitative strategies using machine learning…"
